Title                                                           02.11.2020 09:39
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  ^&164-Gd
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0         23.265         25.000        4.33505
              1              1         23.242         25.017         4.3348
              2              2         23.265         25.033        4.33455
              3              3         23.282         25.050        4.33428
              4              4         23.307         25.067        4.33391
              5              5         23.331         25.083        4.33359
              6              6         23.355         25.100        4.33327
              7              7         23.374         25.117        4.33295
              8              8         23.404         25.133        4.33262
              9              9         23.414         25.150        4.33229
             10             10         23.421         25.167        4.33195
             11             11         23.446         25.183        4.33161
             12             12         23.455         25.200        4.33125
             13             13         23.465         25.217         4.3309
             14             14         23.488         25.233        4.33055
             15             15         23.500         25.250         4.3302
             16             16         23.521         25.267        4.32986
             17             17         23.528         25.283        4.32954
             18             18         23.543         25.300        4.32922
             19             19         23.569         25.317         4.3289
             20             20         23.579         25.333        4.32859
             21             21         23.596         25.350        4.32827
             22             22         23.613         25.367        4.32792
             23             23         23.633         25.383        4.32757
             24             24         23.634         25.400        4.32718
             25             25         23.655         25.417        4.32679
             26             26         23.678         25.433        4.32641
             27             27         23.686         25.450        4.32603
             28             28         23.698         25.467        4.32563
             29             29         23.716         25.483        4.32526
             30             30         23.731         25.500        4.32489
             31             31         23.740         25.517        4.32453
             32             32         23.764         25.533        4.32422
             33             33         23.783         25.550         4.3239
             34             34         23.788         25.567        4.32358
             35             35         23.804         25.583        4.32327
             36             36         23.823         25.600        4.32299
             37             37         23.836         25.617         4.3227
             38             38         23.856         25.633        4.32241
             39             39         23.860         25.650        4.32212
             40             40         23.881         25.667        4.32182
             41             41         23.906         25.683        4.32152
             42             42         23.907         25.700        4.32122
             43             43         23.921         25.717        4.32093
             44             44         23.931         25.733        4.32062
             45             45         23.944         25.750        4.32032
             46             46         23.965         25.767        4.32002
             47             47         23.989         25.783        4.31971
             48             48         24.004         25.800        4.31939
             49             49         24.032         25.817        4.31906
             50             50         24.042         25.833        4.31872
             51             51         24.059         25.850        4.31837
             52             52         24.064         25.867        4.31798
             53             53         24.094         25.883        4.31761
             54             54         24.097         25.900        4.31724
             55             55         24.115         25.917        4.31686
             56             56         24.118         25.933        4.31648
             57             57         24.134         25.950        4.31611
             58             58         24.170         25.967        4.31575
             59             59         24.170         25.983        4.31539
             60             60         24.196         26.000        4.31507
             61             61         24.218         26.017        4.31476
             62             62         24.225         26.033        4.31446
             63             63         24.242         26.050        4.31416
             64             64         24.254         26.067        4.31391
             65             65         24.274         26.083        4.31362
             66             66         24.295         26.100        4.31332
             67             67         24.295         26.117          4.313
             68             68         24.313         26.133        4.31265
             69             69         24.341         26.150        4.31229
             70             70         24.353         26.167        4.31193
             71             71         24.379         26.183        4.31157
             72             72         24.399         26.200        4.31118
             73             73         24.413         26.217        4.31083
             74             74         24.439         26.233        4.31051
             75             75         24.447         26.250        4.31019
             76             76         24.458         26.267        4.30995
             77             77         24.475         26.283        4.30969
