Cell1 Blank,,Gd_100mM_1_1,,Gd_100mM_1_2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
600,-0.007478208281,600,-5.741128189E-5,600,-0.001117146341,
599,-0.006948394701,599,-4.628164606E-5,599,-0.000959464116,
598,-0.007029499859,598,-6.782070614E-6,598,-0.0009648364503,
597,-0.00717857806,597,-0.0001218540419,597,-0.0008873956394,
596,-0.007319001481,596,0.0002027085429,596,-0.0008239448653,
595,-0.007354023866,595,0.0004290647048,595,-0.0009466011543,
594,-0.007658569142,594,0.0006073728437,594,-0.0007864797371,
593,-0.007667165715,593,0.0006314033526,593,-0.0009017586708,
592,-0.007717926987,592,0.0008414874319,592,-0.001069739228,
591,-0.007899612188,591,0.0007823050837,591,-0.001090964652,
590,-0.007967527024,590,0.0009021563455,590,-0.001083734678,
589,-0.008129189722,589,0.0008427582798,589,-0.001068086596,
588,-0.008220895194,588,0.0007882437203,588,-0.001171260606,
587,-0.008444312029,587,0.000724090205,587,-0.0009934535483,
586,-0.008476451971,586,0.0005053550121,586,-0.0008578932029,
585,-0.008403995074,585,0.0003264929692,585,-0.001142500318,
584,-0.008530113846,584,4.732212983E-5,584,-0.001012874884,
583,-0.008705014363,583,8.962646825E-5,583,-0.0008280787733,
582,-0.008560520597,582,-4.478041592E-5,582,-0.0009071317036,
581,-0.008791930974,581,7.42731936E-5,581,-0.000889565621,
580,-0.008867925033,580,0.0001162694462,580,-0.000739139854,
579,-0.008769150823,579,0.0002867040457,579,-0.0008775272872,
578,-0.008907488547,578,0.000497295172,578,-0.0007900455385,
577,-0.009013482369,577,0.0006874538376,577,-0.0006865741452,
576,-0.008853619918,576,0.000842135807,576,-0.000871378812,
575,-0.009102010168,575,0.001250901259,575,-0.0007695289096,
574,-0.008996951394,574,0.001271332731,574,-0.0007667382015,
573,-0.008910532109,573,0.001213701325,573,-0.0007911824505,
572,-0.009012772702,572,0.001430144534,572,-0.0007406903896,
571,-0.008944259956,571,0.001172636985,571,-0.000925265369,
570,-0.009076711722,570,0.001245735097,570,-0.0006235075998,
569,-0.008987925015,569,0.001072951593,569,-0.000520099944,
568,-0.008761692792,568,0.0007718025008,568,-0.0003752878984,
567,-0.008462083526,567,0.0004774183617,567,-0.000689830631,
566,-0.008573718369,566,0.0004814092244,566,-0.0002881187829,
565,-0.008467312902,565,0.0003925568599,565,-0.0006799060502,
564,-0.008457056247,564,0.0002624853805,564,-0.0005143600865,
563,-0.00850209035,563,0.0004309303476,563,-0.0004037886392,
562,-0.008617623709,562,0.0008151630173,562,-0.0001395547151,
561,-0.008493611589,561,0.0009923065081,561,-0.0004561300157,
560,-0.00848152861,560,0.001114577404,560,-0.0003881677694,
559,-0.008479295298,559,0.001456869883,559,-0.0004217364476,
558,-0.008423645981,558,0.001517858589,558,-0.000446613878,
557,-0.008478076197,557,0.001687207143,557,-0.0003578554606,
556,-0.008434005082,556,0.00163027388,556,-0.0003072095278,
555,-0.008666599169,555,0.001838008291,555,2.948511792E-5,
554,-0.00833985582,554,0.001402252237,554,-0.0003020877193,
553,-0.008472136222,553,0.001304772915,553,-9.711329767E-5,
552,-0.008532753214,552,0.001341747004,552,1.004387195E-5,
551,-0.008622902445,551,0.001175829559,551,-7.921034012E-6,
550,-0.008608081378,550,0.000961873855,550,-5.042293924E-5,
549,-0.008742107078,549,0.0009476831183,549,0.0001368806843,
548,-0.008546764031,548,0.001073029474,548,-1.641139352E-5,
547,-0.00857057143,547,0.000899692066,547,0.0001154408747,
546,-0.008672892116,546,0.001455207588,546,8.962646825E-5,
545,-0.008945730515,545,0.001837436343,545,0.0002029675234,
544,-0.008813239634,544,0.00176790345,544,0.0001633970824,
543,-0.008819022216,543,0.001985325245,543,0.0001710104843,
542,-0.008858794346,542,0.002258381108,542,0.0003277105279,
541,-0.008905105293,541,0.00216898229,541,0.000369446323,
540,-0.008929348551,540,0.002116746269,540,0.0003009250795,
539,-0.009154682979,539,0.002229941078,539,0.0007542987587,
538,-0.009000197053,538,0.002014711499,538,0.00064789108,
537,-0.009188189171,537,0.001878095558,537,0.0007806972717,
536,-0.009136838838,536,0.001608552411,536,0.0007997321663,
535,-0.009229599498,535,0.001642044517,535,0.00089528237,
534,-0.009267812595,534,0.001916444628,534,0.0007895403542,
533,-0.009443582036,533,0.001990656136,533,0.001071991515,
532,-0.009212670848,532,0.002204052871,532,0.001015761634,
531,-0.009330193512,531,0.002479276853,531,0.001087821205,
530,-0.009378734976,530,0.002842318732,530,0.001190053765,
