,basline_1mm w,,water_1mm,,Gd1'_500uM_1mm,,Gd1'_100uM_1mm,,Gd1'_20uM_1cm,,Gd1'_5uM_1cm,,basline_1mm,,water_1mm,,Gd1'_1mM_1mm.BSW,,Gd1'_500uM_1mm,,Gd1'_200uM_1mm,,Gd1'_100uM_1mm,,Gd1'_50uM_1cm,,Gd1'_20uM_1cm,,Gd1'_10uM_1cm,,Gd1'_5uM_1cm,,Gd1'_2uM_1cm,,Gd1'_2uM_1cm_1,
Wavelength [nm],Absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,
250.000,-0.0087457,0.000,-0.5729,-0.006,-0.10976,-0.003,-0.2733,-0.002,-0.051511,0.001,-0.012274,250.000,-0.0087457,250.000,3.0548E-5,250.000,0.56757,250.000,0.28394,250.000,0.10366,250.000,0.059676,250.000,0.2671,250.000,0.083884,250.000,0.050348,250.000,0.02385,250.000,0.011918,250.000,0.011262,
251.000,-0.0084222,0.000,-0.5729,-0.005,-0.10876,-0.002,-0.27314,-0.001,-0.051414,0.001,-0.012203,251.000,-0.0084222,251.000,-0.00012592,251.000,0.50757,251.000,0.25447,251.000,0.093836,251.000,0.054254,251.000,0.23908,251.000,0.074782,251.000,0.044511,251.000,0.020339,251.000,0.010429,251.000,0.010372,
252.000,-0.0081096,0.000,-0.5729,-0.004,-0.10778,-0.002,-0.27316,-0.001,-0.051433,0.001,-0.012131,252.000,-0.0081096,252.000,-0.00032138,252.000,0.45781,252.000,0.22967,252.000,0.086062,252.000,0.048952,252.000,0.21698,252.000,0.067589,252.000,0.040015,252.000,0.018869,252.000,0.010002,252.000,0.0092923,
253.000,-0.0081247,0.000,-0.5729,-0.003,-0.10739,-0.002,-0.2731,-0.001,-0.051326,0.001,-0.012219,253.000,-0.0081247,253.000,0.000215,253.000,0.41792,253.000,0.21064,253.000,0.080154,253.000,0.046027,253.000,0.20034,253.000,0.062436,253.000,0.037089,253.000,0.016687,253.000,0.0097234,253.000,0.0088588,
254.000,-0.0077103,0.000,-0.5729,-0.003,-0.10665,-0.002,-0.27304,-0.001,-0.051231,0.001,-0.012198,254.000,-0.0077103,254.000,-4.2531E-5,254.000,0.38595,254.000,0.19547,254.000,0.074967,254.000,0.042521,254.000,0.18699,254.000,0.058033,254.000,0.034256,254.000,0.015063,254.000,0.0086591,254.000,0.0081887,
255.000,-0.0074027,0.000,-0.5729,-0.002,-0.1062,-0.002,-0.27285,0.000,-0.051256,0.001,-0.012176,255.000,-0.0074027,255.000,-9.3107E-5,255.000,0.36023,255.000,0.18327,255.000,0.070871,255.000,0.040512,255.000,0.17704,255.000,0.055136,255.000,0.032438,255.000,0.014376,255.000,0.0081518,255.000,0.0076642,
256.000,-0.0070186,0.000,-0.5729,-0.001,-0.1057,-0.002,-0.27192,0.000,-0.051163,0.001,-0.012225,256.000,-0.0070186,256.000,0.00016131,256.000,0.33983,256.000,0.17295,256.000,0.068301,256.000,0.038345,256.000,0.16881,256.000,0.05226,256.000,0.03061,256.000,0.013832,256.000,0.0077917,256.000,0.006977,
257.000,-0.006918,0.000,-0.5729,0.000,-0.10536,-0.001,-0.27175,0.000,-0.051009,0.001,-0.012271,257.000,-0.006918,257.000,-6.2151E-5,257.000,0.32309,257.000,0.16529,257.000,0.065473,257.000,0.036853,257.000,0.16241,257.000,0.049788,257.000,0.029709,257.000,0.013089,257.000,0.0076937,257.000,0.0067807,
258.000,-0.0063091,0.000,-0.5729,0.001,-0.10465,-0.001,-0.2693,0.000,-0.05105,0.001,-0.012197,258.000,-0.0063091,258.000,-0.00011542,258.000,0.30891,258.000,0.15886,258.000,0.062701,258.000,0.035402,258.000,0.15701,258.000,0.047913,258.000,0.027955,258.000,0.012193,258.000,0.0072622,258.000,0.0061702,
