       Field	   Intensity
        [mT]	         [ ]
       0.000	 -8.7951e+02
       0.250	 -1.6347e+03
       0.500	 -2.7624e+03
       0.750	 -2.3854e+03
       1.000	 -7.4976e+02
       1.250	 -1.4195e+01
       1.500	 -5.6676e+02
       1.750	 -1.4434e+03
       2.000	 -2.3940e+03
       2.250	 -3.0132e+03
       2.500	 -2.0777e+03
       2.750	  1.4162e+02
       3.000	  1.7018e+03
       3.250	  1.2276e+03
       3.500	 -5.1601e+02
       3.750	 -1.4519e+03
       4.000	 -1.5518e+03
       4.250	 -2.0219e+03
       4.500	 -2.0441e+03
       4.750	 -8.7345e+02
       5.000	 -6.8133e+01
       5.250	 -8.6276e+02
       5.500	 -2.3623e+03
       5.750	 -3.5933e+03
       6.000	 -4.3303e+03
       6.250	 -3.5681e+03
       6.500	 -1.0681e+03
       6.750	  9.8587e+02
       7.000	  9.6724e+02
       7.250	 -3.0807e+02
       7.500	 -1.3142e+03
       7.750	 -1.6399e+03
       8.000	 -1.8346e+03
       8.250	 -1.8053e+03
       8.500	 -1.2778e+03
       8.750	 -9.3763e+02
       9.000	 -1.1311e+03
       9.250	 -1.2943e+03
       9.500	 -1.4106e+03
       9.750	 -1.8861e+03
      10.000	 -2.3449e+03
      10.250	 -2.5989e+03
      10.500	 -2.8906e+03
      10.750	 -2.6843e+03
      11.000	 -1.5343e+03
      11.250	 -3.6620e+02
      11.500	 -4.1020e+02
      11.750	 -8.8307e+02
      12.000	 -3.6520e+02
      12.250	  3.2887e+02
      12.500	  3.8224e+02
      12.750	  1.9955e+02
      13.000	 -5.8170e+02
      13.250	 -1.8214e+03
      13.500	 -1.6616e+03
      13.750	  1.7312e+02
      14.000	  8.8205e+02
      14.250	 -3.3757e+02
      14.500	 -1.2566e+03
      14.750	 -1.5759e+03
      15.000	 -1.9782e+03
      15.250	 -2.1499e+03
      15.500	 -2.1706e+03
      15.750	 -1.9616e+03
      16.000	 -1.5912e+03
      16.250	 -1.6216e+03
      16.500	 -1.7680e+03
      16.750	 -1.5553e+03
      17.000	 -1.2626e+03
      17.250	 -1.3126e+03
      17.500	 -1.5238e+03
      17.750	 -8.3876e+02
      18.000	  8.9918e+02
      18.250	  2.0138e+03
      18.500	  1.9214e+03
      18.750	  1.7872e+03
      19.000	  1.6551e+03
