[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832343540.87727,06/08/2021,7:52 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Gd,SAMPLE_MATERIAL
INFO,Michaela_Gd,SAMPLE_COMMENT
INFO,0.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,54.44,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832343546.93682,299.921661376953,9999.8056640625,0.000198314068282119,2.9689831610938E-8,1,2,13.4005146026611,4.99291125903476,32.5799994170666,0.26371636211772,0.0392138162976101,1,1.72423261543995E-6,,,,,,,,,,,,,,,,,,,,,299.921661376953,299.921661376953,9999.8056640625,9999.8056640625,47.1490047227838,5.27128655347688,9.17324638366699,27,1,0,0,1,0.277252197265625,38.6119270324707,1,1,1,299.921661376953,0,299.921661376953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832343549.72047,299.925872802734,9999.8056640625,0.000198305423390699,2.86514964501242E-8,1,2,13.4005146026611,4.99286106542332,32.5799994170666,0.263697026803498,0.039241652491929,1,1.74675469498897E-6,,,,,,,,,,,,,,,,,,,,,299.925872802734,299.925872802734,9999.8056640625,9999.8056640625,47.2478807304665,5.27147604592364,9.17851257324219,27,1,0,0,1,0.276718139648438,38.6119270324707,6,1,1,299.925872802734,0,299.925872802734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832343550.62806,299.917404174805,9999.8056640625,0.000198371770008739,3.09597387357049E-8,1,2,13.4005146026611,4.99288432389001,32.5799994170666,0.263798856947867,0.0391697682969743,1,1.68329842486978E-6,,,,,,,,,,,,,,,,,,,,,299.908935546875,299.925872802734,9999.8056640625,9999.8056640625,47.1587750792742,5.27156956654397,9.16851806640625,27,1,0,0,1,0.276565551757813,38.6119270324707,6,1,1,299.908935546875,0,299.917404174805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832343552.42241,299.896820068359,9999.8056640625,0.000198350283086555,4.9517831342901E-8,1,2,13.4005146026611,4.99287007483522,32.5900018215179,0.263741141520743,0.0393664151002101,1,1.83411763796666E-6,,,,,,,,,,,,,,,,,,,,,299.884704589844,299.908935546875,9999.8056640625,9999.8056640625,47.1794882350338,5.27182232087737,9.15716361999512,27,1,0,0,1,0.274429321289062,38.6119270324707,2,1,1,299.884704589844,0,299.896820068359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832343554.26542,299.870452880859,9999.8056640625,0.000198288612941367,4.58190571871131E-8,1,2,13.4005146026611,4.99287007483522,32.5799994170666,0.263675484783139,0.0392372807033348,1,1.74574866493595E-6,,,,,,,,,,,,,,,,,,,,,299.856201171875,299.884704589844,9999.8056640625,9999.8056640625,47.1962932481973,5.27182232087737,9.1689920425415,27,1,0,0,1,0.27618408203125,38.6119270324707,2,1,1,299.856201171875,0,299.870452880859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832343556.26801,299.847061157227,9999.8056640625,0.000198430527554462,3.10596982035967E-8,1,2,13.4005146026611,4.99288560115371,32.5799994170666,0.263869797540953,0.0392335140527053,1,1.72295124691255E-6,,,,,,,,,,,,,,,,,,,,,299.837921142578,299.856201171875,9999.8056640625,9999.8056640625,47.1493955370434,5.27137107463366,9.16615867614746,27,1,0,0,1,0.287551879882813,38.6119270324707,2,1,1,299.837921142578,0,299.847061157227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832343558.30131,299.825149536133,9999.8056640625,0.000198448050767148,3.39757634855426E-8,1,2,13.4005146026611,4.99290561027633,32.5799994170666,0.263907371302585,0.0391454883876979,1,1.65422457679468E-6,,,,,,,,,,,,,,,,,,,,,299.816162109375,299.834136962891,9999.8056640625,9999.8056640625,47.1415792518511,5.27159648490911,9.15750026702881,27,1,0,0,1,0.28656005859375,38.6119270324707,2,1,1,299.816162109375,0,299.825149536133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832343560.34979,299.803970336914,9999.8056640625,0.000198414003057986,3.32677403711891E-8,1,2,13.4005146026611,4.99290561027633,32.5900018215179,0.263854412657477,0.0391936999180332,1,1.69519612252118E-6,,,,,,,,,,,,,,,,,,,,,299.791778564453,299.816162109375,9999.8056640625,9999.8056640625,47.16307403613,5.27159648490911,9.16306304931641,27,1,0,0,1,0.284271240234375,38.6119270324707,2,1,1,299.791778564453,0,299.803970336914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832343562.33688,299.77668762207,9999.8056640625,0.000198642148449994,4.02959088416635E-8,1,2,13.4005146026611,4.99292998786115,32.5799994170666,0.264155564541913,0.0392676885345095,1,1.71867082460906E-6,,,,,,,,,,,,,,,,,,,,,299.761596679687,299.791778564453,9999.8056640625,9999.8056640625,47.2021554620915,5.27129316984321,9.16097736358643,27,1,0,0,1,0.27496337890625,38.6119270324707,2,1,1,299.761596679687,0,299.77668762207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832343564.33478,299.743408203125,9999.8056640625,0.000198659140865185,3.34010515784482E-8,1,2,13.4005146026611,4.99291663106263,32.5799994170666,0.264160141786173,0.0393928514317995,1,1.81041066890694E-6,,,,,,,,,,,,,,,,,,,,,299.725219726562,299.761596679687,9999.8056640625,9999.8056640625,47.1959024339377,5.27123999576251,9.15382289886475,27,1,0,0,1,0.286483764648438,38.6119270324707,2,1,1,299.725219726562,0,299.743408203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
