[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832333600.41406,06/08/2021,5:06 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Gd,SAMPLE_MATERIAL
INFO,Michaela_Gd,SAMPLE_COMMENT
INFO,0.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,54.44,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832333806.54065,299.684265136719,0.099701814353466,1.00723416469031E-6,1.09487090495175E-8,1,2,13.4005146026611,4.99502417996082,32.600000500679,0.00133933235413975,0.000205401985813872,1,1.33514068680145E-8,,,,,,,,,,,,,,,,,,,,,299.684265136719,299.684265136719,0.099701814353466,0.099701814353466,47.2220869893319,5.26350412895955,12.4085035324097,27,1,0,0,1,0.275421142578125,38.1231689453125,1,1,1,299.684265136719,0,299.684265136719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832333817.16871,299.711395263672,525.877197265625,1.65268812643183E-5,1.65671724149638E-8,1,2,13.4005146026611,4.99502578072001,32.600000500679,0.0219803879451111,0.00333902356260812,1,1.95613788073565E-7,,,,,,,,,,,,,,,,,,,,,299.709228515625,299.713562011719,525.877197265625,525.877197265625,47.2396736310146,5.26304756889024,12.5376634597778,27,1,0,0,1,0.28472900390625,38.1231689453125,1,1,1,299.713562011719,0,299.711395263672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832333828.5281,299.746276855469,1578.52905273438,3.9959501736373E-5,3.90383956184924E-8,1,2,13.4005146026611,4.99509053192908,32.600000500679,0.053111129485168,0.00832422524698034,1,6.61244300765978E-7,,,,,,,,,,,,,,,,,,,,,299.746246337891,299.746307373047,1578.52905273438,1578.52905273438,47.2732836573415,5.26317997769881,12.6502895355225,26,1,68,0,0,0.284042358398438,38.1231689453125,1,1,1,299.746246337891,0,299.746276855469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832333839.19147,299.763931274414,2631.36767578125,6.18336149295604E-5,4.65652547380224E-8,1,2,13.4005146026611,4.99509231094963,32.600000500679,0.0822188799927229,0.0126356344942268,1,8.39056020639839E-7,,,,,,,,,,,,,,,,,,,,,299.761810302734,299.766052246094,2631.36767578125,2631.36767578125,47.2127074471012,5.26316299304375,12.7785959243774,27,1,0,0,1,0.28411865234375,38.1231689453125,1,1,1,299.766052246094,0,299.763931274414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832333859.28704,299.823333740234,3683.84497070313,8.27909810229887E-5,3.26324833637921E-8,1,2,13.4005146026611,4.99510031624007,32.600000500679,0.110179750595503,0.0162456286365781,1,6.18519063440932E-7,,,,,,,,,,,,,,,,,,,,,299.823333740234,299.823333740234,3683.84497070313,3683.84497070313,47.2662490006685,5.26344427268911,12.923526763916,27,1,0,0,1,0.283279418945313,38.6119270324707,1,1,1,299.823333740234,0,299.823333740234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832333878.35441,299.886535644531,4736.5712890625,0.000102988509377269,3.50724611431277E-8,1,2,13.4005146026611,4.99509522276797,32.600000500679,0.137061350005948,0.0201906080297084,1,7.55716724384606E-7,,,,,,,,,,,,,,,,,,,,,299.886535644531,299.886535644531,4736.5712890625,4736.5712890625,47.1669821787261,5.26215407110745,13.0485067367554,27,1,0,0,1,0.283279418945313,38.1231689453125,1,1,1,299.886535644531,0,299.886535644531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832333888.52133,299.915908813477,5788.98681640625,0.000122794981177573,4.09123199788538E-8,1,2,13.4005146026611,4.99513690414901,32.600000500679,0.163367668991666,0.0244659386279292,1,1.19533832214278E-6,,,,,,,,,,,,,,,,,,,,,299.913848876953,299.91796875,5788.98681640625,5788.98681640625,47.1892585915242,5.26275301783907,13.1081457138062,27,1,0,0,1,0.28411865234375,38.6119270324707,1,1,1,299.91796875,0,299.915908813477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832333899.22426,299.941879272461,6841.9375,0.000142618896240414,4.87006878653816E-8,1,2,13.4005146026611,4.99511105564092,32.600000500679,0.189735649594334,0.0284484601131424,1,1.41305575447371E-6,,,,,,,,,,,,,,,,,,,,,299.939270019531,299.944488525391,6841.9375,6841.9375,47.2267767604473,5.26233679655272,13.1635217666626,27,1,0,0,1,0.275421142578125,38.1231689453125,1,1,1,299.944488525391,0,299.941879272461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832333909.75661,299.990509033203,7894.4267578125,0.000162241900177328,5.14101468564294E-8,1,2,13.4005146026611,4.99509120351631,32.600000500679,0.215851784827867,0.032280351564573,1,1.54579920048972E-6,,,,,,,,,,,,,,,,,,,,,299.983734130859,299.997283935547,7894.4267578125,7894.4267578125,47.2330297886012,5.26260768642149,13.210636138916,27,1,0,0,1,0.275115966796875,38.1231689453125,1,1,1,299.997283935547,0,299.990509033203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832333920.69754,300.049514770508,8947.0048828125,0.000181657421662021,2.74390172590443E-7,1,2,13.4005146026611,4.99507990212565,32.600000500679,0.241760981693854,0.0355788133788047,1,1.30710910639133E-6,,,,,,,,,,,,,,,,,,,,,300.048889160156,300.050140380859,8947.0048828125,8947.0048828125,47.2283400174858,5.26233332047303,13.2657737731934,27,1,0,0,1,0.27587890625,38.1231689453125,1,1,1,300.048889160156,0,300.049514770508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
