[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832337553.59413,06/08/2021,6:12 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Gd,SAMPLE_MATERIAL
INFO,Michaela_Gd,SAMPLE_COMMENT
INFO,0.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,54.44,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832337576.64092,7.99885129928589,9999.8056640625,0.00933660232204454,1.48675525426188E-5,1,2,13.4005146026611,4.98617752107363,31.649999320507,12.3952336257143,1.825233760915,10,6.79820308773578E-5,,,,,,,,,,,,,,,,,,,,,7.99885129928589,7.99885129928589,9999.8056640625,9999.8056640625,46.997368790053,5.32227515151508,4.89921951293945,27,1,0,0,1,0.2838134765625,36.6568908691406,1,1,1,7.99885129928589,0,7.99885129928589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832337579.4112,8.00875473022461,9999.8056640625,0.0093055037790571,3.04867690831687E-6,1,2,13.4005146026611,4.99350962799316,31.649999320507,12.3755572712705,1.84644718265102,10,8.54965874555408E-5,,,,,,,,,,,,,,,,,,,,,8.00875473022461,8.00875473022461,9999.8056640625,9999.8056640625,47.0427032441684,5.26482486341595,4.88894367218018,27,1,0,0,1,0.283432006835938,36.6568908691406,6,1,1,8.00875473022461,0,8.00875473022461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832337580.39298,8.04566049575806,9999.8056640625,0.00921764656658454,5.46922679782307E-6,1,2,13.4005146026611,4.99427422390723,31.649999320507,12.261248606984,1.82966650573808,10,8.48911184903281E-5,,,,,,,,,,,,,,,,,,,,,8.00875473022461,8.0825662612915,9999.8056640625,9999.8056640625,47.0341053304569,5.26474790591692,4.90426683425903,27,1,0,0,1,0.283966064453125,37.1456527709961,6,1,1,8.0825662612915,0,8.04566049575806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832337582.40098,8.1281270980835,9999.8056640625,0.00911896312683477,5.1132234245104E-6,1,2,13.4005146026611,4.99427422390723,31.649999320507,12.1299785972593,1.81009248235092,10,8.39929796962719E-5,,,,,,,,,,,,,,,,,,,,,8.0825662612915,8.17368793487549,9999.8056640625,9999.8056640625,47.0985896832934,5.26474790591692,4.92324829101562,27,1,0,0,1,0.276947021484375,37.1456527709961,6,1,1,8.17368793487549,0,8.1281270980835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832337584.50954,8.22524261474609,9999.8056640625,0.00902194915392725,5.1113149105319E-6,1,2,13.4005146026611,4.99425260691788,31.649999320507,12.0008721254062,1.79073916999391,10,8.30350963674127E-5,,,,,,,,,,,,,,,,,,,,,8.18558883666992,8.26489639282227,9999.8056640625,9999.8056640625,47.0364502160146,5.26467977006506,4.94983816146851,27,1,0,0,1,0.286178588867187,37.1456527709961,6,1,1,8.26489639282227,0,8.22524261474609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832337586.51704,8.30578422546387,9999.8056640625,0.00892729214090921,4.94202025053653E-6,1,2,13.4005146026611,4.99425540490526,31.649999320507,11.8749587563243,1.77203125303423,10,8.22231461228783E-5,,,,,,,,,,,,,,,,,,,,,8.26489639282227,8.34667205810547,9999.8056640625,9999.8056640625,47.0493470865819,5.26473003160918,4.95227670669556,27,1,0,0,1,0.283737182617187,37.1456527709961,6,1,1,8.34667205810547,0,8.30578422546387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832337588.6046,8.402512550354,9999.8056640625,0.00883319182321569,4.90870302126137E-6,1,2,13.4005146026611,4.99423803728321,31.649999320507,11.7497106291042,1.75349617300653,10,8.14704292003063E-5,,,,,,,,,,,,,,,,,,,,,8.36873531341553,8.43628978729248,9999.8056640625,9999.8056640625,47.0313696306396,5.26501208593108,4.97034978866577,27,1,0,0,1,0.285873413085938,37.1456527709961,6,1,1,8.43628978729248,0,8.402512550354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832337590.46144,8.48704671859741,9999.8056640625,0.00874053240462321,4.84054047435665E-6,1,2,13.4005146026611,4.99423803728321,31.649999320507,11.6265626557887,1.73434779328869,10,8.00494330562539E-5,,,,,,,,,,,,,,,,,,,,,8.44597434997559,8.52811908721924,9999.8056640625,9999.8056640625,47.0770948990146,5.26501208593108,4.99043846130371,27,1,0,0,1,0.284957885742187,37.1456527709961,6,1,1,8.52811908721924,0,8.48704671859741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832337592.47549,8.58824872970581,9999.8056640625,0.00865425492058868,4.41999620319837E-6,1,2,13.4005146026611,4.99426259739743,31.649999320507,11.5119347969828,1.71681078844308,10,7.89372558712819E-5,,,,,,,,,,,,,,,,,,,,,8.53763294219971,8.63886451721191,9999.8056640625,9999.8056640625,47.0090932178415,5.26467161235747,4.99458456039429,27,1,0,0,1,0.286026000976562,37.1456527709961,6,1,1,8.63886451721191,0,8.58824872970581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832337594.50005,8.68160629272461,9999.8056640625,0.00856888808639446,4.66064965240307E-6,1,2,13.4005146026611,4.99432580370833,31.649999320507,11.3985539439017,1.70007045360027,10,7.82825359357647E-5,,,,,,,,,,,,,,,,,,,,,8.63886451721191,8.7243480682373,9999.8056640625,9999.8056640625,47.0430940584281,5.26443278026636,5.08591318130493,27,1,0,0,1,0.286102294921875,37.1456527709961,6,1,1,8.7243480682373,0,8.68160629272461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
