[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3833442697.39187,06/21/2021,1:12 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Y,SAMPLE_MATERIAL
INFO,Michaela_Y,SAMPLE_COMMENT
INFO,1.14,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,56.41,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3833442705.37833,299.928955078125,9999.6064453125,-0.000139992470873004,3.42826600945055E-8,1,2,13.4005146026611,4.99374856720583,30.7899992913008,-0.186236228740613,-0.0274543731061025,1,-1.04179864008141E-6,,,,,,,,,,,,,,,,,,,,,299.928955078125,299.928955078125,9999.6064453125,9999.6064453125,47.0899917695819,5.26321346751705,17.4517822265625,27,1,0,0,1,0.295867919921875,37.6344108581543,1,1,1,299.928955078125,0,299.928955078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833442708.0587,299.933410644531,9999.6064453125,-0.000139984811021502,3.06023777709459E-8,1,2,13.4005146026611,4.99372884694886,30.7899992913008,-0.186222372613008,-0.0274717350804989,1,-1.05601856471117E-6,,,,,,,,,,,,,,,,,,,,,299.933410644531,299.933410644531,9999.6064453125,9999.6064453125,47.0751408277165,5.263142969928,17.4596786499023,27,1,0,0,1,0.277557373046875,37.6344108581543,6,1,1,299.933410644531,0,299.933410644531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833442709.75439,299.906280517578,9999.6064453125,-0.000139973529089516,3.16474486763704E-8,1,2,13.4005146026611,4.99370073895463,30.7899992913008,-0.186201301199436,-0.0275024011046376,1,-1.08078286912538E-6,,,,,,,,,,,,,,,,,,,,,299.879150390625,299.933410644531,9999.6064453125,9999.6064453125,47.0489562723223,5.26351881336082,17.4675731658936,27,1,0,0,1,0.285873413085938,37.6344108581543,6,1,1,299.879150390625,0,299.906280517578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833442712.46755,299.862274169922,9999.6064453125,-0.000140006534231551,2.95812861318485E-8,1,2,13.4005146026611,4.99370073895463,30.7899992913008,-0.186250839952036,-0.0274685968486179,1,-1.05078371768591E-6,,,,,,,,,,,,,,,,,,,,,299.848968505859,299.875579833984,9999.6064453125,9999.6064453125,47.0884285125434,5.26351881336082,17.4377994537354,27,1,0,0,1,0.275726318359375,37.6344108581543,2,1,1,299.848968505859,0,299.862274169922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833442714.52034,299.837158203125,9999.6064453125,-0.000139972275639901,3.20045031078848E-8,1,2,13.4005146026611,4.99371517151152,30.7899992913008,-0.186209718232621,-0.0274354135254871,1,-1.03057418706773E-6,,,,,,,,,,,,,,,,,,,,,299.825347900391,299.848968505859,9999.6064453125,9999.6064453125,47.1282915670242,5.26346750243751,17.4638175964355,27,1,0,0,1,0.294189453125,37.6344108581543,2,1,1,299.825347900391,0,299.837158203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833442716.84453,299.813217163086,9999.6064453125,-0.000139993350361048,4.0550245757453E-8,1,2,13.4005146026611,4.99373663195978,30.7899992913008,-0.186230181150639,-0.0275017139472744,1,-1.07729204651772E-6,,,,,,,,,,,,,,,,,,,,,299.803192138672,299.8232421875,9999.6064453125,9999.6064453125,47.0610715143704,5.26309868628834,17.4684791564941,27,1,0,0,1,0.286178588867187,37.6344108581543,2,1,1,299.803192138672,0,299.813217163086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833442719.82074,299.771377563477,9999.6064453125,-0.000140011874272785,2.64373191465129E-8,1,2,13.4005146026611,4.99374994247754,30.7899992913008,-0.186263126693231,-0.027450931355166,1,-1.03649339718821E-6,,,,,,,,,,,,,,,,,,,,,299.745727539063,299.797027587891,9999.6064453125,9999.6064453125,47.0606807001108,5.26320583302072,17.4487857818604,27,1,0,0,1,0.286407470703125,38.1231689453125,2,1,1,299.745727539063,0,299.771377563477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833442722.52427,299.722808837891,9999.6064453125,-0.000139996636902673,2.70927383959468E-8,1,2,13.4005146026611,4.99374109402972,30.7899992913008,-0.186238253320321,-0.0274775605443807,1,-1.05867014439252E-6,,,,,,,,,,,,,,,,,,,,,299.699890136719,299.745727539063,9999.6064453125,9999.6064453125,47.0677153567838,5.26311766384621,17.4469108581543,27,1,0,0,1,0.277481079101562,37.6344108581543,2,1,1,299.699890136719,0,299.722808837891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833442724.72997,299.671752929687,9999.6064453125,-0.000140019027398362,3.01328087335153E-8,1,2,13.4005146026611,4.99374109402972,30.7899992913008,-0.186263936980907,-0.0275112963592337,1,-1.08087210812773E-6,,,,,,,,,,,,,,,,,,,,,299.643615722656,299.699890136719,9999.6064453125,9999.6064453125,47.1114865538608,5.26311766384621,17.4473762512207,27,1,0,0,1,0.283355712890625,37.6344108581543,2,1,1,299.643615722656,0,299.671752929687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833442726.74827,299.622650146484,9999.6064453125,-0.000139970249229745,3.15618678353644E-8,1,2,13.4005146026611,4.99374388255175,30.7899992913008,-0.186203110792357,-0.0274736992528586,1,-1.05944443850988E-6,,,,,,,,,,,,,,,,,,,,,299.601684570313,299.643615722656,9999.6064453125,9999.6064453125,47.0317604448992,5.2634649694343,17.4457015991211,27,1,0,0,1,0.277328491210938,37.6344108581543,2,1,1,299.601684570313,0,299.622650146484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
