[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3833432996.14445,06/21/2021,10:30 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Y,SAMPLE_MATERIAL
INFO,Michaela_Y,SAMPLE_COMMENT
INFO,1.14,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,56.41,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3833433022.14925,299.696197509766,0.0872390866279602,2.89474155024971E-7,1.13354750682697E-8,1,2,13.4005146026611,5.00568631410063,30.7899992913008,0.000389178501803144,3.67754623156859E-5,1,-1.29497856222162E-8,,,,,,,,,,,,,,,,,,,,,299.696197509766,299.696197509766,0.0872390866279602,0.0872390866279602,46.8480777428799,5.25527720200199,10.026985168457,27,1,0,0,1,0.290145874023438,36.6568908691406,1,1,1,299.696197509766,0,299.696197509766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833433030.72209,299.698684692383,525.976928710937,-6.61227611472952E-6,1.50712837542633E-8,1,2,13.4005146026611,5.00565216123971,30.7899992913008,-0.00882355163238042,-0.00131295635519796,1,-5.8165592822343E-8,,,,,,,,,,,,,,,,,,,,,299.697143554687,299.700225830078,525.976928710937,525.976928710937,46.9504710788992,5.25513879394639,10.4221448898315,27,1,0,0,1,0.280609130859375,36.6568908691406,1,1,1,299.700225830078,0,299.698684692383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833433041.54976,299.741287231445,1578.50415039062,-2.1521518246834E-5,2.79696807492023E-8,1,2,13.4005146026611,5.00560731915265,30.7899992913008,-0.0287735933450639,-0.00387849728785149,1,1.06210224377107E-7,,,,,,,,,,,,,,,,,,,,,299.737060546875,299.745513916016,1578.50415039062,1578.50415039062,46.9024009249665,5.25498114895938,10.8226900100708,27,1,0,0,1,0.285873413085938,37.1456527709961,1,1,1,299.745513916016,0,299.741287231445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833433054.13017,299.792449951172,2631.39282226562,-3.65670665663273E-5,1.56459820852426E-8,1,2,13.4005146026611,5.00554202321548,30.7899992913008,-0.0488071657271542,-0.00716898196036159,1,-2.5304268377415E-7,,,,,,,,,,,,,,,,,,,,,299.786010742188,299.798889160156,2631.39282226562,2631.39282226562,46.9641495779857,5.25436372184775,11.2650575637817,27,1,0,0,1,0.282135009765625,37.1456527709961,1,1,1,299.798889160156,0,299.792449951172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833433066.16112,299.842132568359,3684.05712890625,-5.17105322953376E-5,2.20060528027217E-8,1,2,13.4005146026611,5.00557693246386,30.7899992913008,-0.069033669735583,-0.0100420814969616,1,-2.86072457710228E-7,,,,,,,,,,,,,,,,,,,,,299.839477539063,299.844787597656,3684.05712890625,3684.05712890625,46.8926305684761,5.2549538750233,11.5817613601685,27,1,0,0,1,0.282211303710938,37.6344108581543,1,1,1,299.844787597656,0,299.842132568359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833433077.48985,299.878311157227,4736.5966796875,-6.7011148569539E-5,2.21190257374355E-8,1,2,13.4005146026611,5.00554696046131,30.7899992913008,-0.0894541086149326,-0.0130503970852948,1,-3.98467252174224E-7,,,,,,,,,,,,,,,,,,,,,299.874328613281,299.882293701172,4736.5966796875,4736.5966796875,46.9571149213127,5.25485902030995,11.8815727233887,27,1,0,0,1,0.283737182617187,37.6344108581543,1,1,1,299.882293701172,0,299.878311157227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833433088.05855,299.908981323242,5789.2607421875,-8.22004668269883E-5,2.51305020556934E-8,1,2,13.4005146026611,5.00548900841476,30.7899992913008,-0.109719924345307,-0.0160717526544316,1,-5.36313121683931E-7,,,,,,,,,,,,,,,,,,,,,299.906463623047,299.911499023438,5789.2607421875,5789.2607421875,46.9012284821876,5.25450003411325,12.1418342590332,27,1,0,0,1,0.283050537109375,37.6344108581543,1,1,1,299.911499023438,0,299.908981323242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833433100.67792,299.936096191406,6841.8623046875,-9.73847309017093E-5,1.87122309621787E-8,1,2,13.4005146026611,5.00551943957013,30.7899992913008,-0.129965252509555,-0.0192086201712227,1,-7.61052309480886E-7,,,,,,,,,,,,,,,,,,,,,299.933319091797,299.938873291016,6841.8623046875,6841.8623046875,46.9676669063223,5.25506921435323,12.4288721084595,27,1,0,0,1,0.2783203125,37.6344108581543,1,1,1,299.938873291016,0,299.936096191406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833433113.1096,299.959991455078,7894.56396484375,-0.00011267038829737,3.10436321803294E-8,1,2,13.4005146026611,5.0055116887994,30.7899992913008,-0.150389357013093,-0.0220456709302929,1,-7.47338166921525E-7,,,,,,,,,,,,,,,,,,,,,299.958831787109,299.961151123047,7894.56396484375,7894.56396484375,46.9407007224088,5.25470054391447,12.6690530776978,27,1,0,0,1,0.276260375976562,37.6344108581543,1,1,1,299.961151123047,0,299.959991455078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833433123.79395,299.976608276367,8946.966796875,-0.000127870168554852,3.22424666662283E-8,1,2,13.4005146026611,5.00545019483371,30.7899992913008,-0.170660205105572,-0.0251232799276361,1,-9.25973968257364E-7,,,,,,,,,,,,,,,,,,,,,299.975952148438,299.977264404297,8946.966796875,8946.966796875,46.9731383059569,5.25449670104553,12.8495531082153,27,1,0,0,1,0.283050537109375,37.6344108581543,1,1,1,299.977264404297,0,299.976608276367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833433136.69511,299.986831665039,9999.8056640625,-0.000143004409312328,2.9665172224327E-8,1,2,13.4005146026611,5.00546098488555,30.7899992913008,-0.190841060357165,-0.0282285917671504,1,-1.13416993579149E-6,,,,,,,,,,,,,,,,,,,,,299.985809326172,299.987854003906,9999.8056640625,9999.8056640625,46.9688393491011,5.25434968203416,13.0797328948975,27,1,0,0,1,0.279769897460938,37.6344108581543,1,1,1,299.987854003906,0,299.986831665039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833433161.88162,300.014465332031,11999.6123046875,-0.000171848161706303,4.41880250582634E-8,1,2,13.4005146026611,5.00543653687356,30.7899992913008,-0.22932267872555,-0.0339876483518503,1,-1.41204970138291E-6,,,,,,,,,,,,,,,,,,,,,300.014465332031,300.014465332031,11999.6123046875,11999.6123046875,46.9790005198511,5.25476355907246,13.4244165420532,27,1,0,0,1,0.280990600585938,38.1231689453125,1,1,1,300.014465332031,0,300.014465332031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
