[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3833436712.90471,06/21/2021,11:32 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Y,SAMPLE_MATERIAL
INFO,Michaela_Y,SAMPLE_COMMENT
INFO,1.14,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,56.41,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3833436733.05343,7.99914884567261,9999.6064453125,-6.7438818352214E-5,7.59649468542897E-8,1,2,13.4005146026611,4.99539513376799,29.8699997365475,-0.0897408097914627,-0.0133433521937966,1,-5.85732198645483E-7,,,,,,,,,,,,,,,,,,,,,7.99914884567261,7.99914884567261,9999.6064453125,9999.6064453125,46.7288793936972,5.253996310869,3.92914462089539,27,1,0,0,1,0.275344848632813,35.6793746948242,1,1,1,7.99914884567261,0,7.99914884567261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833436735.83287,8.00046443939209,9999.6064453125,-8.77362539407723E-5,1.3050819118954E-7,1,2,13.4005146026611,4.99021943823308,29.8599991947412,-0.116620370402594,-0.0170808194089939,1,-5.71172183606136E-7,,,,,,,,,,,,,,,,,,,,,8.00046443939209,8.00046443939209,9999.6064453125,9999.6064453125,46.7511558064953,5.31051479503344,3.92847895622253,27,1,0,0,1,0.291290283203125,35.6793746948242,6,1,1,8.00046443939209,0,8.00046443939209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833436736.71068,8.02127695083618,9999.6064453125,-8.76860721099614E-5,1.15255439696622E-7,1,2,13.4005146026611,4.99021943823308,29.8599991947412,-0.116556253703275,-0.0170525565771374,1,-5.56945253331588E-7,,,,,,,,,,,,,,,,,,,,,8.00244140625,8.04011249542236,9999.6064453125,9999.6064453125,46.7011315812646,5.31051479503344,3.92866110801697,27,1,0,0,1,0.283966064453125,35.6793746948242,6,1,1,8.04011249542236,0,8.02127695083618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833436738.7275,8.09172487258911,9999.6064453125,-8.79340924663743E-5,5.02596469645627E-8,1,2,13.4005146026611,4.99534804177201,29.8599991947412,-0.117018779147038,-0.01735232929201,1,-7.29241029302345E-7,,,,,,,,,,,,,,,,,,,,,8.04011249542236,8.14333724975586,9999.6064453125,9999.6064453125,46.8351808723126,5.25505073186214,3.93966698646545,27,1,0,0,1,0.283889770507813,35.6793746948242,6,1,1,8.14333724975586,0,8.09172487258911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833436740.77273,8.179030418396,9999.6064453125,-8.8304237095938E-5,4.28730751954876E-8,1,2,13.4005146026611,4.9953541671963,29.8599991947412,-0.117509645434267,-0.0174390113508157,1,-7.42526733323491E-7,,,,,,,,,,,,,,,,,,,,,8.15083122253418,8.20722961425781,9999.6064453125,9999.6064453125,46.7136376375722,5.25426195829312,3.95453882217407,27,1,0,0,1,0.282669067382813,35.6793746948242,6,1,1,8.20722961425781,0,8.179030418396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833436742.65747,8.24995946884155,9999.6064453125,-8.87147323195631E-5,4.99202607539202E-8,1,2,13.4005146026611,4.9953541671963,29.8599991947412,-0.118054040925238,-0.017533420185713,1,-7.55991989525827E-7,,,,,,,,,,,,,,,,,,,,,8.20722961425781,8.29268932342529,9999.6064453125,9999.6064453125,46.7007407670049,5.25426195829312,3.96553158760071,27,1,0,0,1,0.283432006835938,35.6793746948242,6,1,1,8.29268932342529,0,8.24995946884155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833436744.67511,8.36368703842163,9999.6064453125,-8.91649885482793E-5,4.61157358661025E-8,1,2,13.4005146026611,4.99534512094786,29.8599991947412,-0.11866019663519,-0.0175702462274637,1,-7.20710001472058E-7,,,,,,,,,,,,,,,,,,,,,8.32333946228027,8.40403461456299,9999.6064453125,9999.6064453125,46.7046489096011,5.25444759776089,3.97044539451599,27,1,0,0,1,0.291595458984375,35.6793746948242,6,1,1,8.40403461456299,0,8.36368703842163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833436746.63177,8.44991445541382,9999.6064453125,-8.96096578914903E-5,5.35885202827473E-8,1,2,13.4005146026611,4.99533546025337,29.8599991947412,-0.119247198535074,-0.0176896156882252,1,-7.48167320901675E-7,,,,,,,,,,,,,,,,,,,,,8.40403461456299,8.49579429626465,9999.6064453125,9999.6064453125,46.6585328269665,5.25401908816365,3.97028851509094,27,1,0,0,1,0.282211303710938,36.1681327819824,6,1,1,8.49579429626465,0,8.44991445541382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833436748.9598,8.5556001663208,9999.6064453125,-8.9920022303557E-5,5.33685426736719E-8,1,2,13.4005146026611,4.99534480681693,29.8599991947412,-0.119656193936403,-0.0177818671476447,1,-7.73979904368148E-7,,,,,,,,,,,,,,,,,,,,,8.50364589691162,8.60755443572998,9999.6064453125,9999.6064453125,46.7671791911396,5.2539306211442,3.98879289627075,27,1,0,0,1,0.282974243164062,36.1681327819824,6,1,1,8.60755443572998,0,8.5556001663208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833436751.97794,8.69403457641602,9999.6064453125,-9.06814513657262E-5,1.76649779058033E-7,1,2,13.4005146026611,4.99535703787194,29.8599991947412,-0.120654676229052,-0.0180408741222581,1,-8.61876179758364E-7,,,,,,,,,,,,,,,,,,,,,8.60755443572998,8.78051471710205,9999.6064453125,9999.6064453125,46.6808092397646,5.25384357468437,3.99924206733704,27,1,0,0,1,0.291213989257812,35.6793746948242,6,1,1,8.78051471710205,0,8.69403457641602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
