[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832420205.03638,06/09/2021,5:10 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Dy,SAMPLE_MATERIAL
INFO,Michaela_Dy,SAMPLE_COMMENT
INFO,.85,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,54.24,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832420212.77964,299.921325683594,9999.7802734375,0.000273924037895028,4.18244709082178E-8,1,2,13.4005146026611,5.0034339906439,33.100001513958,0.36535450276047,0.0540266046178632,1,2.1611585397836E-6,,,,,,,,,,,,,,,,,,,,,299.921203613281,299.921447753906,9999.7802734375,9999.7802734375,47.3834932785531,5.27208530467886,8.21032810211182,27,1,0,0,1,0.281524658203125,40.0782012939453,1,1,1,299.921447753906,0,299.921325683594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420215.62665,299.926605224609,9999.7802734375,0.000273912832163969,3.77626624811514E-8,1,2,13.4005146026611,5.00343228259204,33.110000193119,0.365339290008704,0.0540250569946972,1,2.16158519042542E-6,,,,,,,,,,,,,,,,,,,,,299.926605224609,299.926605224609,9999.7802734375,9999.7802734375,47.3467567381492,5.27228931735668,8.21802520751953,27,1,0,0,1,0.286407470703125,40.0782012939453,6,1,1,299.926605224609,0,299.926605224609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420217.13189,299.926666259766,9999.7802734375,0.000273883754961363,3.47542574707178E-8,1,2,13.4005146026611,5.00340295603372,33.100001513958,0.365293562510257,0.0540476109312446,1,2.1828664997475E-6,,,,,,,,,,,,,,,,,,,,,299.926483154297,299.926849365234,9999.7802734375,9999.7802734375,47.4428970460146,5.27144292646143,8.21625709533691,27,1,0,0,1,0.283126831054687,40.0782012939453,6,1,1,299.926483154297,0,299.926666259766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420219.55411,299.911087036133,9999.7802734375,0.000273901750350971,3.8599799719008E-8,1,2,13.4005146026611,5.00340295603372,33.100001513958,0.365321582844205,0.0540224189954469,1,2.16148340970572E-6,,,,,,,,,,,,,,,,,,,,,299.897491455078,299.924682617188,9999.7802734375,9999.7802734375,47.4284369184089,5.27144292646143,8.22527313232422,27,1,0,0,1,0.281219482421875,40.0782012939453,2,1,1,299.897491455078,0,299.911087036133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420221.8384,299.877944946289,9999.7802734375,0.00027393206467695,3.26050191643E-8,1,2,13.4005146026611,5.00340007700351,33.100001513958,0.365361978725663,0.0540265590687486,1,2.16037727419E-6,,,,,,,,,,,,,,,,,,,,,299.867401123047,299.888488769531,9999.7802734375,9999.7802734375,47.4088962054281,5.27233363164885,8.21273422241211,27,1,0,0,1,0.276718139648438,40.0782012939453,2,1,1,299.867401123047,0,299.877944946289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420224.85596,299.852554321289,9999.7802734375,0.000274010308671149,3.59904713156414E-8,1,2,13.4005146026611,5.00338350760626,33.110000193119,0.365466315868465,0.0540300641341265,1,2.15224541952988E-6,,,,,,,,,,,,,,,,,,,,,299.837707519531,299.867401123047,9999.7802734375,9999.7802734375,47.3854473498512,5.27235731027489,8.21442794799805,27,1,0,0,1,0.280838012695313,40.0782012939453,2,1,1,299.837707519531,0,299.852554321289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420227.60139,299.82438659668,9999.7802734375,0.000274086190776025,3.21731701797423E-8,1,2,13.4005146026611,5.00341797269259,33.100001513958,0.365565993031953,0.0540811293665638,1,2.179498179143E-6,,,,,,,,,,,,,,,,,,,,,299.811065673828,299.837707519531,9999.7802734375,9999.7802734375,47.3909187494858,5.27182085251771,8.21864032745361,27,1,0,0,1,0.281753540039062,40.0782012939453,2,1,1,299.811065673828,0,299.82438659668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420229.69166,299.796920776367,9999.7802734375,0.00027414952960803,3.42636029983003E-8,1,2,13.4005146026611,5.00342685407765,33.100001513958,0.365654139509007,0.0540738786118987,1,2.16511342955583E-6,,,,,,,,,,,,,,,,,,,,,299.782775878906,299.811065673828,9999.7802734375,9999.7802734375,47.3834932785531,5.27197220639623,8.21193981170654,27,1,0,0,1,0.280990600585938,40.0782012939453,2,1,1,299.782775878906,0,299.796920776367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420231.7164,299.767181396484,9999.7802734375,0.00027425049422799,3.0373513044845E-8,1,2,13.4005146026611,5.00342685407765,33.110000193119,0.365787919386317,0.0541001178566964,1,2.1706475570416E-6,,,,,,,,,,,,,,,,,,,,,299.751586914063,299.782775878906,9999.7802734375,9999.7802734375,47.3963901491204,5.27197220639623,8.20332908630371,27,1,0,0,1,0.280914306640625,40.0782012939453,2,1,1,299.751586914063,0,299.767181396484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420233.96821,299.717346191406,9999.7802734375,0.000274396412999454,3.76413382344962E-8,1,2,13.4005146026611,5.00348060184561,33.100001513958,0.365985718151487,0.0541454449189977,1,2.18359555092224E-6,,,,,,,,,,,,,,,,,,,,,299.699432373047,299.735260009766,9999.7802734375,9999.7802734375,47.4268736613704,5.27192706664329,8.21226119995117,27,1,0,0,1,0.2813720703125,40.0782012939453,2,1,1,299.699432373047,0,299.717346191406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420235.65129,299.663925170898,9999.7802734375,0.000274497026735626,3.51683678865033E-8,1,2,13.4005146026611,5.00347456072356,33.110000193119,0.366124232136116,0.0541300098652774,1,2.15803502281474E-6,,,,,,,,,,,,,,,,,,,,,299.62841796875,299.699432373047,9999.7802734375,9999.7802734375,47.4354715750819,5.27224704069595,8.20806503295898,27,1,0,0,1,0.280914306640625,40.0782012939453,2,1,1,299.62841796875,0,299.663925170898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420237.66572,299.600921630859,9999.7802734375,0.000274660076782734,2.97589926001134E-8,1,2,13.4005146026611,5.00347456072356,33.100001513958,0.36634123205273,0.0541655692975223,1,2.16186801463002E-6,,,,,,,,,,,,,,,,,,,,,299.573425292969,299.62841796875,9999.7802734375,9999.7802734375,47.3975625918992,5.27224704069595,8.20186519622803,27,1,0,0,1,0.282516479492187,40.0782012939453,2,1,1,299.573425292969,0,299.600921630859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420239.90495,299.50032043457,9999.7802734375,0.000274785005542508,2.51349254609614E-8,1,2,13.4005146026611,5.00347351855796,33.110000193119,0.366502393287028,0.0542285551761593,1,2.1915827908581E-6,,,,,,,,,,,,,,,,,,,,,299.452911376953,299.547729492188,9999.7802734375,9999.7802734375,47.3295609107262,5.27146399377391,8.19752407073975,27,1,0,0,1,0.282363891601562,40.0782012939453,2,1,1,299.452911376953,0,299.50032043457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420241.91501,299.426345825195,9999.7802734375,0.000274917020259372,3.68679485956405E-8,1,2,13.4005146026611,5.00347001779953,33.110000193119,0.366679337726145,0.0542458525286923,1,2.18611736878922E-6,,,,,,,,,,,,,,,,,,,,,299.399780273438,299.452911376953,9999.7802734375,9999.7802734375,47.3940452635627,5.27198040500212,8.21261215209961,27,1,0,0,1,0.283050537109375,40.0782012939453,2,1,1,299.399780273438,0,299.426345825195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420243.75371,299.364212036133,9999.7802734375,0.000275070793273279,3.1245032125812E-8,1,2,13.4005146026611,5.00347001779953,33.100001513958,0.366886355485465,0.0542624763957338,1,2.17706641122959E-6,,,,,,,,,,,,,,,,,,,,,299.328643798828,299.399780273438,9999.7802734375,9999.7802734375,47.4382072748993,5.27198040500212,8.2004508972168,27,1,0,0,1,0.281753540039062,40.0782012939453,2,1,1,299.328643798828,0,299.364212036133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832420245.8451,299.267471313477,9999.7802734375,0.000275222331856176,3.17858815358232E-8,1,2,13.4005146026611,5.00345535153339,33.100001513958,0.367080242312327,0.0543405119003542,1,2.21448310338644E-6,,,,,,,,,,,,,,,,,,,,,299.221313476562,299.313629150391,9999.7802734375,9999.7802734375,47.4499317026877,5.27164598161491,8.20670509338379,26,1,64,0,0,0.281600952148438,40.0782012939453,2,1,1,299.221313476562,0,299.267471313477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
