[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832410432.20469,06/09/2021,2:27 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Dy,SAMPLE_MATERIAL
INFO,Michaela_Dy,SAMPLE_COMMENT
INFO,.85,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,54.24,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832410457.43728,299.735412597656,0.137089997529984,5.84801720471526E-8,1.09265094181358E-8,1,2,13.4005146026611,5.00506625850022,33.100001513958,7.78347696806973E-5,1.29678546529375E-5,1,1.53077579576325E-9,,,,,,,,,,,,,,,,,,,,,299.735412597656,299.735412597656,0.137089997529984,0.137089997529984,47.2936059988415,5.26546517985563,8.32947063446045,27,1,0,0,1,0.276336669921875,39.1006851196289,1,1,1,299.735412597656,0,299.735412597656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832410466.40415,299.71125793457,526.051696777344,1.12110288941982E-5,7.16608870723045E-8,1,2,13.4005146026611,5.00514322359591,33.100001513958,0.014928556429151,0.00243735765928688,1,2.56991791155701E-7,,,,,,,,,,,,,,,,,,,,,299.707214355469,299.715301513672,526.051696777344,526.051696777344,47.3436302240723,5.26473509100058,8.76000022888184,26,1,68,0,0,0.279541015625,39.1006851196289,1,1,1,299.707214355469,0,299.71125793457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832410477.12808,299.707824707031,1578.7783203125,3.919238693237E-5,3.34186295314951E-8,1,2,13.4005146026611,5.00516952350054,33.100001513958,0.0522394912430675,0.00815810863847082,1,6.2693897858256E-7,,,,,,,,,,,,,,,,,,,,,299.706665039063,299.708984375,1578.7783203125,1578.7783203125,47.3549638376012,5.2649684118801,9.15167617797852,25,1,68,0,0,0.27496337890625,39.5894432067871,1,1,1,299.708984375,0,299.707824707031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832410487.74928,299.71240234375,2631.193359375,6.8273835709914E-5,2.73919516883937E-8,1,2,13.4005146026611,5.00522754839841,33.100001513958,0.0910653031722994,0.0137702567026324,1,7.61622786935479E-7,,,,,,,,,,,,,,,,,,,,,299.710754394531,299.714050292969,2631.193359375,2631.193359375,47.2939968131012,5.26462181925678,9.49411678314209,26,1,68,0,0,0.285110473632813,39.5894432067871,1,1,1,299.710754394531,0,299.71240234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832410500.33347,299.681640625,3684.05712890625,9.73463661003309E-5,1.49025671846891E-8,1,2,13.4005146026611,5.00518819516811,33.100001513958,0.129907137754668,0.0191646873636264,1,7.34831300652198E-7,,,,,,,,,,,,,,,,,,,,,299.676879882812,299.686401367188,3684.05712890625,3684.05712890625,47.3616076800146,5.26514639638715,9.88132476806641,27,1,0,0,1,0.283432006835938,39.5894432067871,1,1,1,299.676879882812,0,299.681640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832410513.28207,299.697113037109,4736.52197265625,0.000126477419065492,2.13084149778382E-8,1,2,13.4005146026611,5.00527000326731,33.100001513958,0.168782351688918,0.0249251505829142,1,9.73327491766903E-7,,,,,,,,,,,,,,,,,,,,,299.691436767578,299.702789306641,4736.52197265625,4736.52197265625,47.412022719505,5.26483946635152,10.1841506958008,27,1,0,0,1,0.276565551757813,39.5894432067871,1,1,1,299.702789306641,0,299.697113037109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832410526.17863,299.751998901367,5789.24853515625,0.000155624203795361,2.24310589949268E-8,1,2,13.4005146026611,5.00534385276501,33.100001513958,0.207676273927924,0.0307144523524896,1,1.23106778944118E-6,,,,,,,,,,,,,,,,,,,,,299.74560546875,299.758392333984,5789.24853515625,5789.24853515625,47.3877922354089,5.2652689450502,10.4513740539551,27,1,0,0,1,0.278854370117187,39.5894432067871,1,1,1,299.758392333984,0,299.751998901367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832410539.05266,299.775009155273,6841.70068359375,0.000184903947583862,2.39699152405116E-8,1,2,13.4005146026611,5.00533782161631,33.100001513958,0.246745605601773,0.036516621121139,1,1.48027035285681E-6,,,,,,,,,,,,,,,,,,,,,299.7724609375,299.777557373047,6841.70068359375,6841.70068359375,47.2986865842165,5.26541200107589,10.6996507644653,27,1,0,0,1,0.284423828125,40.0782012939453,1,1,1,299.7724609375,0,299.775009155273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832410550.93353,299.79084777832,7894.34033203125,0.000214022264467221,2.85875327928924E-8,1,2,13.4005146026611,5.00537805998806,33.100001513958,0.285580481630754,0.042448494660263,1,1.848744881641E-6,,,,,,,,,,,,,,,,,,,,,299.788879394531,299.792816162109,7894.34033203125,7894.34033203125,47.3502740664858,5.26511638014809,10.8772888183594,27,1,0,0,1,0.279998779296875,39.5894432067871,1,1,1,299.792816162109,0,299.79084777832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832410562.12347,299.826675415039,8946.966796875,0.0002433006478936,3.43614236776347E-8,1,2,13.4005146026611,5.0054927656008,33.100001513958,0.324658884358538,0.0482524447393195,1,2.09825353635397E-6,,,,,,,,,,,,,,,,,,,,,299.824035644531,299.829315185547,8946.966796875,8946.966796875,47.3686423366877,5.26449418981601,11.0414695739746,27,1,0,0,1,0.277252197265625,39.5894432067871,1,1,1,299.829315185547,0,299.826675415039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
