[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832414223.70455,06/09/2021,3:30 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Dy,SAMPLE_MATERIAL
INFO,Michaela_Dy,SAMPLE_COMMENT
INFO,.85,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,54.24,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832414243.829,7.99981117248535,9999.7802734375,0.0078500123918533,7.84497614230707E-7,1,2,13.4005146026611,5.00339496384846,32.1800000965595,10.4675561849324,1.56631263670055,10,7.54555751636407E-5,,,,,,,,,,,,,,,,,,,,,7.99981117248535,7.99981117248535,9999.7802734375,9999.7802734375,46.9829086624473,5.26860776905218,4.52684259414673,27,1,0,0,1,0.287551879882813,37.6344108581543,1,1,1,7.99981117248535,0,7.99981117248535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832414246.62793,8.00182056427002,9999.7802734375,0.00931097921654076,1.50452800869159E-5,1,2,13.4005146026611,4.98941410384075,32.1800000965595,12.371790136298,1.82493623552501,10,7.01192591575249E-5,,,,,,,,,,,,,,,,,,,,,8.00092124938965,8.00271987915039,9999.7802734375,9999.7802734375,47.0427032441684,5.32719283715471,4.53242492675781,27,1,0,0,1,0.279769897460938,37.6344108581543,6,1,1,8.00271987915039,0,8.00182056427002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832414247.65151,8.02994298934937,9999.7802734375,0.00923330730578213,5.3092235047856E-6,1,2,13.4005146026611,5.00486531591035,32.1700014173985,12.3170536153041,1.84305320664408,10,8.87454609644579E-5,,,,,,,,,,,,,,,,,,,,,8.00271987915039,8.05716609954834,9999.7802734375,9999.7802734375,47.0798305988319,5.26994662733913,4.5386791229248,27,1,0,0,1,0.283279418945313,37.6344108581543,6,1,1,8.05716609954834,0,8.02994298934937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832414249.6823,8.09986400604248,9999.7802734375,0.00914971739155255,5.20604674475817E-6,1,2,13.4005146026611,5.00486531591035,32.1800000965595,12.2056681519777,1.82549629533311,10,8.72895403475339E-5,,,,,,,,,,,,,,,,,,,,,8.05716609954834,8.14256191253662,9999.7802734375,9999.7802734375,47.0661520997454,5.26994662733913,4.5579080581665,27,1,0,0,1,0.283355712890625,37.6344108581543,6,1,1,8.14256191253662,0,8.09986400604248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832414251.969,8.20057106018066,9999.7802734375,0.00907327662884109,4.50015885347055E-6,1,2,13.4005146026611,5.00332410194711,32.1800000965595,12.0985238078392,1.81001926037402,10,8.69620197716219E-5,,,,,,,,,,,,,,,,,,,,,8.14673137664795,8.25441074371338,9999.7802734375,9999.7802734375,47.053255229178,5.26944140518305,4.57693099975586,27,1,0,0,1,0.283126831054687,38.1231689453125,6,1,1,8.25441074371338,0,8.20057106018066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832414254.99169,8.32944345474243,9999.7802734375,0.00891355994821311,4.32549020088461E-6,1,2,13.4005146026611,5.00337446318403,32.1800000965595,11.8858736692428,1.77706457519925,10,8.45943395730698E-5,,,,,,,,,,,,,,,,,,,,,8.25441074371338,8.40447616577148,9999.7802734375,9999.7802734375,47.0864744412454,5.26939198581782,4.59139966964722,27,1,0,0,1,0.283050537109375,38.1231689453125,6,1,1,8.40447616577148,0,8.32944345474243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832414257.76428,8.45612621307373,9999.7802734375,0.00883505719123592,4.26446573665883E-6,1,2,13.4005146026611,5.00338092991064,32.1800000965595,11.7810806680823,1.76237210612769,10,8.45647105865172E-5,,,,,,,,,,,,,,,,,,,,,8.40447616577148,8.50777626037598,9999.7802734375,9999.7802734375,47.0778765275338,5.26912468348261,4.61984539031982,27,1,0,0,1,0.280838012695313,38.1231689453125,6,1,1,8.50777626037598,0,8.45612621307373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832414259.89006,8.56063175201416,9999.7802734375,0.00875780894784444,4.09912873590751E-6,1,2,13.4005146026611,5.00343595999973,32.1700014173985,11.6782616922184,1.74690519041902,10,8.37623342669855E-5,,,,,,,,,,,,,,,,,,,,,8.50777626037598,8.61348724365234,9999.7802734375,9999.7802734375,47.0853019984665,5.26894147336819,4.62881088256836,27,1,0,0,1,0.276870727539062,38.1231689453125,6,1,1,8.61348724365234,0,8.56063175201416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832414261.88832,8.66012144088745,9999.7802734375,0.00868156671819261,4.11270768976699E-6,1,2,13.4005146026611,5.00343595999973,32.1700014173985,11.5765779244343,1.73182002509583,10,8.31250545859812E-5,,,,,,,,,,,,,,,,,,,,,8.6199426651001,8.7003002166748,9999.7802734375,9999.7802734375,47.0997621260723,5.26894147336819,4.63654184341431,27,1,0,0,1,0.280609130859375,38.1231689453125,6,1,1,8.7003002166748,0,8.66012144088745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832414264.11097,8.75017261505127,9999.7802734375,0.00860616107673883,4.03320026541627E-6,1,2,13.4005146026611,5.00343520341429,32.1700014173985,11.4761892507071,1.71560040691685,10,8.15214517419774E-5,,,,,,,,,,,,,,,,,,,,,8.7280855178833,8.77225971221924,9999.7802734375,9999.7802734375,47.0235533454473,5.26926374672811,4.65752744674683,27,1,0,0,1,0.280685424804687,38.1231689453125,6,1,1,8.78823852539063,0,8.75017261505127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
