[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832834717.17197,06/14/2021,12:18 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Er,SAMPLE_MATERIAL
INFO,Michaela_Er,SAMPLE_COMMENT
INFO,1.11,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,53.51,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832834723.33959,299.916656494141,9999.6435546875,0.000399378872110081,5.13198826020174E-8,1,2,13.4005146026611,4.98163493978189,33.7099991738796,0.529483514448596,0.0784598276079715,1,3.27107160833317E-6,,,,,,,,,,,,,,,,,,,,,299.916656494141,299.916656494141,9999.6435546875,9999.6435546875,47.496438599582,5.28612124315502,14.6178150177002,27,1,0,0,1,0.275421142578125,40.5669593811035,1,1,1,299.916656494141,0,299.916656494141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832834726.00182,299.921661376953,9999.6435546875,0.000399354665880361,4.9167622823341E-8,1,2,13.4005146026611,4.98160347882041,33.7099991738796,0.529441017292759,0.0784959796094643,1,3.30220643516931E-6,,,,,,,,,,,,,,,,,,,,,299.921661376953,299.921661376953,9999.6435546875,9999.6435546875,47.4440694887935,5.28613923176353,14.6253347396851,27,1,0,0,1,0.27618408203125,40.5669593811035,6,1,1,299.921661376953,0,299.921661376953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832834727.30511,299.915786743164,9999.6435546875,0.000399309454128888,5.03531093612773E-8,1,2,13.4005146026611,4.98160347882041,33.7099991738796,0.529378953558923,0.0785022882903763,1,3.3132811241841E-6,,,,,,,,,,,,,,,,,,,,,299.909912109375,299.921661376953,9999.6435546875,9999.6435546875,47.4034248057935,5.28613923176353,14.6352529525757,27,1,0,0,1,0.27557373046875,40.5669593811035,6,1,1,299.909912109375,0,299.915786743164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832834729.61674,299.891571044922,9999.6435546875,0.000399244301721601,4.55261037731685E-8,1,2,13.4005146026611,4.9815555472365,33.7099991738796,0.529285859892428,0.0784864909751399,1,3.31126992150553E-6,,,,,,,,,,,,,,,,,,,,,299.873229980469,299.909912109375,9999.6435546875,9999.6435546875,47.46790915863,5.28601467745682,14.6266746520996,27,1,0,0,1,0.274505615234375,40.5669593811035,2,1,1,299.873229980469,0,299.891571044922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832834731.64247,299.859298706055,9999.6435546875,0.000399221258318321,3.65535722270948E-8,1,2,13.4005146026611,4.98152184292548,33.7099991738796,0.529249072131555,0.0784906908435333,1,3.31820552592658E-6,,,,,,,,,,,,,,,,,,,,,299.845367431641,299.873229980469,9999.6435546875,9999.6435546875,47.4585296163993,5.28652766089054,14.6326427459717,27,1,0,0,1,0.27587890625,40.5669593811035,2,1,1,299.845367431641,0,299.859298706055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832834733.77655,299.836578369141,9999.6435546875,0.000399324872887492,4.48615730546084E-8,1,2,13.4005146026611,4.98139788204605,33.7099991738796,0.529363702724246,0.0785416074853418,1,3.34410232650087E-6,,,,,,,,,,,,,,,,,,,,,299.827789306641,299.845367431641,9999.6435546875,9999.6435546875,47.5093354701493,5.28725032125961,14.6408157348633,27,1,0,0,1,0.274734497070313,40.5669593811035,2,1,1,299.827789306641,0,299.836578369141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832834735.80448,299.820281982422,9999.6435546875,0.000399408604670334,4.01406005386512E-8,1,2,13.4005146026611,4.98139788204605,33.7099991738796,0.529477923364046,0.0785350335989528,1,3.32744160795126E-6,,,,,,,,,,,,,,,,,,,,,299.814117431641,299.826446533203,9999.6435546875,9999.6435546875,47.5433363107358,5.28725032125961,14.6410799026489,27,1,0,0,1,0.277786254882813,40.5669593811035,2,1,1,299.814117431641,0,299.820281982422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832834737.67542,299.805786132812,9999.6435546875,0.00039948361168546,4.69169289261947E-8,1,2,13.4005146026611,4.98140197542574,33.7099991738796,0.529580104272998,0.0785344936822786,1,3.3164804318736E-6,,,,,,,,,,,,,,,,,,,,,299.797454833984,299.814117431641,9999.6435546875,9999.6435546875,47.4612653162166,5.28692581252449,14.6328172683716,27,1,0,0,1,0.275650024414062,40.5669593811035,2,1,1,299.797454833984,0,299.805786132812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832834739.72569,299.776245117188,9999.6435546875,0.000399567112684341,5.18609173785336E-8,1,2,13.4005146026611,4.98140197542574,33.7099991738796,0.529699962911446,0.0784853644906155,1,3.26778806870376E-6,,,,,,,,,,,,,,,,,,,,,299.759368896484,299.793121337891,9999.6435546875,9999.6435546875,47.521841526457,5.28692581252449,14.6460399627686,27,1,0,0,1,0.27587890625,40.5669593811035,2,1,1,299.759368896484,0,299.776245117188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832834741.71649,299.741836547852,9999.6435546875,0.000399687344795865,5.90686710741015E-8,1,2,13.4005146026611,4.98142829559228,33.7099991738796,0.529852629298995,0.0785851263792277,1,3.32571454614808E-6,,,,,,,,,,,,,,,,,,,,,299.724304199219,299.759368896484,9999.6435546875,9999.6435546875,47.4311726182262,5.28686406243887,14.6386241912842,27,1,0,0,1,0.27618408203125,40.5669593811035,2,1,1,299.724304199219,0,299.741836547852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832834743.96556,299.696731567383,9999.6435546875,0.000399812804409423,5.07030812105953E-8,1,2,13.4005146026611,4.98146522216204,33.7099991738796,0.530032221610729,0.07855423330602,1,3.28429353987281E-6,,,,,,,,,,,,,,,,,,,,,299.669158935547,299.724304199219,9999.6435546875,9999.6435546875,47.5234047834954,5.28710876224513,14.6540050506592,27,1,0,0,1,0.276260375976562,40.5669593811035,2,1,1,299.669158935547,0,299.696731567383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832834746.99093,299.601028442383,9999.6435546875,0.000400127843928051,6.40527520442036E-8,1,2,13.4005146026611,4.98143883365157,33.7099991738796,0.530447283920113,0.0786064627220069,1,3.28002724806517E-6,,,,,,,,,,,,,,,,,,,,,299.538330078125,299.663726806641,9999.6435546875,9999.6435546875,47.5417730536973,5.28722153443303,14.6656503677368,27,1,0,0,1,0.274581909179687,40.5669593811035,2,1,1,299.538330078125,0,299.601028442383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
