[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832825006.90517,06/14/2021,9:37 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Er,SAMPLE_MATERIAL
INFO,Michaela_Er,SAMPLE_COMMENT
INFO,1.11,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,53.51,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832825034.57493,299.799743652344,0.361419081687927,-8.38497064382884E-8,6.4474134859159E-9,1,2,13.4005146026611,4.98956046557203,33.7099991738796,-0.000105039817987587,-6.20531404471983E-5,100,-3.49259815325804E-8,,,,,,,,,,,,,,,,,,,,,299.799743652344,299.799743652344,0.361419081687927,0.361419081687927,47.3096293834858,5.2829907663864,10.1217746734619,27,1,0,0,1,0.280609130859375,38.1231689453125,1,1,1,299.799743652344,0,299.799743652344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832825050.02964,299.838745117188,526.114013671875,2.08797009287531E-5,1.04368592217716E-8,1,2,13.4005146026611,4.99208168415359,33.7099991738796,0.0277663833506668,0.00407725926251128,10,1.43623505292704E-7,,,,,,,,,,,,,,,,,,,,,299.838745117188,299.838745117188,526.114013671875,526.114013671875,47.3522281377839,5.2731694141738,10.6586351394653,27,1,0,0,1,0.275726318359375,38.6119270324707,1,1,1,299.838745117188,0,299.838745117188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832825059.63357,299.874496459961,1578.70349121094,6.29163569080841E-5,2.70664806963647E-8,1,2,13.4005146026611,4.99218642472438,33.7099991738796,0.0836045518565138,0.012756184215004,10,7.85791477829972E-7,,,,,,,,,,,,,,,,,,,,,299.872802734375,299.876190185547,1578.70349121094,1578.70349121094,47.3479291809281,5.27303407656937,10.981761932373,27,1,0,0,1,0.2752685546875,38.6119270324707,1,1,1,299.876190185547,0,299.874496459961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832825070.39776,299.901214599609,2631.33032226562,0.000105234259202383,1.89982263610698E-8,1,2,13.4005146026611,4.99190932843682,33.7099991738796,0.139891295876512,0.020873279103947,10,9.67850921866224E-7,,,,,,,,,,,,,,,,,,,,,299.899261474609,299.903167724609,2631.33032226562,2631.33032226562,47.4096778339473,5.27436468537601,11.2590675354004,27,1,0,0,1,0.274200439453125,39.1006851196289,1,1,1,299.903167724609,0,299.901214599609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832825082.81446,299.926330566406,3683.919921875,0.000147457568334688,2.59631132620411E-8,1,2,13.4005146026611,4.99216048620888,33.7099991738796,0.19609565629136,0.0288066310009831,10,1.02287098790834E-6,,,,,,,,,,,,,,,,,,,,,299.924102783203,299.928558349609,3683.919921875,3683.919921875,47.3834932785531,5.27284549096943,11.5593948364258,27,1,0,0,1,0.2740478515625,39.1006851196289,1,1,1,299.928558349609,0,299.926330566406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832825094.73549,299.940490722656,4736.546875,0.000189522421185366,3.64955321717045E-8,1,2,13.4005146026611,4.99223887421568,33.7099991738796,0.252018848041497,0.0371820157101971,10,1.43259881310717E-6,,,,,,,,,,,,,,,,,,,,,299.939819335937,299.941162109375,4736.546875,4736.546875,47.4034248057935,5.27282738270744,11.7913541793823,27,1,0,0,1,0.275421142578125,39.1006851196289,1,1,1,299.939819335937,0,299.940490722656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832825105.78259,299.936294555664,5789.14892578125,0.000231755414815747,3.17840141134974E-8,1,2,13.4005146026611,4.99232843326773,33.7099991738796,0.308189034703154,0.0454474774006426,10,1.73586663560141E-6,,,,,,,,,,,,,,,,,,,,,299.935363769531,299.937225341797,5789.14892578125,5789.14892578125,47.4632193875146,5.2737815360725,11.9993715286255,27,1,0,0,1,0.275497436523438,39.1006851196289,1,1,1,299.935363769531,0,299.936294555664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832825116.35523,299.932174682617,6841.73828125,0.000273976549098103,4.19856911606445E-8,1,2,13.4005146026611,4.99248240158872,33.7099991738796,0.3643559307122,0.0536885326447061,10,2.02144059856602E-6,,,,,,,,,,,,,,,,,,,,,299.931854248047,299.932495117188,6841.73828125,6841.73828125,47.4276552898896,5.27226478788769,12.1663999557495,27,1,0,0,1,0.276107788085938,39.1006851196289,1,1,1,299.932495117188,0,299.932174682617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832825126.89883,299.941787719727,7894.34033203125,0.000316128370908914,3.62041989638775E-8,1,2,13.4005146026611,4.9925310155067,33.7099991738796,0.420419797433354,0.0619394871488984,10,2.32496404007729E-6,,,,,,,,,,,,,,,,,,,,,299.940399169922,299.943176269531,7894.34033203125,7894.34033203125,47.4002982917166,5.27199794688991,12.3904123306274,27,1,0,0,1,0.275802612304687,39.1006851196289,1,1,1,299.943176269531,0,299.941787719727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832825137.38212,299.954086303711,8946.892578125,0.000358251163492461,8.29012724350235E-7,1,2,13.4005146026611,4.99251676581984,33.7099991738796,0.476362595523683,0.070725430894689,10,3.03515583983871E-6,,,,,,,,,,,,,,,,,,,,,299.953216552734,299.954956054687,8946.892578125,8946.892578125,47.4264828471108,5.27260793473323,12.5957069396973,27,1,0,0,1,0.278472900390625,39.1006851196289,1,1,1,299.954956054687,0,299.954086303711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
