[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832828736.33822,06/14/2021,10:39 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Er,SAMPLE_MATERIAL
INFO,Michaela_Er,SAMPLE_COMMENT
INFO,1.11,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,53.51,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832828755.89152,8.00322437286377,9999.6435546875,0.00691138054898252,8.68616291772899E-7,1,2,13.4005146026611,5.0036860805785,32.7900014817715,9.21699594765364,1.37685032081866,10,6.47207023685444E-5,,,,,,,,,,,,,,,,,,,,,8.00322437286377,8.00322437286377,9999.6435546875,9999.6435546875,47.2842264566108,5.26872292836353,8.08656883239746,27,1,0,0,1,0.283355712890625,38.6119270324707,1,1,1,8.00322437286377,0,8.00322437286377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832828758.70027,8.00214290618897,9999.6435546875,0.00825031307102962,1.09886909843884E-5,1,2,13.4005146026611,4.99461211426966,32.7799990773201,10.9787970727732,1.61440895851149,10,5.84170951903941E-5,,,,,,,,,,,,,,,,,,,,,8.00214290618897,8.00214290618897,9999.6435546875,9999.6435546875,47.3705964079858,5.33048727111177,8.09051513671875,27,1,0,0,1,0.271987915039062,39.1006851196289,6,1,1,8.00214290618897,0,8.00214290618897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832828759.7319,8.0155782699585,9999.6435546875,0.00821515412936101,7.51541478138981E-6,1,2,13.4005146026611,4.99062549152524,32.7799990773201,10.9163683062697,1.63213581110532,10,7.79827430248699E-5,,,,,,,,,,,,,,,,,,,,,8.00214290618897,8.02901363372803,9999.6435546875,9999.6435546875,47.3397220814762,5.26971742959924,8.11938285827637,27,1,0,0,1,0.274887084960938,39.1006851196289,6,1,1,8.02901363372803,0,8.0155782699585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832828761.77628,8.07890224456787,9999.6435546875,0.00815780020270843,3.99737282274938E-6,1,2,13.4005146026611,4.98346119176796,32.7799990773201,10.8188623186213,1.61722299693498,10,7.71916269929969E-5,,,,,,,,,,,,,,,,,,,,,8.04068756103516,8.11711692810059,9999.6435546875,9999.6435546875,47.3010314697742,5.26803851977792,8.13142967224121,27,1,0,0,1,0.273513793945313,39.1006851196289,6,1,1,8.11711692810059,0,8.07890224456787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832828763.78912,8.16195011138916,9999.6435546875,0.00808558121800798,3.83057680833966E-6,1,2,13.4005146026611,4.98346119176796,32.7900014817715,10.7230143605819,1.60341569626238,10,7.68919968579159E-5,,,,,,,,,,,,,,,,,,,,,8.11711692810059,8.20678329467773,9999.6435546875,9999.6435546875,47.3350323103608,5.26803851977792,8.15471649169922,27,1,0,0,1,0.272140502929687,39.1006851196289,6,1,1,8.20678329467773,0,8.16195011138916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832828766.08744,8.26572513580322,9999.6435546875,0.00801406452993383,3.87060118452086E-6,1,2,13.4005146026611,4.98345280757357,32.7799990773201,10.6281327253411,1.58931856032909,10,7.62786771256923E-5,,,,,,,,,,,,,,,,,,,,,8.20678329467773,8.32466697692871,9999.6435546875,9999.6435546875,47.2947784416204,5.26824698403311,8.18672561645508,27,1,0,0,1,0.274124145507813,39.1006851196289,6,1,1,8.32466697692871,0,8.26572513580322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832828769.11733,8.40548992156982,9999.6435546875,0.00787417654630784,3.93219142493061E-6,1,2,13.4005146026611,4.98348248928514,32.7900014817715,10.442835306512,1.56062680905182,10,7.4222439393503E-5,,,,,,,,,,,,,,,,,,,,,8.32931232452393,8.48166751861572,9999.6435546875,9999.6435546875,47.3678607081685,5.26782806678974,8.21240234375,27,1,0,0,1,0.272445678710938,39.1006851196289,6,1,1,8.48166751861572,0,8.40548992156982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832828771.87566,8.53663969039917,9999.6435546875,0.00780637770297373,3.69221093421188E-6,1,2,13.4005146026611,4.98354319869616,32.7799990773201,10.3530794406181,1.5473100308758,10,7.36547373802912E-5,,,,,,,,,,,,,,,,,,,,,8.48166751861572,8.59161186218262,9999.6435546875,9999.6435546875,47.4280461041493,5.26751631180303,8.26427936553955,27,1,0,0,1,0.27435302734375,39.1006851196289,6,1,1,8.59161186218262,0,8.53663969039917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832828773.95384,8.63565540313721,9999.6435546875,0.00773906249190284,3.46780634103827E-6,1,2,13.4005146026611,4.98360598437012,32.7799990773201,10.2639622825451,1.5341294033905,10,7.31216111376951E-5,,,,,,,,,,,,,,,,,,,,,8.59161186218262,8.6796989440918,9999.6435546875,9999.6435546875,47.4217930759954,5.26770232084393,8.30589294433594,27,1,0,0,1,0.2716064453125,39.1006851196289,6,1,1,8.6796989440918,0,8.63565540313721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832828775.98828,8.71840143203735,9999.6435546875,0.00767320806324918,3.42374889441397E-6,1,2,13.4005146026611,4.98360598437012,32.7799990773201,10.1766107472604,1.52115962013478,10,7.25631491501148E-5,,,,,,,,,,,,,,,,,,,,,8.6796989440918,8.75710391998291,9999.6435546875,9999.6435546875,47.3604352372358,5.26770232084393,8.29558753967285,27,1,0,0,1,0.272293090820313,39.1006851196289,6,1,1,8.75710391998291,0,8.71840143203735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
