[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3834058693.9015,06/28/2021,4:19 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_HO,SAMPLE_MATERIAL
INFO,Michaela_HO,SAMPLE_COMMENT
INFO,1.06,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,52.84,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3834058700.13557,299.953384399414,9999.6064453125,0.000612951316666567,7.30901926130099E-8,1,2,13.4005146026611,4.99594556602651,34.2799983918667,0.815792089165681,0.121189435020126,1,5.24373760320193E-6,,,,,,,,,,,,,,,,,,,,,299.953125,299.953643798828,9999.6064453125,9999.6064453125,47.5820269224377,5.27779992617282,13.0952453613281,27,1,0,0,1,0.29144287109375,41.055721282959,1,1,1,299.953643798828,0,299.953384399414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834058702.99993,299.955688476562,9999.6064453125,0.000612941511293564,3.32707264363595E-8,1,2,13.4005146026611,4.99596044110814,34.2799983918667,0.815779457652781,0.121208788814416,1,5.25926188480186E-6,,,,,,,,,,,,,,,,,,,,,299.955688476562,299.955688476562,9999.6064453125,9999.6064453125,47.6343960332262,5.27756586624049,13.0968837738037,27,1,0,0,1,0.291595458984375,41.5444793701172,6,1,1,299.955688476562,0,299.955688476562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834058704.82476,299.934234619141,9999.6064453125,0.000612930402148895,5.78756011662048E-8,1,2,13.4005146026611,4.99595858786819,34.2799983918667,0.815769412542643,0.121169663508198,1,5.23149958408959E-6,,,,,,,,,,,,,,,,,,,,,299.912780761719,299.955688476562,9999.6064453125,9999.6064453125,47.5515434101877,5.27763304525088,13.0933980941772,27,1,0,0,1,0.290145874023438,41.055721282959,6,1,1,299.912780761719,0,299.934234619141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834058707.98017,299.892150878906,9999.6064453125,0.000612943594892679,6.05603886552988E-8,1,2,13.4005146026611,4.99595330344714,34.2799983918667,0.815783781233086,0.121186458062719,1,5.24239027757387E-6,,,,,,,,,,,,,,,,,,,,,299.871520996094,299.912780761719,9999.6064453125,9999.6064453125,47.6250164909954,5.27774985361375,13.1098499298096,27,1,0,0,1,0.282516479492187,41.5444793701172,2,1,1,299.871520996094,0,299.892150878906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834058711.02198,299.843765258789,9999.6064453125,0.000613188008032812,5.77855598248931E-8,1,2,13.4005146026611,4.99592797430706,34.2799983918667,0.816102054307727,0.121243638974648,1,5.25175964753611E-6,,,,,,,,,,,,,,,,,,,,,299.817657470703,299.869873046875,9999.6064453125,9999.6064453125,47.5159793125627,5.27769671190184,13.1139907836914,27,1,0,0,1,0.2923583984375,41.055721282959,2,1,1,299.817657470703,0,299.843765258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834058713.73937,299.788208007812,9999.6064453125,0.000613373853855272,9.24593804142503E-8,1,2,13.4005146026611,4.99594107886072,34.2799983918667,0.816356728596561,0.121249380146454,1,5.22975599339494E-6,,,,,,,,,,,,,,,,,,,,,299.758758544922,299.817657470703,9999.6064453125,9999.6064453125,47.5601413238993,5.27777790706174,13.099892616272,27,1,0,0,1,0.291748046875,41.5444793701172,2,1,1,299.758758544922,0,299.788208007812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834058715.86766,299.718841552734,9999.6064453125,0.000613613574699941,5.05734949913949E-8,1,2,13.4005146026611,4.99596470074369,34.2799983918667,0.816687962974469,0.121248244734234,1,5.19479647715044E-6,,,,,,,,,,,,,,,,,,,,,299.678924560547,299.758758544922,9999.6064453125,9999.6064453125,47.5167609410819,5.27755963753649,13.1241979598999,27,1,0,0,1,0.291824340820313,41.5444793701172,2,1,1,299.678924560547,0,299.718841552734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834058717.87406,299.654541015625,9999.6064453125,0.000613838818056878,5.71028716880189E-8,1,2,13.4005146026611,4.99596470074369,34.2799983918667,0.816989577299361,0.121279685129125,1,5.18689715228253E-6,,,,,,,,,,,,,,,,,,,,,299.630157470703,299.678924560547,9999.6064453125,9999.6064453125,47.5386465396204,5.27755963753649,13.1227159500122,27,1,0,0,1,0.29144287109375,41.055721282959,2,1,1,299.630157470703,0,299.654541015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834058719.73307,299.591918945313,9999.6064453125,0.000614100404278624,4.44508871417078E-8,1,2,13.4005146026611,4.99595886965074,34.2799983918667,0.817325823044617,0.121407029408835,1,5.24603346395875E-6,,,,,,,,,,,,,,,,,,,,,299.553680419922,299.630157470703,9999.6064453125,9999.6064453125,47.6187634628416,5.27772748120612,13.1157369613647,27,1,0,0,1,0.290679931640625,41.5444793701172,2,1,1,299.553680419922,0,299.591918945313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834058721.75619,299.506301879883,9999.6064453125,0.00061436013785195,5.54322214009853E-8,1,2,13.4005146026611,4.99594804266427,34.2799983918667,0.81766369012364,0.121496592821822,1,5.27720108622169E-6,,,,,,,,,,,,,,,,,,,,,299.476379394531,299.536224365234,9999.6064453125,9999.6064453125,47.554279110005,5.27769124072973,13.1222591400146,27,1,0,0,1,0.2923583984375,41.055721282959,2,1,1,299.476379394531,0,299.506301879883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834058723.7911,299.425537109375,9999.6064453125,0.000614630248279574,4.04976449495758E-8,1,2,13.4005146026611,4.99595940219137,34.2799983918667,0.818036647694261,0.121472325554765,1,5.22093832644586E-6,,,,,,,,,,,,,,,,,,,,,299.384307861328,299.466766357422,9999.6064453125,9999.6064453125,47.5198874551589,5.27743687860814,13.1159982681274,27,1,0,0,1,0.290603637695313,41.5444793701172,2,1,1,299.384307861328,0,299.425537109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834058726.07014,299.288940429687,9999.6064453125,0.000614938988490615,4.08987305597673E-8,1,2,13.4005146026611,4.99595940219137,34.2799983918667,0.818445227489814,0.121550044882514,1,5.23609465010424E-6,,,,,,,,,,,,,,,,,,,,,299.225677490234,299.352203369141,9999.6064453125,9999.6064453125,47.5577964383416,5.27743687860814,13.1187448501587,27,1,0,0,1,0.292510986328125,41.5444793701172,2,1,1,299.225677490234,0,299.288940429687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834058729.25858,299.107666015625,9999.6064453125,0.000615580779566194,4.94710200919471E-8,1,2,13.4005146026611,4.99594251041755,34.2799983918667,0.81928841505701,0.121727847843443,1,5.28021459751503E-6,,,,,,,,,,,,,,,,,,,,,299.010894775391,299.204437255859,9999.6064453125,9999.6064453125,47.6003951926396,5.27789618192743,13.1147727966309,27,1,0,0,1,0.290603637695313,41.055721282959,2,1,1,299.010894775391,0,299.107666015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
