[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3834051730.97186,06/28/2021,2:23 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_HO,SAMPLE_MATERIAL
INFO,Michaela_HO,SAMPLE_COMMENT
INFO,1.06,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,52.84,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3834051754.62075,299.667541503906,0.311568170785904,-1.08230208013539E-7,1.10057079634503E-8,1,2,13.4005146026611,5.00558126744606,34.2799983918667,-0.000143625400298154,-2.71854454239996E-5,1,-5.21488779936916E-9,,,,,,,,,,,,,,,,,,,,,299.667541503906,299.667541503906,0.311568170785904,0.311568170785904,47.5210598979377,5.27363635995516,8.2561092376709,27,1,0,0,1,0.28350830078125,39.5894432067871,1,1,1,299.667541503906,0,299.667541503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834051763.3847,299.675872802734,526.064147949219,3.21532061014159E-5,1.28600439833324E-8,1,2,13.4005146026611,5.00562530457258,34.2799983918667,0.0428944359216419,0.00646394546171661,1,3.42373252948835E-7,,,,,,,,,,,,,,,,,,,,,299.672271728516,299.679473876953,526.064147949219,526.064147949219,47.4792427721589,5.27470286309886,8.59820652008057,27,1,0,0,1,0.27618408203125,39.5894432067871,1,1,1,299.679473876953,0,299.675872802734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834051783.03783,299.765106201172,1578.67858886719,9.6920062095559E-5,1.82415833403183E-8,1,2,13.4005146026611,5.00565258433738,34.2799983918667,0.129346130427222,0.0191441309902485,1,7.77232088642421E-7,,,,,,,,,,,,,,,,,,,,,299.765106201172,299.765106201172,1578.67858886719,1578.67858886719,47.5663943520531,5.27582885518564,9.15953350067139,27,1,0,0,1,0.276412963867187,40.0782012939453,1,1,1,299.765106201172,0,299.765106201172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834051794.47679,299.817672729492,2631.42993164062,0.000161538535556464,3.49321771938558E-8,1,2,13.4005146026611,5.00565419016888,34.2799983918667,0.215556079514451,0.0321060419268262,1,1.44372587926731E-6,,,,,,,,,,,,,,,,,,,,,299.812194824219,299.823150634766,2631.42993164062,2631.42993164062,47.5183241981204,5.27674012091289,9.49042892456055,27,1,0,0,1,0.283050537109375,40.0782012939453,1,1,1,299.823150634766,0,299.817672729492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834051806.35526,299.864639282227,3683.99462890625,0.000225821257092591,4.2585004000195E-8,1,2,13.4005146026611,5.00563704565236,34.2799983918667,0.301331007897027,0.0448974943810023,1,2.02974615893571E-6,,,,,,,,,,,,,,,,,,,,,299.86181640625,299.867462158203,3683.99462890625,3683.99462890625,47.5468536390723,5.27574284878638,9.74842262268066,27,1,0,0,1,0.283889770507813,40.0782012939453,1,1,1,299.867462158203,0,299.864639282227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834051817.72825,299.900634765625,4736.583984375,0.000290109599715107,5.27684822168139E-8,1,2,13.4005146026611,5.00566250806923,34.2799983918667,0.38712234315598,0.0576533976034375,1,2.58796022453597E-6,,,,,,,,,,,,,,,,,,,,,299.898223876953,299.903045654297,4736.583984375,4736.583984375,47.5577964383416,5.2768214249003,9.97412872314453,27,1,0,0,1,0.27587890625,40.5669593811035,1,1,1,299.903045654297,0,299.900634765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834051828.24768,299.929046630859,5789.173828125,0.00035454971027894,5.32977966049109E-8,1,2,13.4005146026611,5.00563951277603,34.2799983918667,0.473108626545939,0.0704566083988888,1,3.16092694121059E-6,,,,,,,,,,,,,,,,,,,,,299.927062988281,299.931030273438,5789.173828125,5789.173828125,47.5363016540627,5.27693891557314,10.1587028503418,27,1,0,0,1,0.2740478515625,40.5669593811035,1,1,1,299.931030273438,0,299.929046630859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834051840.76314,299.953628540039,6841.63818359375,0.000419044867216543,7.57137205997661E-8,1,2,13.4005146026611,5.00559926626801,34.2799983918667,0.559185378424001,0.0831219372227629,1,3.6234093780322E-6,,,,,,,,,,,,,,,,,,,,,299.951232910156,299.956024169922,6841.63818359375,6841.63818359375,47.5484168961108,5.27669883617399,10.3721437454224,27,1,0,0,1,0.282440185546875,40.5669593811035,1,1,1,299.956024169922,0,299.953628540039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834051853.73227,299.97395324707,7894.2275390625,0.000483432899612931,9.08572394078708E-8,1,2,13.4005146026611,5.00558246431874,34.2799983918667,0.645076696373491,0.0960862190740767,1,4.32438037486201E-6,,,,,,,,,,,,,,,,,,,,,299.972351074219,299.975555419922,7894.2275390625,7894.2275390625,47.4894039429089,5.27900778031834,10.5529470443726,27,1,0,0,1,0.28350830078125,40.5669593811035,1,1,1,299.975555419922,0,299.97395324707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834051866.71276,299.989974975586,8946.8798828125,0.000547855336801437,7.60675155282753E-8,1,2,13.4005146026611,5.00563374342748,34.2799983918667,0.731055221353531,0.108855480886126,1,4.87314492227296E-6,,,,,,,,,,,,,,,,,,,,,299.988739013672,299.9912109375,8946.8798828125,8946.8798828125,47.5660035377935,5.27871614055042,10.7257242202759,27,1,0,0,1,0.283203125,40.5669593811035,1,1,1,299.9912109375,0,299.989974975586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
