[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3834055031.54384,06/28/2021,3:18 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_HO,SAMPLE_MATERIAL
INFO,Michaela_HO,SAMPLE_COMMENT
INFO,1.06,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,52.84,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3834055064.01393,7.99880266189575,9999.6064453125,0.0152000891959865,2.34644099078482E-6,1,2,13.4005146026611,4.99584143772522,33.3499982953072,20.2299710512986,3.00252371330045,100,0.000128031235425328,,,,,,,,,,,,,,,,,,,,,7.99880266189575,7.99880266189575,9999.6064453125,9999.6064453125,47.5163701268223,5.27414549963288,6.57654047012329,27,1,0,0,1,0.2838134765625,39.5894432067871,1,1,1,7.99880266189575,0,7.99880266189575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834055066.77862,8.01179981231689,9999.6064453125,0.0151989663435887,2.48449045648863E-6,1,2,13.4005146026611,4.99594360676656,33.3499982953072,20.2293709503567,3.00004227777178,100,0.000126262903690566,,,,,,,,,,,,,,,,,,,,,8.01179981231689,8.01179981231689,9999.6064453125,9999.6064453125,47.4823692862358,5.27398825228303,6.58647632598877,27,1,0,0,1,0.283737182617187,39.5894432067871,6,1,1,8.01179981231689,0,8.01179981231689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834055078.45977,8.8558988571167,9999.6064453125,0.0141717236942321,9.53234814138532E-6,1,2,13.4005146026611,4.99586658940171,33.3499982953072,18.8613690282105,2.79989848002663,100,0.00011973840403405,,,,,,,,,,,,,,,,,,,,,8.8558988571167,8.8558988571167,9999.6064453125,9999.6064453125,47.4233563330339,5.27411715548413,6.75020980834961,27,1,0,0,1,0.292816162109375,40.0782012939453,6,1,1,8.8558988571167,0,8.8558988571167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834055079.56799,8.93419313430786,9999.6064453125,0.013994705604383,9.26014630743654E-6,1,2,13.4005146026611,4.99590704404479,33.3499982953072,18.6263138523384,2.76256421224331,100,0.000116447957682538,,,,,,,,,,,,,,,,,,,,,8.8558988571167,9.01248741149902,9999.6064453125,9999.6064453125,47.4921396427262,5.27432420750091,6.7894115447998,27,1,0,0,1,0.29144287109375,40.0782012939453,6,1,1,9.01248741149902,0,8.93419313430786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834055082.31611,9.15239238739014,9999.6064453125,0.0136498838385916,8.98620852095995E-6,1,2,13.4005146026611,4.99586097313412,33.3499982953072,18.1672619294107,2.69360705076943,100,0.000112937026169591,,,,,,,,,,,,,,,,,,,,,9.02236461639404,9.28242015838623,9999.6064453125,9999.6064453125,47.4491500741685,5.27454975578116,6.83352518081665,27,1,0,0,1,0.29327392578125,40.0782012939453,6,1,1,9.28242015838623,0,9.15239238739014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834055085.07904,9.35646295547485,9999.6064453125,0.0134841858625947,8.83183044800494E-6,1,2,13.4005146026611,4.99586097313412,33.3499982953072,17.9470064887331,2.65890882169466,100,0.000110065016369628,,,,,,,,,,,,,,,,,,,,,9.28242015838623,9.43050575256348,9999.6064453125,9999.6064453125,47.4468051886108,5.27454975578116,6.86356973648071,27,1,0,0,1,0.293121337890625,40.0782012939453,6,1,1,9.43050575256348,0,9.35646295547485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834055087.21061,9.5182843208313,9999.6064453125,0.013320907937839,8.70038996784205E-6,1,2,13.4005146026611,4.99590018555694,33.3499982953072,17.7296317768383,2.62851287521675,100,0.000110062183975997,,,,,,,,,,,,,,,,,,,,,9.43050575256348,9.60606288909912,9999.6064453125,9999.6064453125,47.5359108398031,5.27412655269417,6.90462160110474,27,1,0,0,1,0.283126831054687,40.0782012939453,6,1,1,9.60606288909912,0,9.5182843208313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834055089.20129,9.67758798599243,9999.6064453125,0.0131627269725904,8.2198919455385E-6,1,2,13.4005146026611,4.99591669208824,33.3499982953072,17.5191851232045,2.59726168729397,100,0.000108717485774248,,,,,,,,,,,,,,,,,,,,,9.613844871521,9.74133110046387,9999.6064453125,9999.6064453125,47.4968294138416,5.27445197617783,6.932945728302,27,1,0,0,1,0.283355712890625,40.0782012939453,6,1,1,9.74133110046387,0,9.67758798599243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834055091.41517,9.84064722061157,9999.6064453125,0.0130064433203194,8.23714438690454E-6,1,2,13.4005146026611,4.99591669208824,33.3499982953072,17.3112116545654,2.56617163677991,100,0.0001072373566174,,,,,,,,,,,,,,,,,,,,,9.81151580810547,9.86977863311768,9999.6064453125,9999.6064453125,47.4378164606396,5.27445197617783,6.95519971847534,27,1,0,0,1,0.291748046875,40.0782012939453,6,1,1,9.86977863311768,0,9.84064722061157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834055093.10092,9.98273706436157,9999.6064453125,0.0128545971708707,8.02602899009748E-6,1,2,13.4005146026611,4.99591713403088,33.3499982953072,17.1093280913479,2.53465832615962,100,0.000104818896049068,,,,,,,,,,,,,,,,,,,,,9.90410041809082,10.0613737106323,9999.6064453125,9999.6064453125,47.41710330488,5.27444738937036,6.98988151550293,27,1,0,0,1,0.291824340820313,40.0782012939453,6,1,1,10.0613737106323,0,9.98273706436157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
