[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3834159186.83534,06/29/2021,8:14 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,La_02,SAMPLE_MATERIAL
INFO,La_02,SAMPLE_COMMENT
INFO,0.07,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,58.69,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3834159193.19047,299.948867797852,9999.53125,-0.000120303226082457,5.23670323511919E-8,1,2,13.4005146026611,4.98384045521443,28.3899996429682,-0.159588586054926,-0.0236660080539944,1,-9.98522230792646E-7,,,,,,,,,,,,,,,,,,,,,299.948028564453,299.94970703125,9999.53125,9999.53125,46.8875499831011,5.26349975757894,8.96844005584717,27,1,0,0,1,0.27252197265625,38.1231689453125,1,1,1,299.94970703125,0,299.948867797852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159196.3541,299.954132080078,9999.53125,-0.000120363692028116,5.22059745840679E-8,1,2,13.4005146026611,4.98383230661327,28.4000001847744,-0.159686532765794,-0.0235484441887121,1,-9.01586831167823E-7,,,,,,,,,,,,,,,,,,,,,299.954132080078,299.954132080078,9999.53125,9999.53125,46.9379650225915,5.26349875382137,8.98218154907227,27,1,0,0,1,0.273208618164062,38.1231689453125,6,1,1,299.954132080078,0,299.954132080078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159197.90015,299.953796386719,9999.53125,-0.000120425177831201,4.99953578814183E-8,1,2,13.4005146026611,4.98383087660028,28.3899996429682,-0.159747365465854,-0.0237083498061739,1,-1.01339940263569E-6,,,,,,,,,,,,,,,,,,,,,299.953460693359,299.954132080078,9999.53125,9999.53125,46.7714781479953,5.26367883978571,8.97789573669434,27,1,0,0,1,0.27435302734375,37.6344108581543,6,1,1,299.953460693359,0,299.953796386719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159200.47513,299.941802978516,9999.53125,-0.000120365674768117,5.09857818374848E-8,1,2,13.4005146026611,4.98384832758666,28.3899996429682,-0.159660128970457,-0.0237616267295441,1,-1.06174867515285E-6,,,,,,,,,,,,,,,,,,,,,299.930145263672,299.953460693359,9999.53125,9999.53125,46.8359625008319,5.263824821052,8.99334144592285,27,1,0,0,1,0.273590087890625,38.1231689453125,2,1,1,299.930145263672,0,299.941802978516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159202.70598,299.903884887695,9999.53125,-0.000120334530381745,5.04771699022187E-8,1,2,13.4005146026611,4.98384621684882,28.3899996429682,-0.159623676387436,-0.0237200485364951,1,-1.0348071240712E-6,,,,,,,,,,,,,,,,,,,,,299.880523681641,299.92724609375,9999.53125,9999.53125,46.7984443319088,5.26391995485364,8.99568462371826,27,1,0,0,1,0.273208618164062,38.1231689453125,2,1,1,299.880523681641,0,299.903884887695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159204.72024,299.872543334961,9999.53125,-0.000120333453496598,5.28986272409845E-8,1,2,13.4005146026611,4.98384621684882,28.3899996429682,-0.159632195222946,-0.0236486933610425,1,-9.81230282575584E-7,,,,,,,,,,,,,,,,,,,,,299.864562988281,299.880523681641,9999.53125,9999.53125,46.7722597765146,5.26391995485364,8.98996543884277,27,1,0,0,1,0.273818969726562,38.1231689453125,2,1,1,299.864562988281,0,299.872543334961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159206.50917,299.84651184082,9999.53125,-0.000120378043455103,5.18929650725093E-8,1,2,13.4005146026611,4.98382292942158,28.3899996429682,-0.159701010934657,-0.023580868132567,1,-9.24039982200013E-7,,,,,,,,,,,,,,,,,,,,,299.828460693359,299.864562988281,9999.53125,9999.53125,46.8891132401396,5.26364321609742,8.99947071075439,27,1,0,0,1,0.270919799804687,38.1231689453125,2,1,1,299.828460693359,0,299.84651184082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159208.53741,299.797454833984,9999.53125,-0.000120427720693544,5.00967203775044E-8,1,2,13.4005146026611,4.98382034656489,28.3899996429682,-0.159760529360452,-0.0236354459195858,1,-9.58201699584547E-7,,,,,,,,,,,,,,,,,,,,,299.774200439453,299.820709228516,9999.53125,9999.53125,46.8539399567742,5.26391845441895,8.99980068206787,27,1,0,0,1,0.273208618164062,38.1231689453125,2,1,1,299.774200439453,0,299.797454833984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159210.59216,299.739242553711,9999.53125,-0.000120464184221713,5.76980319715191E-8,1,2,13.4005146026611,4.98382034656489,28.3899996429682,-0.15979831585359,-0.0237183156226144,1,-1.01550111403185E-6,,,,,,,,,,,,,,,,,,,,,299.704284667969,299.774200439453,9999.53125,9999.53125,46.8789520693896,5.26391845441895,8.99571323394775,27,1,0,0,1,0.271530151367187,38.1231689453125,2,1,1,299.704284667969,0,299.739242553711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159212.92706,299.671478271484,9999.53125,-0.000120386253440151,5.52062433654913E-8,1,2,13.4005146026611,4.98385570160756,28.3899996429682,-0.159692408093255,-0.0237324228458087,1,-1.03684577514411E-6,,,,,,,,,,,,,,,,,,,,,299.64404296875,299.698913574219,9999.53125,9999.53125,46.8543307710338,5.26349014752573,9.00337600708008,27,1,0,0,1,0.2728271484375,38.1231689453125,2,1,1,299.626525878906,0,299.671478271484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159214.92091,299.607955932617,9999.53125,-0.000120356178571846,5.2510053361795E-8,1,2,13.4005146026611,4.98382938834385,28.3899996429682,-0.159654537761112,-0.0237035732181122,1,-1.01945772912272E-6,,,,,,,,,,,,,,,,,,,,,299.589385986328,299.626525878906,9999.53125,9999.53125,46.8695725271588,5.26361263456705,9.00539016723633,27,1,0,0,1,0.274276733398438,38.1231689453125,2,1,1,299.589385986328,0,299.607955932617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159216.61322,299.540618896484,9999.53125,-0.000120348287795212,4.85652286942527E-8,1,2,13.4005146026611,4.98382938834385,28.3899996429682,-0.159649351770279,-0.0236642477832807,1,-9.90950513370758E-7,,,,,,,,,,,,,,,,,,,,,299.491851806641,299.589385986328,9999.53125,9999.53125,46.8566756565915,5.26361263456705,9.01457500457764,27,1,0,0,1,0.273971557617187,38.1231689453125,2,1,1,299.491851806641,0,299.540618896484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159218.61916,299.442184448242,9999.53125,-0.000120399649220145,5.65519306038799E-8,1,2,13.4005146026611,4.98383020035307,28.3899996429682,-0.15972228203752,-0.0236403054992101,1,-9.65737484963185E-7,,,,,,,,,,,,,,,,,,,,,299.392517089844,299.491851806641,9999.53125,9999.53125,46.8359625008319,5.26371396286092,9.01027870178223,27,1,0,0,1,0.273590087890625,38.1231689453125,2,1,1,299.392517089844,0,299.442184448242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159220.78472,299.32307434082,9999.53125,-0.000120446863997583,5.12181566794705E-8,1,2,13.4005146026611,4.983826887505,28.3899996429682,-0.159788226869464,-0.0236248413745031,1,-9.47508181361012E-7,,,,,,,,,,,,,,,,,,,,,299.253631591797,299.392517089844,9999.53125,9999.53125,46.8543307710338,5.26371884790685,9.01971340179443,27,1,0,0,1,0.27587890625,38.1231689453125,2,1,1,299.253631591797,0,299.32307434082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834159222.81712,299.208633422852,9999.53125,-0.000120463976396001,4.91431168724353E-8,1,2,13.4005146026611,4.983826887505,28.3899996429682,-0.15979611329589,-0.023734156836308,1,-1.02742582965357E-6,,,,,,,,,,,,,,,,,,,,,299.175689697266,299.241577148438,9999.53125,9999.53125,46.799225960428,5.26371884790685,9.02781963348389,27,1,0,0,1,0.273208618164062,38.1231689453125,2,1,1,299.175689697266,0,299.208633422852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
