[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3834151807.6083,06/29/2021,6:11 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,La_02,SAMPLE_MATERIAL
INFO,La_02,SAMPLE_COMMENT
INFO,0.07,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,58.69,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3834151831.2244,299.900146484375,0.211866363883018,-2.13740691117753E-6,1.19476813594481E-8,1,2,13.4005146026611,4.99546608376515,28.3899996429682,-0.00284467597895709,-0.000420237184741075,1,-1.65561301370556E-8,,,,,,,,,,,,,,,,,,,,,299.900146484375,299.900146484375,0.211866363883018,0.211866363883018,46.6331299000915,5.25466326783611,7.98968648910522,27,1,0,0,1,0.289382934570313,34.7018585205078,1,1,1,299.900146484375,0,299.900146484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834151842.26014,299.900802612305,525.902160644531,-2.52334697970165E-6,1.47858482624764E-8,1,2,13.4005146026611,4.99568956884994,28.3899996429682,-0.00336999873698311,-0.000414120775937073,1,4.20164339995705E-8,,,,,,,,,,,,,,,,,,,,,299.899383544922,299.902221679687,525.902160644531,525.902160644531,46.6397737425049,5.25757133875926,8.50432586669922,27,1,0,0,1,0.283050537109375,34.7018585205078,1,1,1,299.902221679687,0,299.900802612305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834151852.99769,299.914993286133,1578.6162109375,-1.48687256064122E-5,3.90716604371547E-8,1,2,13.4005146026611,4.9957511879903,28.3899996429682,-0.0198500776626881,-0.00249635022273333,1,2.05463636992345E-7,,,,,,,,,,,,,,,,,,,,,299.913879394531,299.916107177734,1578.6162109375,1578.6162109375,46.692533667553,5.25755230231493,8.86626625061035,25,1,68,0,0,0.289688110351562,35.190616607666,1,1,1,299.913604736328,0,299.914993286133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834151865.97764,299.914581298828,2631.4052734375,-2.78246434680091E-5,2.28158709394595E-8,1,2,13.4005146026611,4.99582982612985,28.3899996429682,-0.037045313620376,-0.00540116891915443,1,-1.62992385060117E-7,,,,,,,,,,,,,,,,,,,,,299.913848876953,299.915313720703,2631.4052734375,2631.4052734375,46.6827633110626,5.25672997604226,9.28607559204102,27,1,0,0,1,0.2874755859375,35.190616607666,1,1,1,299.915313720703,0,299.914581298828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834151878.94738,299.930511474609,3684.09423828125,-4.10047497708355E-5,3.75104959240602E-8,1,2,13.4005146026611,4.99589830122716,28.3899996429682,-0.0545816346317322,-0.0080491688616303,1,-3.07291044706395E-7,,,,,,,,,,,,,,,,,,,,,299.929260253906,299.931762695313,3684.09423828125,3684.09423828125,46.5838873033799,5.25625236458323,9.64397239685059,27,1,0,0,1,0.2813720703125,35.6793746948242,1,1,1,299.931762695313,0,299.930511474609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834151891.74004,299.944305419922,4736.384765625,-5.43000075083887E-5,3.800487427542E-8,1,2,13.4005146026611,4.99591337193495,28.3899996429682,-0.0722794500416259,-0.0106581188345607,1,-4.06226318170803E-7,,,,,,,,,,,,,,,,,,,,,299.942016601562,299.946594238281,4736.384765625,4736.384765625,46.5741169468895,5.25663873207237,9.91721343994141,27,1,0,0,1,0.289764404296875,35.190616607666,1,1,1,299.946594238281,0,299.944305419922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834151904.23058,299.958404541016,5789.23583984375,-6.77232949617706E-5,5.33130129972169E-8,1,2,13.4005146026611,4.9959586461184,28.3899996429682,-0.0901588072914278,-0.0132191915356949,1,-4.51231858093831E-7,,,,,,,,,,,,,,,,,,,,,299.957611083984,299.959197998047,5789.23583984375,5789.23583984375,46.6073361589569,5.2569101646959,10.1556024551392,27,1,0,0,1,0.290298461914063,35.6793746948242,1,1,1,299.959197998047,0,299.958404541016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834151915.30214,299.970153808594,6841.9130859375,-8.1144929778987E-5,5.25186556335716E-8,1,2,13.4005146026611,4.99595454438037,28.3899996429682,-0.108025777888614,-0.0158453601738034,1,-5.45432746772095E-7,,,,,,,,,,,,,,,,,,,,,299.969696044922,299.970611572266,6841.9130859375,6841.9130859375,46.6624409695626,5.25741354895958,10.3475341796875,27,1,0,0,1,0.290603637695313,35.6793746948242,1,1,1,299.970611572266,0,299.970153808594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834151927.83614,299.978530883789,7894.5146484375,-9.45376264206895E-5,6.83731890145416E-8,1,2,13.4005146026611,4.99599787564277,28.3899996429682,-0.125836148644584,-0.0186068039449373,1,-7.45020917951885E-7,,,,,,,,,,,,,,,,,,,,,299.977813720703,299.979248046875,7894.5146484375,7894.5146484375,46.7152008946107,5.25714438128766,10.5787696838379,27,1,0,0,1,0.28900146484375,35.6793746948242,1,1,1,299.979248046875,0,299.978530883789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834151940.81941,299.970550537109,8947.12890625,-0.000107961834930577,7.71991510649178E-8,1,2,13.4005146026611,4.99602658094516,28.3899996429682,-0.143709110300392,-0.0212256765204365,1,-8.33226718837398E-7,,,,,,,,,,,,,,,,,,,,,299.965454101562,299.975646972656,8947.12890625,8947.12890625,46.6096810445145,5.25708148429127,10.7717275619507,27,1,0,0,1,0.289688110351562,35.6793746948242,1,1,1,299.965026855469,0,299.970550537109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
