[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3834155537.61898,06/29/2021,7:13 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,La_02,SAMPLE_MATERIAL
INFO,La_02,SAMPLE_COMMENT
INFO,0.07,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,58.69,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3834155557.2659,7.99890279769897,9999.53125,-9.85244182599796E-5,6.85103494826231E-7,1,2,13.4005146026611,4.97473398468424,27.4599995464087,-0.130330442078427,-0.0196158062541659,1,-1.03118326218057E-6,,,,,,,,,,,,,,,,,,,,,7.99890279769897,7.99890279769897,9999.53125,9999.53125,46.5494956485338,5.25480453340625,3.77122282981873,27,1,0,0,1,0.274734497070313,35.6793746948242,1,1,1,7.99890279769897,0,7.99890279769897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834155560.13633,7.99937438964844,9999.53125,-0.000108154743676921,4.19746906508027E-8,1,2,13.4005146026611,4.97537102930714,27.4599995464087,-0.143186308759272,-0.0208828123597953,1,-6.38283240613491E-7,,,,,,,,,,,,,,,,,,,,,7.99937438964844,7.99937438964844,9999.53125,9999.53125,46.5979566167261,5.32173346648203,3.77321672439575,26,1,64,0,0,0.282135009765625,35.6793746948242,6,1,1,7.99937438964844,0,7.99937438964844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834155561.44271,8.05092000961304,9999.53125,-0.000108149358644296,2.60384105479622E-8,1,2,13.4005146026611,4.97474247760187,27.4599995464087,-0.143094473019692,-0.0213061739027101,1,-9.61347748928924E-7,,,,,,,,,,,,,,,,,,,,,7.99937438964844,8.10246562957764,9999.53125,9999.53125,46.5686455472549,5.25862507705096,3.79243063926697,27,1,0,0,1,0.27435302734375,35.6793746948242,6,1,1,8.10246562957764,0,8.05092000961304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834155563.75642,8.17142486572266,9999.53125,-0.000108407640455514,3.88643528191369E-8,1,2,13.4005146026611,4.97474247760187,27.4599995464087,-0.143451081152647,-0.0212507035129675,1,-8.83362487871787E-7,,,,,,,,,,,,,,,,,,,,,8.10246562957764,8.24038410186768,9999.53125,9999.53125,46.5522313483511,5.25862507705096,3.80973720550537,27,1,0,0,1,0.2728271484375,35.6793746948242,6,1,1,8.24038410186768,0,8.17142486572266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834155566.0303,8.34016752243042,9999.53125,-0.00010850726857211,2.88231939713636E-8,1,2,13.4005146026611,4.97478169635465,27.4599995464087,-0.14358129337288,-0.0212931860111698,1,-9.01326093367941E-7,,,,,,,,,,,,,,,,,,,,,8.24833583831787,8.43199920654297,9999.53125,9999.53125,46.6526706130722,5.25879893596975,3.82606840133667,27,1,0,0,1,0.27618408203125,35.6793746948242,6,1,1,8.43199920654297,0,8.34016752243042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834155569.07571,8.56355142593384,9999.53125,-0.000109082938423311,1.23669439021499E-7,1,2,13.4005146026611,4.97476884971002,27.4599995464087,-0.144332086961024,-0.0214807745232724,1,-9.62492251333204E-7,,,,,,,,,,,,,,,,,,,,,8.43199920654297,8.69510364532471,9999.53125,9999.53125,46.5780250894857,5.25928857473022,3.85164475440979,27,1,0,0,1,0.272674560546875,36.1681327819824,6,1,1,8.69510364532471,0,8.56355142593384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834155571.81815,8.76718616485596,9999.53125,-0.000109391708581317,4.14399564459667E-8,1,2,13.4005146026611,4.97476884971002,27.4599995464087,-0.144751997569691,-0.0214603015504832,1,-9.03865554769616E-7,,,,,,,,,,,,,,,,,,,,,8.69510364532471,8.83926868438721,9999.53125,9999.53125,46.611244301553,5.25928857473022,3.87053346633911,27,1,0,0,1,0.278472900390625,36.1681327819824,6,1,1,8.83926868438721,0,8.76718616485596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834155573.93625,8.92543935775757,9999.53125,-0.000109568814094832,4.45131593729512E-8,1,2,13.4005146026611,4.98316369097968,27.4599995464087,-0.145300077809752,-0.0217052040019684,1,-1.02606806006541E-6,,,,,,,,,,,,,,,,,,,,,8.83926868438721,9.01161003112793,9999.53125,9999.53125,46.6030372021011,5.26037355126593,3.87401008605957,27,1,0,0,1,0.275802612304687,36.1681327819824,6,1,1,9.01161003112793,0,8.92543935775757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834155575.96661,9.10557460784912,9999.53125,-0.000109788805546752,3.63302449571547E-8,1,2,13.4005146026611,4.98559873020052,27.4599995464087,-0.145718794108779,-0.021553475574953,1,-8.70163859848493E-7,,,,,,,,,,,,,,,,,,,,,9.04829692840576,9.16285228729248,9999.53125,9999.53125,46.6655674836396,5.25990372497078,3.89580583572388,27,1,0,0,1,0.277252197265625,36.1681327819824,6,1,1,9.16285228729248,0,9.10557460784912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834155578.17507,9.24715423583984,9999.53125,-0.000109842700542163,3.19445379009335E-8,1,2,13.4005146026611,4.98559873020052,27.4599995464087,-0.145801412462407,-0.0214847734748928,1,-8.1092335817766E-7,,,,,,,,,,,,,,,,,,,,,9.21238136291504,9.28192710876465,9999.53125,9999.53125,46.6210146580434,5.25990372497078,3.91346168518066,27,1,0,0,1,0.282974243164062,36.1681327819824,6,1,1,9.28192710876465,0,9.24715423583984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
