[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832577930.02185,06/11/2021,12:58 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Cu,SAMPLE_MATERIAL
INFO,Michaela_Cu,SAMPLE_COMMENT
INFO,1.44,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.09,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832577937.99228,299.928070068359,9999.494140625,-7.83557961265995E-5,3.0905449813419E-8,1,2,13.4005146026611,4.99232799527007,30.1399994641542,-0.104195038278673,-0.0153850913448932,1,-6.01494774529985E-7,,,,,,,,,,,,,,,,,,,,,299.928070068359,299.928070068359,9999.494140625,9999.494140625,47.1540853081588,5.27092796226934,8.92325019836426,27,1,0,0,1,0.27587890625,40.5669593811035,1,1,1,299.928070068359,0,299.928070068359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832577940.66506,299.931945800781,9999.494140625,-7.83911878505096E-5,2.7636247199085E-8,1,2,13.4005146026611,4.99237687648976,30.1399994641542,-0.104242375217974,-0.015400290237031,1,-6.07808473199913E-7,,,,,,,,,,,,,,,,,,,,,299.931945800781,299.931945800781,9999.494140625,9999.494140625,47.2033279048704,5.27063473888606,8.91809844970703,27,1,0,0,1,0.277328491210938,41.055721282959,6,1,1,299.931945800781,0,299.931945800781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832577942.03179,299.915023803711,9999.494140625,-7.83504035207093E-5,2.96498739040341E-8,1,2,13.4005146026611,4.99238694021066,30.1399994641542,-0.104190375518599,-0.0153784005075853,1,-5.97035670571672E-7,,,,,,,,,,,,,,,,,,,,,299.898101806641,299.931945800781,9999.494140625,9999.494140625,47.0993713118127,5.2703973857854,8.9230432510376,27,1,0,0,1,0.273666381835938,41.055721282959,6,1,1,299.898101806641,0,299.915023803711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832577944.4406,299.877700805664,9999.494140625,-7.8347076816005E-5,3.24021815215532E-8,1,2,13.4005146026611,4.99238694021066,30.1399994641542,-0.10418320975434,-0.0153973576087213,1,-6.11741229471953E-7,,,,,,,,,,,,,,,,,,,,,299.857299804687,299.898101806641,9999.494140625,9999.494140625,47.0892101410627,5.2703973857854,8.92376899719238,27,1,0,0,1,0.275421142578125,40.5669593811035,2,1,1,299.857299804687,0,299.877700805664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832577946.66372,299.843490600586,9999.494140625,-7.8302898161587E-5,3.25344656439604E-8,1,2,13.4005146026611,4.99245752556971,30.1399994641542,-0.104124730762858,-0.0154014842702192,1,-6.20794111300496E-7,,,,,,,,,,,,,,,,,,,,,299.829681396484,299.857299804687,9999.494140625,9999.494140625,47.1232109816492,5.27024262967698,8.91443824768066,27,1,0,0,1,0.277252197265625,40.5669593811035,2,1,1,299.829681396484,0,299.843490600586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832577948.69548,299.820846557617,9999.494140625,-7.83501156776186E-5,3.12194221062557E-8,1,2,13.4005146026611,4.99240041191843,30.1399994641542,-0.10418619829725,-0.0154082943026402,1,-6.19489078708601E-7,,,,,,,,,,,,,,,,,,,,,299.81201171875,299.829681396484,9999.494140625,9999.494140625,47.1966840624569,5.27046487226014,8.90488815307617,27,1,0,0,1,0.277481079101562,40.5669593811035,2,1,1,299.81201171875,0,299.820846557617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832577950.4887,299.799377441406,9999.494140625,-7.83516893503175E-5,3.20978999222335E-8,1,2,13.4005146026611,4.99240041191843,30.1500000059605,-0.104188207899734,-0.0154091973321584,1,-6.19947390679931E-7,,,,,,,,,,,,,,,,,,,,,299.786743164063,299.81201171875,9999.494140625,9999.494140625,47.1513496083415,5.27046487226014,8.91079139709473,27,1,0,0,1,0.27496337890625,41.055721282959,2,1,1,299.786743164063,0,299.799377441406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832577952.49305,299.766693115234,9999.494140625,-7.83169578692043E-5,2.89022670536899E-8,1,2,13.4005146026611,4.99241758857422,30.1399994641542,-0.104142464103946,-0.0154028014855324,1,-6.19944563049078E-7,,,,,,,,,,,,,,,,,,,,,299.748901367188,299.784484863281,9999.494140625,9999.494140625,47.1697178785434,5.27081455516085,8.91989421844482,27,1,0,0,1,0.275421142578125,40.5669593811035,2,1,1,299.748901367188,0,299.766693115234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832577954.54644,299.725372314453,9999.494140625,-7.83169346116779E-5,3.71085942607022E-8,1,2,13.4005146026611,4.99243579478682,30.1399994641542,-0.104145028130106,-0.0153880372548364,1,-6.08799374515745E-7,,,,,,,,,,,,,,,,,,,,,299.701843261719,299.748901367188,9999.494140625,9999.494140625,47.1298548240627,5.27033913909813,8.90640258789063,27,1,0,0,1,0.275192260742187,41.055721282959,2,1,1,299.701843261719,0,299.725372314453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832577956.88232,299.666366577148,9999.494140625,-7.8264539790613E-5,3.04948763829731E-8,1,2,13.4005146026611,4.99245235905673,30.1399994641542,-0.104074456370348,-0.0153876170889524,1,-6.15757130579867E-7,,,,,,,,,,,,,,,,,,,,,299.632781982422,299.699951171875,9999.494140625,9999.494140625,47.1103141110819,5.27043392061618,8.89945030212402,27,1,0,0,1,0.2777099609375,41.055721282959,2,1,1,299.632781982422,0,299.666366577148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
