[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832568203.92295,06/11/2021,10:16 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Cu,SAMPLE_MATERIAL
INFO,Michaela_Cu,SAMPLE_COMMENT
INFO,1.44,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.09,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832568230.98576,300.012145996094,-0.14955273270607,-1.27643601845047E-8,9.89114640309698E-9,1,2,13.4005146026611,4.98335168946574,30.1399994641542,-1.54345117383019E-5,-1.32086249267589E-5,1,-8.16215276018637E-9,,,,,,,,,,,,,,,,,,,,,300.012145996094,300.012145996094,-0.14955273270607,-0.14955273270607,47.0794397845723,5.26835659402198,11.1565980911255,27,1,0,0,1,0.272598266601562,40.0782012939453,1,1,1,300.012145996094,0,300.012145996094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832568241.02971,300.019454956055,525.877197265625,-5.11859257495256E-6,1.40531716644504E-8,1,2,13.4005146026611,4.98347608606043,30.1399994641542,-0.00680409286309987,-0.000901759725453645,1,3.66344697509083E-8,,,,,,,,,,,,,,,,,,,,,300.017944335937,300.020965576172,525.877197265625,525.877197265625,47.1372802949954,5.26840295584259,11.3493232727051,27,1,0,0,1,0.272903442382813,40.0782012939453,1,1,1,300.020965576172,0,300.019454956055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832568252.87919,300.0517578125,1578.828125,-1.85159634305883E-5,3.14286424511755E-8,1,2,13.4005146026611,4.98342175408192,30.1500000059605,-0.0246316073552921,-0.00312683848331618,1,2.34282185167648E-7,,,,,,,,,,,,,,,,,,,,,300.051605224609,300.051910400391,1578.828125,1578.828125,47.1450965801877,5.26962911937473,11.5329313278198,26,1,68,0,0,0.2728271484375,40.5669593811035,1,1,1,300.051605224609,0,300.0517578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832568263.5761,300.055328369141,2631.20581054687,-3.25528062607538E-5,2.7563683497178E-8,1,2,13.4005146026611,4.98354423092429,30.1399994641542,-0.0432255831508452,-0.0060736338788034,1,-2.19790662591768E-8,,,,,,,,,,,,,,,,,,,,,300.055297851562,300.055358886719,2631.20581054687,2631.20581054687,47.2111441900627,5.26806300959864,11.7018432617188,27,1,0,0,1,0.274124145507813,40.5669593811035,1,1,1,300.055358886719,0,300.055328369141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832568274.3573,300.051818847656,3684.08178710937,-4.66531364234853E-5,2.2210730403353E-8,1,2,13.4005146026611,4.98375296830249,30.1399994641542,-0.061914554462693,-0.00897571885757922,1,-2.35386478422054E-7,,,,,,,,,,,,,,,,,,,,,300.05126953125,300.052368164063,3684.08178710937,3684.08178710937,47.1697178785434,5.26787821251898,11.8292226791382,27,1,0,0,1,0.273895263671875,40.5669593811035,1,1,1,300.05126953125,0,300.051818847656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832568286.872,300.045761108398,4736.5341796875,-6.08320304257468E-5,1.55251315199397E-8,1,2,13.4005146026611,4.98375219217064,30.1399994641542,-0.0807002804342422,-0.0119283795718577,1,-4.76156130210319E-7,,,,,,,,,,,,,,,,,,,,,300.045593261719,300.045928955078,4736.5341796875,4736.5341796875,47.1806606778127,5.26807997569148,12.0026588439941,27,1,0,0,1,0.273666381835938,40.5669593811035,1,1,1,300.046020507812,0,300.045761108398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832568299.7263,300.046096801758,5789.23583984375,-7.50696594448851E-5,2.20739684291309E-8,1,2,13.4005146026611,4.98384103169611,30.1500000059605,-0.0995938197919748,-0.0146966304692939,1,-5.69584842322111E-7,,,,,,,,,,,,,,,,,,,,,300.044372558594,300.047821044922,5789.23583984375,5789.23583984375,47.2146615183992,5.26685725529176,12.1575059890747,27,1,0,0,1,0.272216796875,40.5669593811035,1,1,1,300.044372558594,0,300.046096801758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832568311.63613,300.039245605469,6841.73828125,-8.94139608525363E-5,2.49302242475081E-8,1,2,13.4005146026611,4.98399411344967,30.1500000059605,-0.118645387631405,-0.0173897906534019,1,-5.91226047556467E-7,,,,,,,,,,,,,,,,,,,,,300.038269042969,300.040222167969,6841.73828125,6841.73828125,47.198638133755,5.26642012543888,12.2772579193115,27,1,0,0,1,0.27252197265625,40.5669593811035,1,1,1,300.038269042969,0,300.039245605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832568322.69754,300.03645324707,7894.34033203125,-0.000103696267693897,2.71818795671682E-8,1,2,13.4005146026611,4.98409815183903,30.1500000059605,-0.13760301521593,-0.0201525402923627,1,-6.73962994412625E-7,,,,,,,,,,,,,,,,,,,,,300.035095214844,300.037811279297,7894.34033203125,7894.34033203125,47.2021554620915,5.26494262466747,12.3972053527832,27,1,0,0,1,0.27191162109375,41.055721282959,1,1,1,300.037811279297,0,300.03645324707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832568343.18969,300.072387695313,8947.2041015625,-0.00011786078663306,2.99018409010145E-8,1,2,13.4005146026611,4.98415345137419,30.1399994641542,-0.156369657210437,-0.0231330258264521,1,-9.37213627699078E-7,,,,,,,,,,,,,,,,,,,,,300.072387695313,300.072387695313,8947.2041015625,8947.2041015625,47.2404552595338,5.26497143266391,12.5723600387573,27,1,0,0,1,0.27191162109375,41.055721282959,1,1,1,300.072387695313,0,300.072387695313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832568353.41838,300.065673828125,9999.71875,-0.000132183027463443,3.70347505456308E-8,1,2,13.4005146026611,4.98422646610911,30.1500000059605,-0.175399461746356,-0.0257693656332026,1,-9.19147126358849E-7,,,,,,,,,,,,,,,,,,,,,300.064392089844,300.066955566406,9999.71875,9999.71875,47.1802698635531,5.26494018902285,12.6726112365723,27,1,0,0,1,0.274200439453125,41.055721282959,1,1,1,300.064392089844,0,300.065673828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832568376.32136,300.0458984375,11999.5,-0.00015918874581035,3.61397335732422E-8,1,2,13.4005146026611,4.98473871556472,30.1399994641542,-0.211233449765609,-0.0312593898632679,1,-1.27316454252333E-6,,,,,,,,,,,,,,,,,,,,,300.045715332031,300.046081542969,11999.5,11999.5,47.1099232968223,5.26253448319546,12.8274793624878,27,1,0,0,1,0.274200439453125,41.055721282959,1,1,1,300.045715332031,0,300.0458984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832568386.90297,300.035720825195,13332.9130859375,-0.000177371924132011,3.57114328960579E-8,1,2,13.4005146026611,4.98437744902435,30.1399994641542,-0.235356052136334,-0.0346972254988259,1,-1.32126715170602E-6,,,,,,,,,,,,,,,,,,,,,300.034484863281,300.036956787109,13332.9130859375,13332.9130859375,47.1490047227838,5.26406192036273,12.929759979248,27,1,0,0,1,0.275344848632813,41.055721282959,1,1,1,300.034484863281,0,300.035720825195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
