[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832571945.55602,06/11/2021,11:19 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Cu,SAMPLE_MATERIAL
INFO,Michaela_Cu,SAMPLE_COMMENT
INFO,1.44,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.09,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832571965.80716,7.99991035461426,9999.494140625,-1.58091124727561E-5,8.43101056563353E-7,1,2,13.4005146026611,5.00493201330295,29.2199999094009,-0.022422314003694,0.0063770010902193,1,6.98437576368554E-6,,,,,,,,,,,,,,,,,,,,,7.99991035461426,7.99991035461426,9999.494140625,9999.494140625,46.6679123691972,5.2630053131766,4.60331201553345,27,1,0,0,1,0.279006958007813,39.1006851196289,1,1,1,7.99991035461426,0,7.99991035461426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832571968.5862,8.00147724151611,9999.494140625,-4.27042070839771E-5,2.18018519978765E-7,1,2,13.4005146026611,4.99279984063642,29.2099993675947,-0.0579906607861122,0.000172115332885915,1,6.1002525897678E-6,,,,,,,,,,,,,,,,,,,,,8.00147724151611,8.00147724151611,9999.494140625,9999.494140625,46.8132952737742,5.31968683631455,4.59790849685669,25,1,64,0,0,0.285186767578125,39.1006851196289,6,1,1,8.00147724151611,0,8.00147724151611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832571970.3282,8.06133794784546,9999.494140625,-4.2953994931277E-5,8.50704407790027E-8,1,2,13.4005146026611,4.9961911711635,29.2099993675947,-0.0584143496446668,0.00038928261839845,1,6.2980222233862E-6,,,,,,,,,,,,,,,,,,,,,8.00147724151611,8.1211986541748,9999.494140625,9999.494140625,46.7550639490915,5.26207559754012,4.63009691238403,27,1,0,0,1,0.284347534179687,39.5894432067871,6,1,1,8.1211986541748,0,8.06133794784546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832571973.84183,8.19586420059204,9999.494140625,-3.10364761112522E-5,1.2130913319093E-7,1,2,13.4005146026611,4.99491225578241,29.2099993675947,-0.0413705426100779,-0.00559801485310512,1,1.3730500323963E-7,,,,,,,,,,,,,,,,,,,,,8.1211986541748,8.27052974700928,9999.494140625,9999.494140625,47.0446573154665,5.26369896158118,4.65037822723389,27,1,0,0,1,0.284271240234375,39.5894432067871,6,1,1,8.27052974700928,0,8.19586420059204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832571976.63053,8.31776571273804,9999.494140625,-3.12747049326578E-5,1.54986508660243E-7,1,2,13.4005146026611,4.9951186806961,29.2099993675947,-0.0416687486082361,-0.00579653514207037,1,2.18374281712309E-8,,,,,,,,,,,,,,,,,,,,,8.27052974700928,8.3650016784668,9999.494140625,9999.494140625,47.2345930456396,5.26584953396511,4.67528104782105,27,1,0,0,1,0.290298461914063,39.5894432067871,6,1,1,8.3650016784668,0,8.31776571273804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832571978.76791,8.4179368019104,9999.494140625,-3.13265207328618E-5,1.07614354154467E-7,1,2,13.4005146026611,4.99516594271287,29.2099993675947,-0.0417066846823573,-0.00603251287472931,1,-1.47990566513804E-7,,,,,,,,,,,,,,,,,,,,,8.3650016784668,8.470871925354,9999.494140625,9999.494140625,47.0473930152838,5.26583149596094,4.67502498626709,27,1,0,0,1,0.292587280273438,39.5894432067871,6,1,1,8.470871925354,0,8.4179368019104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832571980.76292,8.51247882843018,9999.494140625,-3.17819945191896E-5,9.10937044463749E-8,1,2,13.4005146026611,4.99516594271287,29.2099993675947,-0.0423131257025509,-0.00611990661073217,1,-1.49904834057133E-7,,,,,,,,,,,,,,,,,,,,,8.47530460357666,8.54965305328369,9999.494140625,9999.494140625,47.0540368576973,5.26583149596094,4.69283390045166,27,1,0,0,1,0.283355712890625,39.5894432067871,6,1,1,8.54965305328369,0,8.51247882843018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832571982.98802,8.6099796295166,9999.494140625,-3.21634743385868E-5,8.87437727081336E-8,1,2,13.4005146026611,4.99514239085902,29.2099993675947,-0.0428235326428223,-0.00617331033907889,1,-1.36681448997396E-7,,,,,,,,,,,,,,,,,,,,,8.59231281280518,8.62764644622803,9999.494140625,9999.494140625,47.0735775706781,5.26546298357072,4.71428966522217,27,1,0,0,1,0.292129516601562,39.5894432067871,6,1,1,8.63967514038086,0,8.6099796295166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832571984.65908,8.69660997390747,9999.494140625,-3.24278862866406E-5,8.92854840836266E-8,1,2,13.4005146026611,4.99514257957237,29.2099993675947,-0.0431738954646025,-0.00623612163209354,1,-1.46858325687876E-7,,,,,,,,,,,,,,,,,,,,,8.63967514038086,8.75354480743408,9999.494140625,9999.494140625,47.0743591991973,5.26548647110504,4.71669864654541,27,1,0,0,1,0.290603637695313,39.5894432067871,6,1,1,8.75354480743408,0,8.69660997390747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832571986.67705,8.7926459312439,9999.494140625,-3.2812982075352E-5,1.01254754101075E-7,1,2,13.4005146026611,4.99514257957237,29.2099993675947,-0.0436672881948945,-0.00644833123793128,1,-2.52303145292749E-7,,,,,,,,,,,,,,,,,,,,,8.75354480743408,8.83174705505371,9999.494140625,9999.494140625,47.02081764563,5.26548647110504,4.74246740341186,27,1,0,0,1,0.2923583984375,39.5894432067871,6,1,1,8.83174705505371,0,8.7926459312439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
