[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832594697.13758,06/11/2021,5:38 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Pdref,SAMPLE_MATERIAL
INFO,Michaela_Pdref,SAMPLE_COMMENT
INFO,276.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,63.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832594703.32351,299.928802490234,9999.7685546875,0.0136178886590966,1.99701765578676E-6,1,2,13.4005146026611,5.00823298720357,35.1999998092651,18.1899479380401,2.66902742058712,100,9.21969144104597E-5,,,,,,,,,,,,,,,,,,,,,299.928802490234,299.928802490234,9999.7685546875,9999.7685546875,49.3090351356783,5.44094523579383,8.01667499542236,27,1,0,0,1,0.295791625976562,41.055721282959,1,1,1,299.928802490234,0,299.928802490234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832594706.00408,299.933166503906,9999.7685546875,0.0136176599307193,1.39613876878967E-6,1,2,13.4005146026611,5.00822213469809,35.1999998092651,18.1895352881388,2.66935554757573,100,9.24802285326935E-5,,,,,,,,,,,,,,,,,,,,,299.933166503906,299.933166503906,9999.7685546875,9999.7685546875,49.232044726534,5.4412526321448,8.02105331420898,27,1,0,0,1,0.292739868164063,41.055721282959,6,1,1,299.933166503906,0,299.933166503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832594707.8611,299.916549682617,9999.7685546875,0.0136167875844403,1.83813440658699E-6,1,2,13.4005146026611,5.00822142308043,35.1999998092651,18.1882565801163,2.66997042659679,100,9.30624835808362E-5,,,,,,,,,,,,,,,,,,,,,299.899932861328,299.933166503906,9999.7685546875,9999.7685546875,49.2902760512168,5.44151233172977,8.01677322387695,27,1,0,0,1,0.297393798828125,41.055721282959,6,1,1,299.899932861328,0,299.916549682617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832594711.0168,299.862548828125,9999.7685546875,0.0136171072892001,6.45419169868065E-7,1,2,13.4005146026611,5.00818901203718,35.1999998092651,18.1884948046987,2.6702091791884,100,9.32140217351609E-5,,,,,,,,,,,,,,,,,,,,,299.837982177734,299.887115478516,9999.7685546875,9999.7685546875,49.2281365839379,5.44181925154459,8.01406478881836,27,1,0,0,1,0.287399291992187,41.055721282959,2,1,1,299.837982177734,0,299.862548828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832594714.01957,299.820419311523,9999.7685546875,0.0136180954007936,1.39013874712872E-6,1,2,13.4005146026611,5.00813440569407,35.1999998092651,18.1897479041198,2.66890154799621,100,9.21275712563376E-5,,,,,,,,,,,,,,,,,,,,,299.804534912109,299.836303710937,9999.7685546875,9999.7685546875,49.4172906855918,5.44176163119441,8.01869583129883,27,1,0,0,1,0.296249389648438,41.055721282959,2,1,1,299.804534912109,0,299.820419311523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832594716.72383,299.793441772461,9999.7685546875,0.013619515522345,1.73799097274487E-6,1,2,13.4005146026611,5.00813440569407,35.1999998092651,18.1915245040247,2.67003997931382,100,9.27805091409383E-5,,,,,,,,,,,,,,,,,,,,,299.782348632812,299.804534912109,9999.7685546875,9999.7685546875,49.3461624903418,5.44176163119441,8.0175895690918,27,1,0,0,1,0.29388427734375,41.055721282959,2,1,1,299.782348632812,0,299.793441772461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832594718.86422,299.764007568359,9999.7685546875,0.0136202697179741,1.20392375833881E-6,1,2,13.4005146026611,5.00820231402431,35.1999998092651,18.1928693257265,2.67023546319327,100,9.27842538771487E-5,,,,,,,,,,,,,,,,,,,,,299.745666503906,299.782348632812,9999.7685546875,9999.7685546875,49.2074234281783,5.4415184295285,8.01645469665527,27,1,0,0,1,0.294418334960937,41.055721282959,2,1,1,299.745666503906,0,299.764007568359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832594720.88753,299.733337402344,9999.7685546875,0.0136216205985331,8.09992063282136E-7,1,2,13.4005146026611,5.00820293556927,35.1999998092651,18.194590274156,2.67111966029892,100,9.32563648298916E-5,,,,,,,,,,,,,,,,,,,,,299.722229003906,299.744445800781,9999.7685546875,9999.7685546875,49.2984831506687,5.44147802291922,8.00681686401367,27,1,0,0,1,0.29510498046875,41.055721282959,2,1,1,299.722229003906,0,299.733337402344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832594722.7738,299.701599121094,9999.7685546875,0.0136235329978828,1.20617413561647E-6,1,2,13.4005146026611,5.00820688036258,35.1999998092651,18.1971305875394,2.67173854633481,100,9.34497120986368E-5,,,,,,,,,,,,,,,,,,,,,299.683746337891,299.719451904297,9999.7685546875,9999.7685546875,49.2730802237937,5.44166415019671,7.99874305725098,27,1,0,0,1,0.29266357421875,41.055721282959,2,1,1,299.683746337891,0,299.701599121094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832594724.76745,299.653778076172,9999.7685546875,0.0136255778745353,1.15941243812081E-6,1,2,13.4005146026611,5.00820688036258,35.1999998092651,18.1999727074127,2.67134748057185,100,9.28712979488658E-5,,,,,,,,,,,,,,,,,,,,,299.623809814453,299.683746337891,9999.7685546875,9999.7685546875,49.2547119535918,5.44166415019671,8.00369453430176,27,1,0,0,1,0.295333862304687,41.055721282959,2,1,1,299.623809814453,0,299.653778076172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
