[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832584844.98241,06/11/2021,2:54 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Pdref,SAMPLE_MATERIAL
INFO,Michaela_Pdref,SAMPLE_COMMENT
INFO,276.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,63.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832584926.06316,299.835235595703,0.099701814353466,1.10037773109508E-5,9.21122453673885E-9,1,2,13.4005146026611,4.97835064580049,35.1999998092651,0.014580512235266,0.0021221070233586,1,6.1711573044645E-8,,,,,,,,,,,,,,,,,,,,,299.835235595703,299.835235595703,0.099701814353466,0.099701814353466,49.3305299199571,5.4388925447311,8.89484691619873,27,1,0,0,1,0.297012329101562,40.5669593811035,1,1,1,299.835235595703,0,299.835235595703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832584944.22686,299.896606445313,525.86474609375,0.00074983822876151,1.07043394671224E-7,1,2,13.4005146026611,4.97832917786849,35.1999998092651,0.993138147224921,0.147655486875092,1,6.50383386200221E-6,,,,,,,,,,,,,,,,,,,,,299.896606445313,299.896606445313,525.86474609375,525.86474609375,49.3348288768129,5.43780283822666,9.24339199066162,27,1,0,0,1,0.298995971679687,40.5669593811035,1,1,1,299.896606445313,0,299.896606445313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832584968.45094,299.945922851562,1578.80322265625,0.00220491009161054,2.78261525523549E-7,1,2,13.4005146026611,4.97839413951805,35.1999998092651,2.9208175944757,0.431128032821035,10,1.68149667774044E-5,,,,,,,,,,,,,,,,,,,,,299.945922851562,299.945922851562,1578.80322265625,1578.80322265625,49.3692205316591,5.43783882067534,9.60459518432617,27,1,0,0,1,0.29754638671875,40.5669593811035,1,1,1,299.945922851562,0,299.945922851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832584987.26566,299.967010498047,2631.1806640625,0.00363246573685936,2.46257807295624E-7,1,2,13.4005146026611,4.97837453358984,35.2099984884262,4.81159155257431,0.712155129447709,10,2.9134276828595E-5,,,,,,,,,,,,,,,,,,,,,299.967010498047,299.967010498047,2631.1806640625,2631.1806640625,49.4055662578033,5.4377269622755,9.85254192352295,27,1,0,0,1,0.295639038085937,40.5669593811035,1,1,1,299.967010498047,0,299.967010498047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832584997.74535,299.969177246094,3684.01953125,0.00505712998668185,5.32935674369911E-7,1,2,13.4005146026611,4.97839619240339,35.1999998092651,6.69835152444847,0.994339041911739,10,4.27239749829457E-5,,,,,,,,,,,,,,,,,,,,,299.967803955078,299.970550537109,3684.01953125,3684.01953125,49.3563236610918,5.43820281985574,9.97306156158447,27,1,0,0,1,0.298080444335937,40.5669593811035,1,1,1,299.967803955078,0,299.969177246094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832585008.6226,299.954864501953,4736.646484375,0.00648301324691879,7.83298392725492E-7,1,2,13.4005146026611,4.97842401799584,35.2099984884262,8.5872472345936,1.27330702532583,10,5.37139683865469E-5,,,,,,,,,,,,,,,,,,,,,299.953033447266,299.956695556641,4736.646484375,4736.646484375,49.3625766892456,5.4375132276403,10.0801343917847,27,1,0,0,1,0.298233032226562,40.5669593811035,1,1,1,299.953033447266,0,299.954864501953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832585019.32476,299.946105957031,5789.0986328125,0.00790600844440044,9.0976185449463E-7,1,2,13.4005146026611,4.97836834871299,35.2099984884262,10.4711993821607,1.55815473471714,10,6.95653853060807E-5,,,,,,,,,,,,,,,,,,,,,299.946075439453,299.946136474609,5789.0986328125,5789.0986328125,49.3993132296495,5.4376741321033,10.1660776138306,27,1,0,0,1,0.287933349609375,41.055721282959,1,1,1,299.946136474609,0,299.946105957031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832585029.98148,299.949447631836,6841.73828125,0.00932951086157521,1.0096877056942E-6,1,2,13.4005146026611,4.9783819792203,35.2099984884262,12.3565292377308,1.8393558918676,10,8.2576069346954E-5,,,,,,,,,,,,,,,,,,,,,299.949127197266,299.949768066406,6841.73828125,6841.73828125,49.3832898450052,5.43845337113338,10.2561950683594,27,1,0,0,1,0.295562744140625,40.5669593811035,1,1,1,299.949768066406,0,299.949447631836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832585042.4875,299.966247558594,7894.41455078125,0.0107536952659546,1.18926069627951E-6,1,2,13.4005146026611,4.97841596543463,35.1999998092651,14.2427509685087,2.12146052213989,10,9.61621165888506E-5,,,,,,,,,,,,,,,,,,,,,299.960418701172,299.972076416016,7894.41455078125,7894.41455078125,49.4235437137456,5.43746623373519,10.3474292755127,27,1,0,0,1,0.297164916992188,40.5669593811035,1,1,1,299.972076416016,0,299.966247558594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832585055.57908,299.998336791992,8946.8798828125,0.0121775980630133,1.37704704936745E-6,1,2,13.4005146026611,4.97846206724974,35.1999998092651,16.1292581020538,2.39945277546918,10,0.000106676446940361,,,,,,,,,,,,,,,,,,,,,299.997619628906,299.999053955078,8946.8798828125,8946.8798828125,49.3735194885148,5.43736473821171,10.4460420608521,27,1,0,0,1,0.286788940429687,40.5669593811035,1,1,1,299.999053955078,0,299.998336791992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
