[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3832588712.81489,06/11/2021,3:58 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Pdref,SAMPLE_MATERIAL
INFO,Michaela_Pdref,SAMPLE_COMMENT
INFO,276.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,63.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3832588732.28568,7.9997353553772,9999.7685546875,0.0188818278600154,2.50023922357549E-6,1,2,13.4005146026611,5.00937958298075,34.6900001168251,25.2172929838065,3.78625925676735,100,0.000190920881914542,,,,,,,,,,,,,,,,,,,,,7.9997353553772,7.9997353553772,9999.7685546875,9999.7685546875,49.1867102724187,5.43909003421119,4.4175910949707,27,1,0,0,1,0.28564453125,39.1006851196289,1,1,1,7.9997353553772,0,7.9997353553772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832588735.07799,8.00062942504883,9999.7685546875,0.0192870867719413,3.75679870193077E-5,1,2,13.4005146026611,5.00041154221211,34.6900001168251,25.6956687366424,3.85673437847349,100,0.000194026957598489,,,,,,,,,,,,,,,,,,,,,8.00062942504883,8.00062942504883,9999.7685546875,9999.7685546875,49.1745950303706,5.47026201852476,4.4180064201355,25,1,64,0,0,0.29571533203125,39.1006851196289,6,1,1,8.00062942504883,0,8.00062942504883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832588736.77342,8.04290294647217,9999.7685546875,0.0193230335367768,2.2101368438651E-6,1,2,13.4005146026611,5.0092894067897,34.6900001168251,25.8080513659798,3.8592683520471,100,0.000183891107987732,,,,,,,,,,,,,,,,,,,,,8.00062942504883,8.08517646789551,9999.7685546875,9999.7685546875,49.1644338596206,5.43786651100484,4.4340033531189,27,1,0,0,1,0.29632568359375,39.5894432067871,6,1,1,8.10912322998047,0,8.04290294647217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832588739.14866,8.13719511032104,9999.7685546875,0.0193189133592419,2.14490885753412E-6,1,2,13.4005146026611,5.00928298705448,34.6900001168251,25.8014143125471,3.86622653680484,100,0.000189675069129241,,,,,,,,,,,,,,,,,,,,,8.10912322998047,8.16526699066162,9999.7685546875,9999.7685546875,49.1828021298225,5.43790089440994,4.45748233795166,27,1,0,0,1,0.295639038085937,39.5894432067871,6,1,1,8.16526699066162,0,8.13719511032104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832588740.84322,8.21308708190918,9999.7685546875,0.0193139102993311,2.17246268363542E-6,1,2,13.4005146026611,5.00928298705448,34.6900001168251,25.7950279935518,3.86311168670129,100,0.000188045550635681,,,,,,,,,,,,,,,,,,,,,8.16526699066162,8.26090717315674,9999.7685546875,9999.7685546875,49.2832413945437,5.43790089440994,4.46121168136597,27,1,0,0,1,0.295257568359375,39.5894432067871,6,1,1,8.26090717315674,0,8.21308708190918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832588742.84258,8.30589199066162,9999.7685546875,0.0193094049412958,2.03892434476833E-6,1,2,13.4005146026611,5.00929597236092,34.6900001168251,25.7887485240655,3.86475330478391,100,0.000189892741013022,,,,,,,,,,,,,,,,,,,,,8.26090717315674,8.3508768081665,9999.7685546875,9999.7685546875,49.2566660248898,5.43813740468673,4.4765453338623,27,1,0,0,1,0.295181274414063,39.5894432067871,6,1,1,8.3508768081665,0,8.30589199066162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832588745.00238,8.40493869781494,9999.7685546875,0.0193016087136684,1.15966843652943E-6,1,2,13.4005146026611,5.00932243747703,34.6900001168251,25.7790951277142,3.85912441355492,100,0.000186753134741578,,,,,,,,,,,,,,,,,,,,,8.3508768081665,8.45900058746338,9999.7685546875,9999.7685546875,49.3668756461014,5.43780657747317,4.49154090881348,27,1,0,0,1,0.294036865234375,39.5894432067871,6,1,1,8.45900058746338,0,8.40493869781494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832588747.02271,8.49974918365479,9999.7685546875,0.0192995748023316,1.58032175975168E-6,1,2,13.4005146026611,5.00932243747703,34.6900001168251,25.776221092726,3.85984460006531,100,0.000187576016226394,,,,,,,,,,,,,,,,,,,,,8.45900058746338,8.54049777984619,9999.7685546875,9999.7685546875,49.341863533486,5.43780657747317,4.50582933425903,27,1,0,0,1,0.294876098632812,39.5894432067871,6,1,1,8.54049777984619,0,8.49974918365479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832588748.88663,8.58724546432495,9999.7685546875,0.0192896264854972,1.88014020339961E-6,1,2,13.4005146026611,5.00929572577678,34.6900001168251,25.7628428659158,3.85713785471668,100,0.00018696414160304,,,,,,,,,,,,,,,,,,,,,8.54049777984619,8.63399314880371,9999.7685546875,9999.7685546875,49.2566660248898,5.43758980638998,4.51958894729614,27,1,0,0,1,0.294876098632812,39.5894432067871,6,1,1,8.63399314880371,0,8.58724546432495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832588750.94068,8.67878150939941,9999.7685546875,0.0192880940029625,1.69165821201218E-6,1,2,13.4005146026611,5.00930301445959,34.6900001168251,25.7602848262977,3.86086214773094,100,0.000189957417198966,,,,,,,,,,,,,,,,,,,,,8.63399314880371,8.72356986999512,9999.7685546875,9999.7685546875,49.2918393082552,5.43789004525793,4.53204250335693,27,1,0,0,1,0.295486450195313,40.0782012939453,6,1,1,8.72356986999512,0,8.67878150939941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
