[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3834070700.73838,06/28/2021,7:39 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Tb,SAMPLE_MATERIAL
INFO,Michaela_Tb,SAMPLE_COMMENT
INFO,1.8,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,55,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3834070706.7133,299.944946289063,9999.755859375,0.000657508557826869,6.02545340702219E-8,1,2,13.4005146026611,4.99243145092349,32.1700014173985,0.874257905127777,0.129826041939324,1,5.5890510470937E-6,,,,,,,,,,,,,,,,,,,,,299.944946289063,299.944946289063,9999.755859375,9999.755859375,47.2560878299185,5.28728711549205,12.9387550354004,27,1,0,0,1,0.276870727539062,39.5894432067871,1,1,1,299.944946289063,0,299.944946289063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834070709.44705,299.948760986328,9999.755859375,0.000657524234203115,8.8907211803347E-8,1,2,13.4005146026611,4.99235451502133,32.1599990129471,0.874255284234937,0.129862162362847,1,5.61605239310118E-6,,,,,,,,,,,,,,,,,,,,,299.948760986328,299.948760986328,9999.755859375,9999.755859375,47.3158824116396,5.28778239554097,12.9366226196289,27,1,0,0,1,0.277633666992187,39.5894432067871,6,1,1,299.948760986328,0,299.948760986328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834070710.61024,299.938034057617,9999.755859375,0.000657427087560152,8.30057793616416E-8,1,2,13.4005146026611,4.99235451502133,32.1599990129471,0.874121966974771,0.12987265244897,1,5.63751573748879E-6,,,,,,,,,,,,,,,,,,,,,299.927307128906,299.948760986328,9999.755859375,9999.755859375,47.3033763553319,5.28778239554097,12.9341268539429,27,1,0,0,1,0.275955200195313,39.5894432067871,6,1,1,299.927307128906,0,299.938034057617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834070712.79386,299.909851074219,9999.755859375,0.000657340473227691,9.01619548164582E-8,1,2,13.4005146026611,4.99244487650937,32.1599990129471,0.874041407743635,0.129766328748765,1,5.56733819140265E-6,,,,,,,,,,,,,,,,,,,,,299.892395019531,299.927307128906,9999.755859375,9999.755859375,47.3092385692262,5.28711107381842,12.9397745132446,27,1,0,0,1,0.277862548828125,39.5894432067871,2,1,1,299.892395019531,0,299.909851074219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834070714.80696,299.882690429687,9999.755859375,0.000657468552599178,8.13173170990693E-8,1,2,13.4005146026611,4.99246417670476,32.1599990129471,0.874226259448777,0.129721369030658,1,5.51514084463165E-6,,,,,,,,,,,,,,,,,,,,,299.872985839844,299.892395019531,9999.755859375,9999.755859375,47.3143191546012,5.28718846995267,12.9560079574585,27,1,0,0,1,0.277557373046875,39.5894432067871,2,1,1,299.872985839844,0,299.882690429687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834070717.01795,299.842697143555,9999.755859375,0.000657587173322426,5.67304105717762E-8,1,2,13.4005146026611,4.99238521387479,32.1599990129471,0.874342751975165,0.1299013296353,1,5.63585219524857E-6,,,,,,,,,,,,,,,,,,,,,299.822021484375,299.863372802734,9999.755859375,9999.755859375,47.36629745113,5.28743240099063,12.9440011978149,27,1,0,0,1,0.2764892578125,39.5894432067871,2,1,1,299.822021484375,0,299.842697143555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834070719.02658,299.808212280273,9999.755859375,0.000657790508924239,5.22456693295567E-8,1,2,13.4005146026611,4.99238521387479,32.1599990129471,0.874621545901743,0.129881175075617,1,5.59228152056738E-6,,,,,,,,,,,,,,,,,,,,,299.794403076172,299.822021484375,9999.755859375,9999.755859375,47.3573087231589,5.28743240099063,12.9386463165283,27,1,0,0,1,0.278701782226562,39.5894432067871,2,1,1,299.794403076172,0,299.808212280273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834070720.854,299.766540527344,9999.755859375,0.000658013049120538,4.46657113201315E-8,1,2,13.4005146026611,4.99237358631646,32.1599990129471,0.874923721108243,0.129859829290458,1,5.54544215206279E-6,,,,,,,,,,,,,,,,,,,,,299.738677978516,299.794403076172,9999.755859375,9999.755859375,47.3276068394281,5.28765325096805,12.9540319442749,27,1,0,0,1,0.275726318359375,39.5894432067871,2,1,1,299.738677978516,0,299.766540527344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834070722.86169,299.701568603516,9999.755859375,0.000658302109023898,5.04976600520665E-8,1,2,13.4005146026611,4.99237358631646,32.1599990129471,0.875309493721638,0.129906680015267,1,5.54021929480277E-6,,,,,,,,,,,,,,,,,,,,,299.670928955078,299.732208251953,9999.755859375,9999.755859375,47.3162732258992,5.28765325096805,12.947566986084,27,1,0,0,1,0.276260375976562,39.5894432067871,2,1,1,299.670928955078,0,299.701568603516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834070724.9073,299.640502929687,9999.755859375,0.00065856216382283,6.34220593382487E-8,1,2,13.4005146026611,4.9924093287582,32.1599990129471,0.875664375908549,0.1299556291903,1,5.53967050977792E-6,,,,,,,,,,,,,,,,,,,,,299.610076904297,299.670928955078,9999.755859375,9999.755859375,47.3158824116396,5.28709730365657,12.945348739624,27,1,0,0,1,0.27679443359375,40.0782012939453,2,1,1,299.610076904297,0,299.640502929687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
