[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3834063180.6037,06/28/2021,5:33 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Tb,SAMPLE_MATERIAL
INFO,Michaela_Tb,SAMPLE_COMMENT
INFO,1.8,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,55,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3834063310.98872,299.89208984375,0.124627269804478,-1.42791589444471E-7,1.59507619575354E-8,1,2,13.4005146026611,4.99208931418693,32.1599990129471,-0.000188488969328092,-3.78926488165875E-5,100,-8.50159610253798E-9,,,,,,,,,,,,,,,,,,,,,299.89208984375,299.89208984375,0.124627269804478,0.124627269804478,47.3932636350435,5.29016915423966,10.7688388824463,27,1,0,0,1,0.27740478515625,40.5669593811035,1,1,1,299.89208984375,0,299.89208984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834063330.00254,299.934539794922,526.039245605469,3.43472260297857E-5,1.13303194378372E-8,1,2,13.4005146026611,4.99212900836258,32.1599990129471,0.0456764552400103,0.00670717109827313,10,2.36238511104034E-7,,,,,,,,,,,,,,,,,,,,,299.934539794922,299.934539794922,526.039245605469,526.039245605469,47.4362532036012,5.28980647456601,11.0246744155884,27,1,0,0,1,0.277328491210938,40.5669593811035,1,1,1,299.934539794922,0,299.934539794922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834063339.55728,299.95751953125,1578.57885742187,0.00010372779005202,2.63541209369582E-8,1,2,13.4005146026611,4.99209076608285,32.1599990129471,0.137871316659648,0.0207489299222815,10,1.08428924431426E-6,,,,,,,,,,,,,,,,,,,,,299.956787109375,299.958251953125,1578.57885742187,1578.57885742187,47.4182757476589,5.29017104640089,11.1325149536133,27,1,0,0,1,0.27587890625,40.5669593811035,1,1,1,299.958251953125,0,299.95751953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834063350.33128,299.971252441406,2631.38012695313,0.000173667941187301,7.28628265610594E-8,1,2,13.4005146026611,4.99224884473676,32.1599990129471,0.230900843853328,0.0343292911330761,10,1.50629930974437E-6,,,,,,,,,,,,,,,,,,,,,299.970581054687,299.971923828125,2631.38012695313,2631.38012695313,47.412022719505,5.28916800186242,11.2413320541382,27,1,0,0,1,0.275650024414062,40.5669593811035,1,1,1,299.971923828125,0,299.971252441406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834063362.70809,299.983169555664,3684.06958007812,0.000243434297646054,9.34787075313672E-8,1,2,13.4005146026611,4.99202059578111,32.1599990129471,0.323702358309152,0.0476616844713457,10,1.76925130385561E-6,,,,,,,,,,,,,,,,,,,,,299.981903076172,299.984436035156,3684.06958007812,3684.06958007812,47.3029855410723,5.29174198846225,11.3691596984863,27,1,0,0,1,0.275344848632813,40.5669593811035,1,1,1,299.984436035156,0,299.983169555664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834063375.72779,299.991546630859,4736.5341796875,0.000313176798737768,6.82516065752452E-8,1,2,13.4005146026611,4.99212797439986,32.1599990129471,0.41645700444892,0.0612929753369361,10,2.2571172047869E-6,,,,,,,,,,,,,,,,,,,,,299.989868164063,299.993225097656,4736.5341796875,4736.5341796875,47.4280461041493,5.29074673296929,11.5040006637573,27,1,0,0,1,0.276565551757813,40.5669593811035,1,1,1,299.993225097656,0,299.991546630859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834063388.59445,299.997268676758,5789.111328125,0.000383067630766805,5.18869077310814E-8,1,2,13.4005146026611,4.99206970269548,32.1599990129471,0.509384831128736,0.0749962896447444,10,2.78030733511875E-6,,,,,,,,,,,,,,,,,,,,,299.997161865234,299.997375488281,5789.111328125,5789.111328125,47.3123650833031,5.29159634881396,11.5815076828003,27,1,0,0,1,0.277099609375,40.5669593811035,1,1,1,299.997375488281,0,299.997268676758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834063401.51217,300.001419067383,6841.7880859375,0.000453028454343049,5.96530040881776E-8,1,2,13.4005146026611,4.99195510090662,32.1599990129471,0.602396724248765,0.0886879923216175,10,3.28634752476769E-6,,,,,,,,,,,,,,,,,,,,,300.001312255859,300.001525878906,6841.7880859375,6841.7880859375,47.2932151845819,5.29187447954301,11.6942834854126,27,1,0,0,1,0.275955200195313,40.5669593811035,1,1,1,300.001312255859,0,300.001419067383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834063414.40595,300.004577636719,7894.40234375,0.000523033480586971,5.87682505444066E-8,1,2,13.4005146026611,4.99205484212063,32.1599990129471,0.695501987711098,0.10239693097445,10,3.79527701249782E-6,,,,,,,,,,,,,,,,,,,,,300.00439453125,300.004760742188,7894.40234375,7894.40234375,47.3514465092646,5.29070423128289,11.7777786254883,27,1,0,0,1,0.27557373046875,40.5669593811035,1,1,1,300.00439453125,0,300.004577636719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834063427.25939,300.005599975586,8946.8544921875,0.000593008011785492,6.43442691105111E-8,1,2,13.4005146026611,4.99178818654916,32.1599990129471,0.788483646684849,0.116152118328001,10,4.35142836516199E-6,,,,,,,,,,,,,,,,,,,,,300.005004882812,300.006195068359,8946.8544921875,8946.8544921875,47.4303909897069,5.29029852989124,11.8642702102661,27,1,0,0,1,0.277557373046875,40.5669593811035,1,1,1,300.005004882812,0,300.005599975586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
