[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3834067040.46979,06/28/2021,6:38 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC211,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM059,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC057,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Michaela_Tb,SAMPLE_MATERIAL
INFO,Michaela_Tb,SAMPLE_COMMENT
INFO,1.8,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,55,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3834067072.90612,8.00249862670898,9999.755859375,0.0211484981970914,8.41518568543061E-6,1,2,13.4005146026611,4.99574328959143,31.2200002372265,28.1434174167044,4.19602405109314,100,0.000192097271193295,,,,,,,,,,,,,,,,,,,,,8.00249862670898,8.00249862670898,9999.755859375,9999.755859375,47.1372802949954,5.27212467397586,7.13924312591553,27,1,0,0,1,0.291671752929687,38.6119270324707,1,1,1,8.00249862670898,0,8.00249862670898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834067075.68799,8.04648303985596,9999.755859375,0.0211009187699421,8.03354535715891E-6,1,2,13.4005146026611,4.99579040504549,31.2200002372265,28.0828467117876,4.16959480897523,100,0.000178874336105055,,,,,,,,,,,,,,,,,,,,,8.04648303985596,8.04648303985596,9999.755859375,9999.755859375,47.2209145465531,5.27262401073247,7.15079879760742,27,1,0,0,1,0.282974243164062,38.6119270324707,6,1,1,8.04648303985596,0,8.04648303985596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834067087.38694,8.91256904602051,9999.755859375,0.0193533276463037,1.51988064488137E-5,1,2,13.4005146026611,4.99585805480291,31.2200002372265,25.7574784110001,3.82438962475921,100,0.000164099105655329,,,,,,,,,,,,,,,,,,,,,8.91256904602051,8.91256904602051,9999.755859375,9999.755859375,47.2560878299185,5.27222358246736,7.34177684783935,27,1,0,0,1,0.283355712890625,38.6119270324707,6,1,1,8.91256904602051,0,8.91256904602051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834067088.49525,9.00500869750977,9999.755859375,0.0190775065776858,1.49194027768851E-5,1,2,13.4005146026611,4.99587369206484,31.2200002372265,25.390665509979,3.76868220113978,100,0.000160845642606753,,,,,,,,,,,,,,,,,,,,,8.93011569976807,9.07990169525146,9999.755859375,9999.755859375,47.1974656909762,5.27214353341295,7.38377523422241,27,1,0,0,1,0.283660888671875,38.6119270324707,6,1,1,9.07990169525146,0,9.00500869750977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834067090.34618,9.14015436172485,9999.755859375,0.0188088174547657,1.35284985172803E-5,1,2,13.4005146026611,4.99587369206484,31.2200002372265,25.033599913176,3.71175202136295,100,0.000155689637172719,,,,,,,,,,,,,,,,,,,,,9.08717346191406,9.19313526153564,9999.755859375,9999.755859375,47.2029370906108,5.27214353341295,7.42241954803467,27,1,0,0,1,0.292129516601562,38.6119270324707,6,1,1,9.19313526153564,0,9.14015436172485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834067092.19262,9.28466844558716,9999.755859375,0.0185421136404363,1.40465286000447E-5,1,2,13.4005146026611,4.99593282898452,31.2200002372265,24.6787961508772,3.66085592639516,100,0.000154739920249875,,,,,,,,,,,,,,,,,,,,,9.19313526153564,9.37620162963867,9999.755859375,9999.755859375,47.1904310343031,5.27086348085869,7.44794273376465,27,1,0,0,1,0.291213989257812,38.6119270324707,6,1,1,9.37620162963867,0,9.28466844558716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834067094.2215,9.44887733459473,9999.755859375,0.0182878238042211,1.3785090290677E-5,1,2,13.4005146026611,4.99595911661187,31.2200002372265,24.340932939092,3.60773856736232,100,0.000150413136300939,,,,,,,,,,,,,,,,,,,,,9.39424991607666,9.50350475311279,9999.755859375,9999.755859375,47.3272160251685,5.2708572921769,7.47662115097046,27,1,0,0,1,0.290679931640625,38.6119270324707,6,1,1,9.50350475311279,0,9.44887733459473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834067096.22069,9.6019024848938,9999.755859375,0.0180473188668519,1.14373160336278E-5,1,2,13.4005146026611,4.99595911661187,31.2200002372265,24.0199916656916,3.56623837087448,100,0.000152896889640564,,,,,,,,,,,,,,,,,,,,,9.52429485321045,9.67951011657715,9999.755859375,9999.755859375,47.2173972182165,5.2708572921769,7.52337408065796,27,1,0,0,1,0.291671752929687,38.6119270324707,6,1,1,9.67951011657715,0,9.6019024848938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834067098.52249,9.77578973770142,9999.755859375,0.0178270230096482,1.57837351245686E-5,1,2,13.4005146026611,4.99595260910397,31.2200002372265,23.7261149769363,3.52722527507856,100,0.000154426155996664,,,,,,,,,,,,,,,,,,,,,9.67951011657715,9.87206935882568,9999.755859375,9999.755859375,47.1763617209569,5.27171506352355,7.57225227355957,27,1,0,0,1,0.290069580078125,39.1006851196289,6,1,1,9.87206935882568,0,9.77578973770142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834067101.53604,10.0000915527344,9999.755859375,0.0173428469410307,1.05166734134735E-5,1,2,13.4005146026611,4.99595793293186,31.2200002372265,23.0831541303195,3.42142693111252,100,0.000142723623059741,,,,,,,,,,,,,,,,,,,,,9.87206935882568,10.1281137466431,9999.755859375,9999.755859375,47.137671109255,5.27160302629022,7.60774803161621,27,1,0,0,1,0.290756225585937,39.1006851196289,6,1,1,10.1281137466431,0,10.0000915527344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
