Cell1 Blank,,Er,,Gd,,Lu,,La,,Y,,Dy,,Dy,,Tb_new,,Tb_new1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
600,-0.01007382106,600,-0.0003732705081,600,-0.0001201978012,600,-0.0004452174471,600,0.0001709069038,600,0.00438760221,600,0.004306574818,600,0.004535002168,600,0.0003298866213,600,0.0003387464385,
599,-0.009595631622,599,-0.0001093803294,599,-7.319934957E-5,599,-0.0004172366462,599,0.0001903553493,599,0.0044300179,599,0.004434515722,599,0.004701292142,599,0.0004628546885,599,0.00026289979,
598,-0.009544279426,598,-0.0001339651062,598,-0.0001118647488,598,-0.0005312174326,598,6.321813271E-5,598,0.004420368001,598,0.004289085045,598,0.004772526678,598,0.000257408683,598,0.0004876547027,
597,-0.009750007652,597,-9.167841927E-5,597,-2.873247468E-5,597,-0.0004073575838,597,0.0002604391484,597,0.004630147945,597,0.004517320078,597,0.00483715022,597,0.0006292776088,597,0.0005488962634,
596,-0.009790401906,596,-4.203677963E-5,596,-5.295946175E-5,596,-0.0004483205848,596,0.0002019057138,596,0.004482480697,596,0.004482742399,596,0.004800348543,596,0.0004496130568,596,0.0005300278426,
595,-0.009895371273,595,5.2085692E-5,595,9.221561049E-5,595,-0.0004980709637,595,0.0002412465547,595,0.004551664926,595,0.004684702028,595,0.004954512697,595,0.0004656274687,595,0.0006163679063,
594,-0.01001407579,594,0.0001366217475,594,-1.796449033E-5,594,-0.0004099437501,594,0.0002254994324,594,0.004606078379,594,0.004723509308,594,0.004943018313,594,0.0006206970429,594,0.0006969432579,
593,-0.01008626446,593,-0.0001115024352,593,1.123465518E-5,593,-0.0004551991005,593,0.0001688352204,593,0.004526030272,593,0.004716024734,593,0.004960508551,593,0.0004467885883,593,0.0006819055416,
592,-0.01035270654,592,0.0002536530083,592,0.0002439402015,592,-0.0004111333692,592,0.0003798614489,592,0.004780770745,592,0.004928042181,592,0.005251450464,592,0.0004559617373,592,0.0008979281993,
591,-0.01035477966,591,0.0001026241007,591,6.091395335E-5,591,-0.0003673735482,591,0.000389991852,591,0.004693703726,591,0.004931550473,591,0.005221818108,591,0.0004945740802,591,0.0006887502386,
590,-0.01048695296,590,1.374566637E-5,590,6.948349619E-5,590,-0.0003274375631,590,0.0004372528347,590,0.00470453687,590,0.004908380564,590,0.00519795157,590,0.0005105123855,590,0.0006740757381,
589,-0.01067692973,589,8.645999515E-6,589,9.83001446E-5,589,-0.000357234705,589,0.0004432385613,589,0.004713251255,589,0.005083823111,589,0.00544891879,589,0.0006019551074,589,0.0008865149575,
588,-0.01064106263,588,-0.0001981895184,588,0.0001900445786,588,-0.0003049331717,588,0.0003991379053,588,0.00463433424,588,0.00489348406,588,0.005331317894,588,0.0005026079598,588,0.0006687350105,
587,-0.01064944919,587,-0.000464042736,587,6.503042096E-5,587,-0.0003608557454,587,0.000263469643,587,0.00453099981,587,0.004981900565,587,0.005254201591,587,0.0006221746444,587,0.000448576553,
586,-0.01077592745,586,-0.0003583727521,586,3.743272464E-5,586,-0.0004123747349,586,0.0002988268679,586,0.004580728244,586,0.004963179119,586,0.005403468385,586,0.0004213949724,586,0.0005016231444,
