Cell1 Blank,,Ho_100mM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
600,-0.01721801981,600,0.001038465416,
599,-0.01678116061,599,0.001354392734,
598,-0.01700803451,598,0.001338293543,
597,-0.01709464937,597,0.001252458896,
596,-0.01731837355,596,0.001428534277,
595,-0.01779176667,595,0.0016661064,
594,-0.01806981489,594,0.001846093102,
593,-0.01836683974,593,0.002157327486,
592,-0.01882838458,592,0.002499193419,
591,-0.01916863583,591,0.002475996502,
590,-0.01927888952,590,0.002669862704,
589,-0.01958419755,589,0.00314102252,
588,-0.01970993169,588,0.003017293522,
587,-0.01948124729,587,0.002720368095,
586,-0.01931568421,586,0.002617305843,
585,-0.01932113245,585,0.00256368774,
584,-0.01890928484,584,0.002097445307,
583,-0.01870963536,583,0.001981164562,
582,-0.01889912225,582,0.00208633882,
581,-0.01878822595,581,0.001855373848,
580,-0.0188602116,580,0.001914208522,
579,-0.01905488595,579,0.002329866402,
578,-0.01934797131,578,0.002533639548,
577,-0.01935322024,577,0.002470659558,
576,-0.01982044429,576,0.003071697662,
575,-0.01992919855,575,0.00312725571,
574,-0.02006056532,574,0.003251355141,
573,-0.02014380693,573,0.003498251084,
572,-0.02008137852,572,0.003628982231,
571,-0.0199766662,571,0.003246817039,
570,-0.01969390176,570,0.00306113949,
569,-0.01966045424,569,0.003233073046,
568,-0.01857760921,568,0.002844455419,
567,-0.01831036061,567,0.002462979872,
566,-0.01813918725,566,0.002444887068,
565,-0.01806281134,565,0.002493622014,
564,-0.01796407066,564,0.002288852585,
563,-0.01812076382,563,0.00238670921,
562,-0.01831596904,562,0.002811756218,
561,-0.0186490342,561,0.002924871864,
560,-0.01863108017,560,0.00309995818,
559,-0.01899834536,559,0.00345002953,
558,-0.01923065074,558,0.00375622767,
557,-0.01925625652,557,0.003685055533,
556,-0.01912236586,556,0.003770458279,
555,-0.01912647858,555,0.003868074855,
554,-0.01888073236,554,0.003542772029,
553,-0.01856431551,553,0.003231377807,
552,-0.01836803183,552,0.003302267287,
551,-0.01822100952,551,0.003094092244,
550,-0.01817448996,550,0.002988230437,
549,-0.01817329787,549,0.003269976936,
548,-0.01838981733,548,0.00346743362,
547,-0.0186981298,547,0.003803856438,
546,-0.0185739398,546,0.003782130545,
545,-0.01908317767,545,0.004409097135,
544,-0.01920454763,544,0.004507092759,
543,-0.01940684207,543,0.004846730735,
542,-0.01941099949,542,0.005160463974,
541,-0.01958939433,541,0.005345967133,
540,-0.01944605075,540,0.005371886306,
539,-0.01917264797,539,0.005377809517,
538,-0.01899096183,538,0.005307313986,
537,-0.01883636601,537,0.005210028496,
536,-0.0185793452,536,0.005020734388,
535,-0.01876259409,535,0.005016858689,
534,-0.01883725822,534,0.004981193691,
533,-0.01892385632,533,0.005223625805,
532,-0.01903674938,532,0.005413454492,
531,-0.01930370182,531,0.00564228138,
530,-0.01943996176,530,0.005984697957,
529,-0.01975010335,529,0.006488372106,
528,-0.0197156705,528,0.006584051996,
527,-0.019753417,527,0.006865485571,
526,-0.01957771368,526,0.00704948185,
525,-0.01940931752,525,0.007042168174,
524,-0.01925804093,524,0.007084580604,
523,-0.01906950213,523,0.007040273864,
522,-0.01876234449,522,0.007045614533,
521,-0.0188482143,521,0.007362231147,
520,-0.01895418949,520,0.007860046811,
519,-0.01897901855,519,0.008185224608,
518,-0.01919890195,518,0.008725739084,
517,-0.01942624897,517,0.009162828326,
516,-0.01959543116,516,0.009704958647,
515,-0.01968172938,515,0.01005809288,
514,-0.01969197206,514,0.01031829976,
513,-0.01949981041,513,0.01048729755,
512,-0.01930776238,512,0.01074242871,
511,-0.01921955682,511,0.01072879042,
510,-0.01896261424,510,0.01074624993,
509,-0.01862661541,509,0.01072828565,
508,-0.01850711741,508,0.01067872439,
507,-0.01868330315,507,0.01125088334,
506,-0.01882689819,506,0.01152291801,
505,-0.01900592819,505,0.0119321011,
504,-0.01936168596,504,0.012580093,
503,-0.0194077827,503,0.01271497365,
502,-0.0194641687,502,0.01289797202,
501,-0.01946025901,501,0.0130336443,
500,-0.01933544315,500,0.01304914337,
499,-0.01893897355,499,0.01290951855,
498,-0.01876244508,498,0.01289861184,
497,-0.01863499731,497,0.01278889459,
496,-0.01859878935,496,0.01294136047,
495,-0.0185729973,495,0.01309476048,
494,-0.01895453595,494,0.01347466651,
493,-0.01890859008,493,0.0136128962,
492,-0.01902505569,492,0.01394631434,
491,-0.01942847669,491,0.01436110586,
490,-0.01937663928,490,0.01430542953,
489,-0.01942085288,489,0.01451653428,
488,-0.01926279441,488,0.01452135202,
487,-0.01910304464,487,0.01429646742,
486,-0.01887245476,486,0.01428261027,
485,-0.01870874316,485,0.01425805315,
484,-0.01893832907,484,0.01441084873,
483,-0.018883707,483,0.01462278049,
482,-0.01904992945,482,0.01458998583,
481,-0.0193279162,481,0.01489487384,
480,-0.01968257129,480,0.01503787097,
479,-0.01983468793,479,0.01529402845,
478,-0.01996682771,478,0.01544319186,
477,-0.01998250186,477,0.01544128731,
476,-0.01976731792,476,0.01505395025,
475,-0.01971987635,475,0.01517978963,
474,-0.01985323615,474,0.01509270351,
473,-0.01971334405,473,0.0149309868,
472,-0.01967584155,472,0.01513253152,
471,-0.01997108012,471,0.01503237709,
470,-0.02027931064,470,0.01515236683,
469,-0.02025638334,469,0.01542634796,
468,-0.02072342671,468,0.01575109549,
467,-0.02065792307,467,0.01596427336,
466,-0.01995031163,466,0.0149951838,
465,-0.01995995454,465,0.0150928637,
464,-0.01987959631,464,0.0148195494,
463,-0.01976246946,463,0.01467667706,
462,-0.01972373389,462,0.0147685539,
461,-0.01993582398,461,0.01512331143,
460,-0.02012527175,460,0.01520027034,
459,-0.02011385374,459,0.01536651235,
458,-0.02030035853,458,0.01548723783,
457,-0.02043857798,457,0.01583315991,
456,-0.02036888152,456,0.01576424763,
455,-0.02029551566,455,0.0159618035,
454,-0.01993478462,454,0.01579076983,
453,-0.0197378844,453,0.01579189673,
452,-0.01956237294,452,0.01582056843,
451,-0.01959750988,451,0.01615125313,
450,-0.01990654878,450,0.01652271114,
449,-0.01995639503,449,0.01679139584,
448,-0.02005730383,448,0.0169883687,
447,-0.02030742355,447,0.0168633759,
446,-0.02019777521,446,0.01672209054,
445,-0.02005275525,445,0.01676519029,
444,-0.01981762424,444,0.01658493839,
443,-0.019601468,443,0.01649434306,
442,-0.01936599426,442,0.01657617092,
441,-0.01951871812,441,0.01703838632,
440,-0.01989077404,440,0.01770596579,
439,-0.01960686222,439,0.01781582646,
438,-0.01973996125,438,0.01854989491,
437,-0.01995698735,437,0.0190604385,
436,-0.01983978227,436,0.01924082823,
435,-0.01937139034,435,0.01918490045,
434,-0.01945347711,434,0.01988589577,
433,-0.01943605021,433,0.02010805532,
432,-0.01932227053,432,0.02075167187,
431,-0.01941322722,431,0.02185983583,
430,-0.01976865344,430,0.0227115564,
429,-0.01991525292,429,0.02369626239,
428,-0.02005087771,428,0.0247323066,
427,-0.02015181258,427,0.02589415386,
426,-0.01986945793,426,0.02656302974,
425,-0.01957835816,425,0.02779990993,
424,-0.01971527375,424,0.02903440036,
423,-0.01974020898,423,0.03042469919,
422,-0.01978334598,422,0.03219278157,
421,-0.01998003013,421,0.03442235291,
420,-0.02017341182,420,0.03653552383,
419,-0.0202490706,419,0.03876276687,
418,-0.02018349431,418,0.04169115797,
417,-0.01997394674,417,0.04432271421,
416,-0.01999140158,416,0.04720850289,
415,-0.01963313855,415,0.05060775951,
414,-0.01984418556,414,0.05458880961,
413,-0.02014963888,413,0.05944048241,
412,-0.02003545314,412,0.06483191252,
411,-0.01970597357,411,0.07113705575,
410,-0.01950599812,410,0.07730447501,
409,-0.01993567497,409,0.08562384546,
408,-0.01970617101,408,0.09466484189,
407,-0.01964432187,407,0.1043486148,
406,-0.01975005306,406,0.1162733063,
405,-0.01993251033,405,0.1299114972,
404,-0.02011607774,404,0.1455646306,
403,-0.02044988982,403,0.1630866826,
402,-0.02036962286,402,0.1836737543,
