water_100um,,20201116_164-Gd_Gd1_2mM_100um_25C_1,,20201116_164-Gd_Gd1_2mM_100um_2,,20201116_164-Gd_Gd2_2mM_100um_1,,20201116_164-Gd_Gd2_2mM_100um_2,,20201116_164-Gd_Gd1_5mM_100um_1,,20201116_164-Gd_Gd1_5mM_100um_2,,20201116_164-Gd_Gd2_5mM_100um_1,,20201116_164-Gd_Gd2_5mM_100um_2,,20201116_164-Gd_Gd1_10mM_100um_1,,20201116_164-Gd_Gd1_10mM_100um_2,,20201116_164-Gd_Gd2_10mM_100um_1,,20201116_164-Gd_Gd2_10mM_100um_2,,water_10um,,20201116_164-Gd_Gd1_20mM_10um_1,,20201116_164-Gd_Gd1_20mM_10um_2,,20201116_164-Gd_Gd2_20mM_10um_1,,20201116_164-Gd_Gd2_20mM_10um_2,,20201116_164-Gd_Gd1_30mM_10um_1,,20201116_164-Gd_Gd1_30mM_10um_2,,20201116_164-Gd_Gd2_30mM_10um_1,,20201116_164-Gd_Gd2_30mM_10um_2,,20201116_164-Gd_Gd1_50mM_10um_1,,20201116_164-Gd_Gd1_50mM_10um_2,,20201116_164-Gd_Gd2_50mM_10um_1,,20201116_164-Gd_Gd2_50mM_10um_2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
600,-0.0001372257248,600,0.0008777477196,600,0.0008415392949,600,-0.001172448159,600,-0.001008071238,600,-0.00227123918,600,-0.002322017215,600,-0.001010188949,600,-0.001023050048,600,-0.0002849627635,600,-0.0002985696483,600,-0.0005329755368,600,-0.0007435329608,600,0.0001681360154,600,0.0001827157103,600,0.001194829936,600,-0.00248445617,600,-0.002388699213,600,-0.000739811745,600,-0.0007397600566,600,-0.002595991828,600,-0.002456297632,600,-0.001853306429,600,-0.001798297511,600,-0.00259774155,600,-0.002793874824,
599,-7.112881576E-5,599,0.0007047215477,599,0.000630884897,599,-0.001125305309,599,-0.001084560994,599,-0.002576692495,599,-0.002553172177,599,-0.001049029292,599,-0.001103048795,599,-0.0003390256024,599,-0.0005017942167,599,-0.0008117496618,599,-0.0006450649817,599,0.0001492064621,599,1.294300318E-6,599,0.001106843702,599,-0.002312850906,599,-0.002271445235,599,-0.0008371215081,599,-0.0008325743256,599,-0.002510657068,599,-0.002587036928,599,-0.001824849052,599,-0.00166257564,599,-0.002642666455,599,-0.002691342961,
598,-2.541927643E-5,598,0.001005149563,598,0.0008879934903,598,-0.001022481942,598,-0.0009725849377,598,-0.002184449928,598,-0.002252080245,598,-0.001108161174,598,-0.001098246081,598,-0.000253246224,598,-0.0002541775757,598,-0.0007568154251,598,-0.0007141758106,598,0.00014659109,598,0.0002341758227,598,0.001028034487,598,-0.002409654204,598,-0.002368876012,598,-0.0008942672284,598,-0.0009237155318,598,-0.002561921719,598,-0.002466130303,598,-0.001356168883,598,-0.001295367372,598,-0.002385610016,598,-0.002575714607,
597,8.890151366E-5,597,0.0009366836166,597,0.0008931813063,597,-0.0009536783909,597,-0.001073044492,597,-0.002438897034,597,-0.002320111729,597,-0.000996552757,597,-0.0009706220008,597,-0.0002511248167,597,-0.0001573581831,597,-0.0008002776303,597,-0.0006191132707,597,4.359415834E-5,597,-6.160816611E-6,597,0.001256456831,597,-0.002407955239,597,-0.002315322636,597,-0.0007839991595,597,-0.0006673967,597,-0.002705234801,597,-0.002375415061,597,-0.00130068406,597,-0.001206369256,597,-0.001900009578,597,-0.002326703398,
596,0.0001352234685,596,0.0009660248179,596,0.001139440574,596,-0.0009349776665,596,-0.0008922522538,596,-0.002233538311,596,-0.002216128865,596,-0.001042573364,596,-0.0008232214022,596,-7.501105574E-5,596,-0.0001803359773,596,-0.0004205468576,596,-0.0005402663955,596,0.0002079399856,596,-0.0001227856701,596,0.001167264185,596,-0.002511738101,596,-0.002279685577,596,-0.0007190343458,596,-0.0006112550618,596,-0.002479617484,596,-0.00252892985,596,-0.001070255763,596,-0.0008568081539,596,-0.001604499295,596,-0.002131234622,
595,3.934685083E-6,595,0.0008991473587,595,0.0006075024139,595,-0.001137543353,595,-0.00107309618,595,-0.002314138226,595,-0.002473800443,595,-0.001093908213,595,-0.0009603939252,595,-0.0002547984768,595,-0.0004857114691,595,-0.0006905025803,595,-0.0006302799447,595,0.0002000928507,595,-1.527245331E-5,595,0.00120931433,595,-0.002160753589,595,-0.002230138751,595,-0.0007872548886,595,-0.000583853689,595,-0.00244934787,595,-0.002384425607,595,-0.0005657574511,595,-0.0007014089497,595,-0.001547498512,595,-0.001776075456,
594,-3.209848273E-6,594,0.0008229175,594,0.0009040499572,594,-0.001089053927,594,-0.0009061500896,594,-0.002289264696,594,-0.002419127617,594,-0.001037925016,594,-0.00105434889,594,-0.0002736837487,594,-0.0003226781264,594,-0.0007213602657,594,-0.000682749087,594,0.0002570201468,594,0.0003542644845,594,0.001154494123,594,-0.002359041246,594,-0.002309503499,594,-0.0005701006157,594,-0.000638706435,594,-0.002430865774,594,-0.002322274726,594,-0.0004988983274,594,-0.0005199448206,594,-0.001611101674,594,-0.001520568854,
593,-0.000126046376,593,0.001047313795,593,0.0007162856054,593,-0.001156803337,593,-0.0009380772826,593,-0.002257539658,593,-0.002272372367,593,-0.001019434538,593,-0.001155873877,593,-0.000358165853,593,-0.0001875292364,593,-0.0005567090702,593,-0.0007057507755,593,0.0001646659657,593,-0.0001887712278,593,0.001100848778,593,-0.002612202428,593,-0.00250499486,593,-0.0008059103275,593,-0.0007067328552,593,-0.002723190701,593,-0.002472513588,593,-0.000739811745,593,-0.0005971409846,593,-0.001713166945,593,-0.001530525857,
592,-0.0001080345901,592,0.0009834592929,592,0.0007155077765,592,-0.001154479687,592,-0.001032708562,592,-0.00245295139,592,-0.002621413907,592,-0.001126751187,592,-0.001077072695,592,-0.0002983109734,592,-0.0005305452505,592,-0.0008275103173,592,-0.000695929979,592,0.0001010964697,592,-8.494943904E-5,592,0.00114766811,592,-0.002544216579,592,-0.002427519299,592,-0.0006911228411,592,-0.0007329377695,592,-0.002424224513,592,-0.002687895671,592,-0.0005617244751,592,-0.0003868229105,592,-0.001648650388,592,-0.00151143712,
591,-0.0001567888976,591,0.000947812805,591,0.0008225284982,591,-0.001139195636,591,-0.0009316714131,591,-0.002263153438,591,-0.002447391627,591,-0.001311110565,591,-0.001017936622,591,-0.0004529235011,591,-0.0003270754532,591,-0.0007728364435,591,-0.0007421891787,591,0.0003750424949,591,0.0001665563614,591,0.001365740318,591,-0.002317382488,591,-0.002178268507,591,-0.0004165642604,591,-0.0003938575683,591,-0.00221113232,591,-0.002182956086,591,-0.0004753168032,591,-0.0001744881447,591,-0.001698572887,591,-0.001286850427,
590,-2.371089977E-5,590,0.0007975797052,590,0.000743174518,590,-0.001072424813,590,-0.0009250587318,590,-0.002448163694,590,-0.002263513859,590,-0.000941383536,590,-0.001167697948,590,-0.0003427502525,590,-0.0001261498837,590,-0.0005326652899,590,-0.0006951029645,590,8.675254503E-5,590,1.501412135E-5,590,0.001052269945,590,-0.002502163872,590,-0.002575045684,590,-0.0006839379785,590,-0.0007034764858,590,-0.002574530896,590,-0.002281539608,590,-0.0007462205249,590,-0.0004055472673,590,-0.002275565406,590,-0.001756224199,
589,4.636424273E-5,589,0.000819805311,589,0.0008356518229,589,-0.001078415429,589,-0.001027905149,589,-0.002484919503,589,-0.002485537203,589,-0.001283237129,589,-0.00117348088,589,-0.0002515387605,589,-0.000237412969,589,-0.0005979164853,589,-0.0007184141432,589,0.0003983346978,589,0.0002573827805,589,0.001429027761,589,-0.002425614512,589,-0.002238173736,589,-0.0005218581064,589,-0.0004219433467,589,-0.002308937022,589,-0.002402085811,589,-0.001021035714,589,-0.0005106369499,589,-0.002246569144,589,-0.001870214939,
