,basline_1mm w,,water_1mm,,Gd1'_500uM_1mm,,Gd1'_100uM_1mm,,Gd1'_20uM_1cm,,Gd1'_5uM_1cm,,Gd1'_2uM_1cm_1,,water_100um,,Gd2'_20uM-1cm,,Gd2'_2uM-1cm1,,Gd2'_100uM-1mm,,Gd2'_500uM-1mm,,Cell1 Blank,,water_100um,,Gd2'_200uM-1mm,,Gd2'_20uM-1cm,,Gd2'_2uM-1cm,,Gd2'_2uM-1cm1,,Gd2'_1mM-1mm,,Gd2'_100uM-1mm,,Gd2'_10uM-1cm,,Gd2'_500uM-1mm,,Gd2'_50uM-1cm,,Gd2'_5uM-1cm,
Wavelength [nm],Absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,
250.000,-0.0087457,0.000,-0.5729,-0.006,-0.10976,-0.003,-0.2733,-0.002,-0.051511,0.001,-0.012274,0.000,-0.0081075,0.000,-0.099954,0.001,-0.00028839,0.001,-0.54141,-0.001,-0.032952,-0.002,-0.24388,250.000,0.0068349,250.000,0.00099647,250.000,0.098796,250.000,0.16126,250.000,0.0010382,250.000,0.0012957,250.000,0.53543,250.000,0.044375,250.000,0.034093,250.000,0.26166,250.000,0.24121,250.000,0.0083133,
251.000,-0.0084222,0.000,-0.5729,-0.005,-0.10876,-0.002,-0.27314,-0.001,-0.051414,0.001,-0.012203,0.000,-0.0080501,0.000,-0.09981,0.001,-0.00079752,0.001,-0.5414,-0.001,-0.032905,-0.002,-0.24385,251.000,0.0068947,251.000,0.00085559,251.000,0.08847,251.000,0.14433,251.000,5.5474E-5,251.000,0.0003703,251.000,0.47845,251.000,0.038659,251.000,0.028947,251.000,0.23216,251.000,0.21391,251.000,0.005676,
252.000,-0.0081096,0.000,-0.5729,-0.004,-0.10778,-0.002,-0.27316,-0.001,-0.051433,0.001,-0.012131,0.000,-0.0079926,0.000,-0.099808,0.002,-0.00083997,0.001,-0.5414,-0.001,-0.033041,-0.001,-0.24251,252.000,0.0073168,252.000,0.00072964,252.000,0.079308,252.000,0.12977,252.000,-0.0012093,252.000,-0.00083722,252.000,0.43095,252.000,0.034062,252.000,0.024691,252.000,0.20886,252.000,0.19172,252.000,0.0029049,
253.000,-0.0081247,0.000,-0.5729,-0.003,-0.10739,-0.002,-0.2731,-0.001,-0.051326,0.001,-0.012219,0.000,-0.0077824,0.000,-0.099807,0.002,-0.00080521,0.001,-0.5414,-0.001,-0.033173,0.000,-0.24135,253.000,0.0073124,253.000,0.00091239,253.000,0.072758,253.000,0.1185,253.000,-0.0012988,253.000,-0.0016277,253.000,0.39331,253.000,0.030902,253.000,0.021469,253.000,0.18947,253.000,0.17495,253.000,0.0015763,
254.000,-0.0077103,0.000,-0.5729,-0.003,-0.10665,-0.002,-0.27304,-0.001,-0.051231,0.001,-0.012198,0.000,-0.008571,0.000,-0.099927,0.003,-0.000677,0.001,-0.54083,0.000,-0.033102,0.001,-0.24044,254.000,0.0075521,254.000,0.00056414,254.000,0.06714,254.000,0.10909,254.000,-0.0020745,254.000,-0.0017109,254.000,0.36326,254.000,0.028109,254.000,0.019198,254.000,0.17428,254.000,0.16241,254.000,4.5954E-5,
255.000,-0.0074027,0.000,-0.5729,-0.002,-0.1062,-0.002,-0.27285,0.000,-0.051256,0.001,-0.012176,0.000,-0.0085643,0.000,-0.099918,0.003,-0.00067331,0.001,-0.54082,0.000,-0.033718,0.001,-0.23958,255.000,0.0077022,255.000,0.00076469,255.000,0.062793,255.000,0.10219,255.000,-0.0023286,255.000,-0.0023516,255.000,0.33949,255.000,0.025895,255.000,0.017436,255.000,0.16287,255.000,0.15281,255.000,-0.0005278,
256.000,-0.0070186,0.000,-0.5729,-0.001,-0.1057,-0.002,-0.27192,0.000,-0.051163,0.001,-0.012225,0.000,-0.0085576,0.000,-0.099909,0.004,-0.00059076,0.001,-0.54082,0.000,-0.033581,0.002,-0.24188,256.000,0.0083839,256.000,0.00052369,256.000,0.058856,256.000,0.095749,256.000,-0.003654,256.000,-0.0032692,256.000,0.31903,256.000,0.023846,256.000,0.014849,256.000,0.15307,256.000,0.14478,256.000,-0.0021303,
257.000,-0.006918,0.000,-0.5729,0.000,-0.10536,-0.001,-0.27175,0.000,-0.051009,0.001,-0.012271,0.000,-0.007727,0.000,-0.099885,0.004,-0.00056172,0.001,-0.54081,0.000,-0.033749,0.003,-0.24195,257.000,0.008436,257.000,0.00074228,257.000,0.055964,257.000,0.090747,257.000,-0.0035786,257.000,-0.0034617,257.000,0.30358,257.000,0.022427,257.000,0.014443,257.000,0.14575,257.000,0.13815,257.000,-0.0022614,
258.000,-0.0063091,0.000,-0.5729,0.001,-0.10465,-0.001,-0.2693,0.000,-0.05105,0.001,-0.012197,0.000,-0.0077483,0.000,-0.099882,0.005,-0.00053269,0.001,-0.54081,0.000,-0.033499,0.004,-0.24151,258.000,0.008758,258.000,0.00018042,258.000,0.053294,258.000,0.087013,258.000,-0.0043483,258.000,-0.0039248,258.000,0.29019,258.000,0.021325,258.000,0.01361,258.000,0.13886,258.000,0.13278,258.000,-0.0026783,
259.000,-0.0058456,0.000,-0.5729,0.001,-0.10249,-0.001,-0.26895,0.001,-0.050964,0.001,-0.012221,0.000,-0.0077432,0.000,-0.09988,0.005,-0.00067845,0.001,-0.5408,0.000,-0.033583,0.004,-0.2412,259.000,0.009112,259.000,0.00044336,259.000,0.051943,259.000,0.08342,259.000,-0.0043895,259.000,-0.0042365,259.000,0.27985,259.000,0.020172,259.000,0.012921,259.000,0.13381,259.000,0.12828,259.000,-0.0029266,
260.000,-0.0057658,0.000,-0.5729,0.002,-0.10222,-0.001,-0.26752,0.001,-0.049344,0.001,-0.012202,0.000,-0.0077382,0.000,-0.099877,0.006,-0.00087155,0.001,-0.5408,0.000,-0.033458,0.005,-0.24098,260.000,0.0093011,260.000,0.00087448,260.000,0.049954,260.000,0.080857,260.000,-0.0047077,260.000,-0.0045977,260.000,0.27139,260.000,0.020012,260.000,0.012018,260.000,0.13004,260.000,0.12596,260.000,-0.0029722,
