,basline_1cm w,,water,,Gd0'_2uM_1cm1,,Gd0'_20uM_1cm,,basline_1mm,,Gd0'_500uM_1mm,,Gd0''_1mM_1mm,,basline_1cm,,water,,Gd0'_2uM_1cm,,Gd0'_2uM_1cm1,,Gd0'_5uM_1cm,,Gd0'_20uM_1cm,,Gd0'_50uM_1cm,,basline_1mm,,water_1mm,,Gd0'_500uM_1mm,,Gd0'_200uM_1mm,,Gd0''_1mM_1mm,,Gd0''_100uM_1mm,,Gd0''_10uM_1cm,
Wavelength [nm],Absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,Wavelength [nm],absorbance,
250.000,-0.012136,0.000,-0.017379,-0.001,-0.039682,-0.003,-0.2728,-0.009,0.00020109,-0.006,-0.11639,-0.011,-0.061504,250.000,-0.012136,250.000,9.557E-5,250.000,0.016176,250.000,0.016239,250.000,0.037283,250.000,0.10797,250.000,0.26605,250.000,-0.0087457,250.000,3.0548E-5,250.000,0.28797,250.000,0.114,250.000,0.5857,250.000,0.059817,250.000,0.056562,
251.000,-0.012265,0.000,-0.017328,-0.001,-0.039673,-0.002,-0.27245,-0.009,0.00018846,-0.005,-0.11495,-0.009,-0.060784,251.000,-0.012265,251.000,0.00021054,251.000,0.015222,251.000,0.015684,251.000,0.035203,251.000,0.09733,251.000,0.23976,251.000,-0.0084222,251.000,-0.00012592,251.000,0.26013,251.000,0.10261,251.000,0.52784,251.000,0.053673,251.000,0.050498,
252.000,-0.011813,0.000,-0.017328,-0.001,-0.039624,-0.002,-0.27168,-0.009,0.00017583,-0.004,-0.11518,-0.007,-0.060876,252.000,-0.011813,252.000,-0.00014804,252.000,0.014041,252.000,0.014136,252.000,0.03261,252.000,0.088755,252.000,0.2188,252.000,-0.0081096,252.000,-0.00032138,252.000,0.23678,252.000,0.0932,252.000,0.47934,252.000,0.048667,252.000,0.045951,
253.000,-0.011737,0.000,-0.017328,-0.001,-0.039619,-0.002,-0.27096,-0.009,0.0001632,-0.003,-0.11534,-0.005,-0.060587,253.000,-0.011737,253.000,0.00019989,253.000,0.013498,253.000,0.013554,253.000,0.030783,253.000,0.082054,253.000,0.20222,253.000,-0.0081247,253.000,0.000215,253.000,0.21882,253.000,0.086181,253.000,0.44023,253.000,0.045383,253.000,0.042618,
254.000,-0.011488,0.000,-0.017328,-0.001,-0.039614,-0.001,-0.27,-0.009,0.00015057,-0.002,-0.11523,-0.004,-0.060667,254.000,-0.011488,254.000,0.000319,254.000,0.012717,254.000,0.013143,254.000,0.029786,254.000,0.077338,254.000,0.18939,254.000,-0.0077103,254.000,-4.2531E-5,254.000,0.20359,254.000,0.079775,254.000,0.40847,254.000,0.0422,254.000,0.039554,
255.000,-0.01113,0.000,-0.017328,-0.001,-0.039602,-0.001,-0.26898,-0.009,0.00013794,-0.001,-0.1149,-0.002,-0.060347,255.000,-0.01113,255.000,0.00017925,255.000,0.012306,255.000,0.012243,255.000,0.028562,255.000,0.07292,255.000,0.17911,255.000,-0.0074027,255.000,-9.3107E-5,255.000,0.19214,255.000,0.0755,255.000,0.38286,255.000,0.040138,255.000,0.03722,
256.000,-0.010962,0.000,-0.017328,-0.001,-0.03959,-0.001,-0.26794,-0.009,0.00012531,-0.001,-0.11457,0.000,-0.059985,256.000,-0.010962,256.000,9.7865E-6,256.000,0.012229,256.000,0.012353,256.000,0.027697,256.000,0.069694,256.000,0.17082,256.000,-0.0070186,256.000,0.00016131,256.000,0.18235,256.000,0.071554,256.000,0.36252,256.000,0.037652,256.000,0.035592,
257.000,-0.01066,0.000,-0.01737,-0.001,-0.039578,0.000,-0.26719,-0.009,0.00011268,0.000,-0.11423,0.001,-0.059989,257.000,-0.01066,257.000,-0.00023308,257.000,0.011646,257.000,0.011566,257.000,0.026802,257.000,0.06756,257.000,0.16429,257.000,-0.006918,257.000,-6.2151E-5,257.000,0.17471,257.000,0.068652,257.000,0.34489,257.000,0.036125,257.000,0.034184,
258.000,-0.0099747,0.000,-0.01737,-0.001,-0.039122,0.000,-0.26675,-0.009,0.00010005,0.001,-0.11408,0.003,-0.059432,258.000,-0.0099747,258.000,1.8175E-5,258.000,0.011032,258.000,0.010601,258.000,0.025872,258.000,0.064716,258.000,0.15842,258.000,-0.0063091,258.000,-0.00011542,258.000,0.16745,258.000,0.06631,258.000,0.33031,258.000,0.034823,258.000,0.032842,
259.000,-0.0099635,0.000,-0.017369,-0.001,-0.039023,0.000,-0.26556,-0.009,8.7418E-5,0.002,-0.11362,0.005,-0.059638,259.000,-0.0099635,259.000,-0.00030066,259.000,0.011213,259.000,0.011007,259.000,0.025694,259.000,0.062783,259.000,0.15353,259.000,-0.0058456,259.000,-0.00011309,259.000,0.1619,259.000,0.063828,259.000,0.31804,259.000,0.032972,259.000,0.031275,
260.000,-0.0094571,0.000,-0.017368,-0.001,-0.039047,0.001,-0.26441,-0.008,7.4788E-5,0.003,-0.1134,0.006,-0.059439,260.000,-0.0094571,260.000,0.00018471,260.000,0.010429,260.000,0.010561,260.000,0.025363,260.000,0.061537,260.000,0.14989,260.000,-0.0057658,260.000,-2.9588E-5,260.000,0.15761,260.000,0.062593,260.000,0.30851,260.000,0.032888,260.000,0.031074,
261.000,-0.0088756,0.000,-0.017367,-0.001,-0.039032,0.001,-0.26463,-0.008,6.2158E-5,0.004,-0.11307,0.008,-0.059328,261.000,-0.0088756,261.000,4.575E-5,261.000,0.01069,261.000,0.010577,261.000,0.024371,261.000,0.059898,261.000,0.147,261.000,-0.0050113,261.000,-0.00019833,261.000,0.1535,261.000,0.061183,261.000,0.29997,261.000,0.031301,261.000,0.030231,
262.000,-0.0087815,0.000,-0.017447,-0.001,-0.039016,0.001,-0.26319,-0.008,4.9528E-5,0.005,-0.11284,0.010,-0.059328,262.000,-0.0087815,262.000,-0.00020249,262.000,0.010346,262.000,0.010257,262.000,0.024261,262.000,0.059137,262.000,0.14453,262.000,-0.0049825,262.000,-1.8846E-5,262.000,0.15051,262.000,0.060219,262.000,0.29363,262.000,0.03085,262.000,0.030099,
263.000,-0.0088812,0.000,-0.017447,-0.001,-0.039001,0.002,-0.26165,-0.008,3.4638E-5,0.005,-0.1124,0.012,-0.059186,263.000,-0.0088812,263.000,3.6118E-5,263.000,0.010148,263.000,0.010202,263.000,0.024729,263.000,0.058728,263.000,0.14314,263.000,-0.0044595,263.000,-0.00010009,263.000,0.14782,263.000,0.058671,263.000,0.2879,263.000,0.030371,263.000,0.028589,
264.000,-0.0081748,0.000,-0.017447,-0.001,-0.038658,0.002,-0.26125,-0.008,1.831E-5,0.006,-0.11225,0.013,-0.059165,264.000,-0.0081748,264.000,2.7625E-5,264.000,0.0097868,264.000,0.0098912,264.000,0.023863,264.000,0.057933,264.000,0.14147,264.000,-0.0044407,264.000,-0.00015693,264.000,0.1466,264.000,0.058677,264.000,0.2848,264.000,0.030448,264.000,0.029135,
265.000,-0.00766,0.000,-0.017359,0.000,-0.03859,0.002,-0.26085,-0.008,1.9828E-6,0.007,-0.11188,0.015,-0.059079,265.000,-0.00766,265.000,8.749E-5,265.000,0.010043,265.000,0.0098733,265.000,0.023609,265.000,0.058324,265.000,0.14081,265.000,-0.0035005,265.000,-0.00035004,265.000,0.14473,265.000,0.057945,265.000,0.28261,265.000,0.029496,265.000,0.028348,
266.000,-0.0070729,0.000,-0.01736,0.000,-0.038523,0.002,-0.26031,-0.008,-1.4345E-5,0.008,-0.11198,0.017,-0.059055,266.000,-0.0070729,266.000,0.00026659,266.000,0.0098706,266.000,0.0097771,266.000,0.023832,266.000,0.05813,266.000,0.14147,266.000,-0.002925,266.000,-9.3107E-5,266.000,0.14471,266.000,0.057868,266.000,0.28086,266.000,0.029864,266.000,0.02857,
267.000,-0.0064126,0.000,-0.01736,0.000,-0.038455,0.003,-0.2596,-0.008,-3.0672E-5,0.009,-0.11162,0.018,-0.058983,267.000,-0.0064126,267.000,0.00027343,267.000,0.010003,267.000,0.010108,267.000,0.024129,267.000,0.058366,267.000,0.14265,267.000,-0.0022235,267.000,0.00032586,267.000,0.14562,267.000,0.058194,267.000,0.2815,267.000,0.030327,267.000,0.028819,
268.000,-0.0051939,0.000,-0.017361,0.000,-0.038072,0.003,-0.25852,-0.008,-4.7E-5,0.010,-0.11114,0.020,-0.058642,268.000,-0.0051939,268.000,-0.00060599,268.000,0.0096205,268.000,0.0092767,268.000,0.02361,268.000,0.058515,268.000,0.1434,268.000,-0.001098,268.000,-0.00028123,268.000,0.14605,268.000,0.058337,268.000,0.28328,268.000,0.029468,268.000,0.028857,
269.000,-0.0045535,0.000,-0.017335,0.000,-0.038002,0.003,-0.25732,-0.008,-6.3327E-5,0.010,-0.11087,0.022,-0.058648,269.000,-0.0045535,269.000,0.00014778,269.000,0.0095868,269.000,0.0093748,269.000,0.023287,269.000,0.059528,269.000,0.14478,269.000,-0.00080686,269.000,0.00030213,269.000,0.14734,269.000,0.059451,269.000,0.28604,269.000,0.030451,269.000,0.029687,
270.000,-0.004177,0.000,-0.017336,0.000,-0.037932,0.004,-0.2565,-0.008,-7.9655E-5,0.011,-0.11061,0.024,-0.058652,270.000,-0.004177,270.000,2.7651E-5,270.000,0.0097537,270.000,0.0099228,270.000,0.024035,270.000,0.060772,270.000,0.14705,270.000,0.0002751,270.000,-8.0269E-5,270.000,0.14873,270.000,0.059446,270.000,0.28873,270.000,0.03052,270.000,0.029723,
271.000,-0.0031078,0.000,-0.017135,0.000,-0.037584,0.004,-0.25567,-0.008,-9.5982E-5,0.012,-0.11045,0.025,-0.058477,271.000,-0.0031078,271.000,0.00018839,271.000,0.0096917,271.000,0.0094891,271.000,0.02384,271.000,0.061391,271.000,0.14935,271.000,0.00079577,271.000,1.1313E-5,271.000,0.15092,271.000,0.060836,271.000,0.29293,271.000,0.031429,271.000,0.029962,
272.000,-0.0027536,0.000,-0.017135,0.000,-0.037541,0.004,-0.25484,-0.008,-0.00011231,0.013,-0.11031,0.027,-0.058302,272.000,-0.0027536,272.000,0.00010189,272.000,0.0098196,272.000,0.0098168,272.000,0.023843,272.000,0.062444,272.000,0.15198,272.000,0.002032,272.000,-0.00070323,272.000,0.15274,272.000,0.061144,272.000,0.29742,272.000,0.031517,272.000,0.030394,
273.000,-0.0017515,0.000,-0.017135,0.000,-0.037343,0.005,-0.25401,-0.008,-0.00012864,0.014,-0.11004,0.029,-0.058202,273.000,-0.0017515,273.000,0.0002238,273.000,0.009542,273.000,0.0095309,273.000,0.024133,273.000,0.06349,273.000,0.15445,273.000,0.0022412,273.000,0.00038942,273.000,0.1554,273.000,0.062778,273.000,0.30234,273.000,0.032165,273.000,0.031035,
274.000,-0.0013479,0.000,-0.017135,0.000,-0.0374,0.005,-0.25321,-0.008,0.000382,0.015,-0.10977,0.030,-0.058116,274.000,-0.0013479,274.000,0.00024558,274.000,0.0098725,274.000,0.0098512,274.000,0.024741,274.000,0.06448,274.000,0.15779,274.000,0.0026649,274.000,0.00040491,274.000,0.15833,274.000,0.063655,274.000,0.30687,274.000,0.033106,274.000,0.032015,
275.000,-3.5064E-5,0.000,-0.017134,0.000,-0.037401,0.005,-0.25245,-0.008,0.00036577,0.015,-0.1095,0.032,-0.05805,275.000,-3.5064E-5,275.000,-2.3714E-5,275.000,0.009719,275.000,0.009065,275.000,0.023876,275.000,0.064933,275.000,0.15959,275.000,0.0042492,275.000,-0.00052801,275.000,0.15937,275.000,0.063798,275.000,0.31071,275.000,0.03259,275.000,0.031803,
276.000,0.00018894,0.000,-0.017287,0.000,-0.037316,0.006,-0.25169,-0.008,0.00034954,0.016,-0.10922,0.034,-0.05801,276.000,0.00018894,276.000,-5.6773E-5,276.000,0.0096228,276.000,0.01003,276.000,0.024409,276.000,0.066683,276.000,0.16207,276.000,0.0040001,276.000,0.00047654,276.000,0.16304,276.000,0.065275,276.000,0.31738,276.000,0.034021,276.000,0.033051,
277.000,0.00069727,0.000,-0.017287,0.000,-0.037131,0.006,-0.25093,-0.008,0.00033331,0.017,-0.10894,0.035,-0.057969,277.000,0.00069727,277.000,0.00030535,277.000,0.010197,277.000,0.010617,277.000,0.025032,277.000,0.06813,277.000,0.16511,277.000,0.0052337,277.000,-1.1753E-5,277.000,0.16502,277.000,0.065889,277.000,0.3226,277.000,0.034097,277.000,0.03321,
