Cell1 Blank,,water 1cm,,Tb1'_2uM_1cm,,Tb1'_2uM_1cm1,,Tb1'_5uM_1cm,,Tb1'_10uM_1cm,,Tb1'_20uM_1cm,,Tb1'_50uM_1cm,,Cell1 Blank,,water_1cm,,Tb1'_100uM_1mm,,Tb1'_200uM_1mm,,Tb1'_500uM_1mm,,Tb1'_1mM_1mm,,Cell1 Blank,,water 100 um,,Tb1'_2mM_100um,,Tb1'_5mM_100um,,Tb1'_10mM_100um,,Tb1'_20mM_10um,,Tb1'_30mM_10um,,Tb1'_50mM_10um,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
600,4.664902008E-5,600,-7.77027235E-5,600,0.0005360408104,600,0.0006678535137,600,-0.0004497687041,600,0.0002246706572,600,0.000319058192,600,0.0007385070785,600,0.008046258241,600,0.0002184030454,600,0.001961505739,600,-0.001378051238,600,-0.001782520441,600,-0.001121897134,600,-0.0008158319979,600,1.535064985E-5,600,0.001267126994,600,0.00188077346,600,0.002396860393,600,-0.001764164772,600,-0.002677193377,600,6.272623432E-5,
599,0.000738740433,599,-0.0003083994379,599,0.0005065990263,599,0.0006674127653,599,-0.0006543183117,599,0.0001281803416,599,0.000222805902,599,0.0005918975221,599,0.008814305067,599,-3.763656787E-5,599,0.001881137374,599,-0.00148120313,599,-0.001954541774,599,-0.001131656696,599,-0.0003305415448,599,0.0002920142142,599,0.001392773353,599,0.001907214522,599,0.002571812132,599,-0.001691714046,599,-0.002587242983,599,-8.427653665E-5,
598,0.0006315848441,598,-0.0003277479846,598,0.0005765783135,598,0.0006295109633,598,-0.0003586831444,598,0.0001577000658,598,0.000159538642,598,0.0007136408822,598,0.008645377122,598,0.0003400935384,598,0.001879473566,598,-0.001187214744,598,-0.001792007359,598,-0.000995467999,598,-0.0001824059873,598,-7.869262845E-6,598,0.001217465266,598,0.00186158705,598,0.002413701732,598,-0.001724975882,598,-0.002765376121,598,-0.0005463160924,
597,0.0004069108982,597,-0.0001436433668,597,0.0005328269908,597,0.0007969572907,597,-0.0005420244415,597,0.0003218559432,597,0.0003542644845,597,0.0006982914638,597,0.008509325795,597,0.0002288404648,597,0.001931239036,597,-0.001260937075,597,-0.001721159904,597,-0.0008754089358,597,-0.0002106606844,597,-0.0001739706349,597,0.0012059398,597,0.001648384728,597,0.002225153614,597,-0.002069098875,597,-0.002921015723,597,-0.0007061642827,
596,0.0004632952332,596,-0.0002245803626,596,0.0003947591758,596,0.0006109241513,596,-0.0006197336479,596,0.0001250990172,596,0.0001647177705,596,0.0004466071841,596,0.008568434976,596,0.0003320108808,596,0.002065738896,596,-0.001283546793,596,-0.001728998031,596,-0.0009478409775,596,-0.0004102540843,596,0.0002234015847,596,0.001330218278,596,0.001851552282,596,0.002409667009,596,-0.001807990368,596,-0.002530731261,596,-0.0007227557362,
595,0.0002892943739,595,-0.0003633904562,595,0.000475422974,595,0.0006670238799,595,-0.0005338029005,595,0.0002654381678,595,9.705733828E-5,595,0.0007489569834,595,0.008599326015,595,0.0001596163202,595,0.00184630102,595,-0.001439769869,595,-0.001810207264,595,-0.001062818803,595,-0.0005858700606,595,0.0001333073014,595,0.001448013238,595,0.002099760342,595,0.002610821277,595,-0.001625492238,595,-0.002534797415,595,-0.0008440971724,
594,-2.956076969E-5,594,4.431904017E-5,594,0.0006871945807,594,0.0007530281437,594,-0.0001621711999,594,0.0005007938016,594,0.0004364236665,594,0.0008046855219,594,0.008529362269,594,0.0002831553575,594,0.00174308219,594,-0.001344143413,594,-0.001776487916,594,-0.0009522319888,594,-0.0005471434561,594,-3.634237873E-5,594,0.001419937937,594,0.001906356541,594,0.002443481237,594,-0.001713012229,594,-0.002649304457,594,-0.0008546379977,
593,7.367771468E-5,593,-0.0002504004224,593,0.0005524989683,593,0.0007068476989,593,-0.000558570493,593,0.0002127830085,593,0.0001329447987,593,0.0005083613214,593,0.008443018422,593,0.0002375946206,593,0.0019176926,593,-0.00147047115,593,-0.001748283394,593,-0.001025425969,593,-0.0005012770998,593,-2.164012949E-5,593,0.001150445198,593,0.001599692623,593,0.002421328565,593,-0.001913050422,593,-0.002788730897,593,-0.0009626668761,
592,7.377563634E-6,592,-0.0002941720304,592,0.0004633470671,592,0.0005733642029,592,-0.0004768682702,592,0.0001760084706,592,0.00010311605,592,0.0007655270165,592,0.008402346633,592,0.0002107629116,592,0.002094428055,592,-0.001409530872,592,-0.001857842901,592,-0.001020467607,592,-0.0006621240173,592,1.514355517E-5,592,0.001280705095,592,0.001832081354,592,0.002438405063,592,-0.00171131047,592,-0.002690210938,592,-0.0007482361398,
591,-0.0002352914744,591,-0.0001914104359,591,0.0005515658995,591,0.0007279018173,591,-0.0004618189123,591,0.0002940605918,591,0.0002868594602,591,0.0008679172024,591,0.008199811913,591,0.000314473029,591,0.001915976522,591,-0.001277765376,591,-0.001761174179,591,-0.0008809890132,591,-0.0006912262179,591,-0.0001398134918,591,0.001206900226,591,0.00181716017,591,0.002401389647,591,-0.001931554521,591,-0.002793771913,591,-0.0005439892993,
