Lu_2uM_1cm,,Lu_2uM_1cm1,,Lu_5uM_1cm,,Lu_10uM_1cm,,Lu_20uM_1cm,,Lu_50uM_1cm,,Lu_100uM_1mm,,Lu_200uM_1mm,,Lu_500uM_1mm,,Lu_1mM_1mm,,Cell1 Blank,,Lu_2mM_100um,,Lu_5mM_100um,,Lu_10mM_100um,,Lu_20mM_100um,,Lu_30mM_100um,,Lu_50mM_10um,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
600,0.001930198981,600,0.001974923536,600,0.00271536666,600,0.001852748101,600,0.001776792575,600,0.0004846226366,600,-0.000831747544,600,-0.00275627058,600,0.001300748554,600,0.0002920919214,600,0.0004196848313,600,-0.000107258209,600,-0.0001909446873,600,-0.001400758047,600,-0.002010149183,600,-0.002993261907,600,-0.001703523565,
599,0.001753530349,599,0.002024203772,599,0.002706197789,599,0.001661533024,599,0.001752308803,599,0.0004362681939,599,-0.0007959367358,599,-0.00274793664,599,0.001232495531,599,0.0002135340619,599,0.001269411645,599,-0.0003708910663,599,-0.0002509178594,599,-0.00148006808,599,-0.002202633303,599,-0.003250164678,599,-0.001930936007,
598,0.001660259673,598,0.00180764636,598,0.002667961409,598,0.001428482356,598,0.001718314365,598,0.0002751773573,598,-0.0008262702031,598,-0.002849992365,598,0.001195400953,598,-6.9161797E-5,598,0.001210170914,598,-0.0003213330347,598,-0.0001961195812,598,-0.001582009369,598,-0.002192794811,598,-0.003215683391,598,-0.00214668992,
597,0.001694691367,597,0.001789398957,597,0.002546684584,597,0.001436481602,597,0.001679800916,597,0.0003088517406,597,-0.0006998066092,597,-0.002863467671,597,0.001257495373,597,0.0003442644665,597,0.000991372508,597,-5.21312104E-5,597,-0.0001716418192,597,-0.00138161215,597,-0.002029937459,597,-0.00299876323,597,-0.002014787169,
596,0.001828026026,596,0.002008339856,596,0.002635353711,596,0.001710933633,596,0.001666548196,596,0.000423260557,596,-0.0006940691383,596,-0.002746907761,596,0.001403862261,596,0.000411756133,596,0.001042150077,596,-0.0001549257722,596,-0.0002511765633,596,-0.001451121876,596,-0.002108926419,596,-0.003277398413,596,-0.002507980447,
595,0.001765746158,595,0.001822541119,595,0.002743030898,595,0.00154760282,595,0.001780067687,595,0.0003993192804,595,-0.0007324725739,595,-0.002906513866,595,0.001048144186,595,0.0001094596664,595,0.001094153267,595,-0.0005402146489,595,-0.0002792198211,595,-0.001631475287,595,-0.002248217352,595,-0.003323280718,595,-0.003050792962,
594,0.001641602837,594,0.001807204448,594,0.002563245129,594,0.001431702753,594,0.001467492897,594,0.0002598952269,594,-0.0006654323661,594,-0.002822783077,594,0.001325284829,594,0.0003836441319,594,0.0008497351664,594,-0.0002691824047,594,-0.000204968499,594,-0.001529287663,594,-0.00212237332,594,-0.003115050029,594,-0.003165883478,
593,0.001990292221,593,0.001954406966,593,0.002700649668,593,0.001565190614,593,0.00170165603,593,0.000540317269,593,-0.0006765978178,593,-0.002777259564,593,0.001367947552,593,0.0003994488216,593,0.0007461824571,593,-0.0002252530394,593,-0.000203623058,593,-0.001387856551,593,-0.002095067175,593,-0.003254326992,593,-0.003399826121,
592,0.001728657982,592,0.002080642385,592,0.002553376369,592,0.00158459763,592,0.001713688369,592,0.0004461148637,592,-0.000682749087,592,-0.002778442577,592,0.001310381107,592,0.0003274255723,592,0.0007958940114,592,-0.000542955182,592,-0.0002329629933,592,-0.001566276071,592,-0.002063894644,592,-0.003364020959,592,-0.003717679065,
