Cell1 Blank,,Y_2uM_1cm,,Y_2uM_1cm_1,,Y_5uM_1cm,,Y_10uM_1cm,,Y_20uM_1cm,,Y_50uM_1cm,,Cell1 Blank,,Y_100uM_1mm,,Y_200uM_1mm1,,Cell1 Blank,,Y_500uM_1mm,,Y_1mM_1mm,,Cell1 Blank,,Y_2mM_100um,,Y_5mM_100um,,Y_10mM_100um,,Y_20mM_10um,,Y_30mM_10um,,Y_50mM_10um,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
600,-0.004878457636,600,-0.001192429452,600,-0.001138885855,600,-0.003079786897,600,-0.001460564439,600,0.001759144361,600,-0.000493985659,600,-0.0002381373779,600,-0.0001411073754,600,-0.0009887013584,600,-0.001607542625,600,0.001863328856,600,-0.0004338391591,600,-0.008120398968,600,0.0002934389049,600,0.00153248373,600,-0.0004920205101,600,-0.000493985659,600,-0.001162689528,600,-0.0002566094336,
599,-0.004380262457,599,-0.001072218176,599,-0.001173274242,599,-0.003085081698,599,-0.001392346341,599,0.001763224951,599,-0.0004586641735,599,0.0002278562897,599,-3.19938772E-5,599,-0.0008317992324,599,-0.0009553314885,599,0.001927806879,599,-0.0006431522779,599,-0.007650379557,599,0.000420669443,599,0.001727384515,599,-0.0003569760593,599,-0.0003299724776,599,-0.0010712886,599,-0.0003738395171,
598,-0.004401634447,598,-0.001307032886,598,-0.001281843404,598,-0.003087497782,598,-0.001502253697,598,0.001599952462,598,-0.0007210501353,598,0.0002822228416,598,-0.00018525224,598,-0.000929294969,598,-0.0009941250319,598,0.001803123392,598,-0.0005642580218,598,-0.007795125712,598,0.0005949562765,598,0.001719119959,598,-0.0002958793484,598,-0.0001460758358,598,-0.001190415816,598,-0.0001489740825,
597,-0.00466969097,597,-0.001071236911,597,-0.001050836989,597,-0.002999945777,597,-0.001473721699,597,0.00190643454,597,-0.0003645802208,597,0.0002559064014,597,-0.000304053654,597,-0.00109840103,597,-0.001171054086,597,0.00189343479,597,-0.0004637324309,597,-0.007653482724,597,0.0003642129304,597,0.001458843821,597,-0.000569118245,597,-0.0004875731538,597,-0.00145488861,597,-0.0003698047658,
596,-0.004770067055,596,-0.001206679037,596,-0.001130417455,596,-0.003036192385,596,-0.001511488808,596,0.001739521511,596,-0.0004358045117,596,0.000119169461,596,-0.0001749539078,596,-0.0008843473624,596,-0.001308323233,596,0.002018248197,596,-0.0003564070503,596,-0.007903323509,596,0.0004027652903,596,0.001780899358,596,-0.0002307379909,596,-0.0002417076757,596,-0.00110103481,596,-0.0003034845868,
595,-0.00485552242,595,-0.001166045666,595,-0.001153292134,595,-0.00290980516,595,-0.001263827784,595,0.001777546364,595,-0.000464870187,595,0.0001264454768,595,-0.0003089167876,595,-0.0008716371958,595,-0.00127843651,595,0.002041160595,595,-0.0005543823354,595,-0.00809809193,595,0.0005564905005,595,0.001798366546,595,-0.0002331182186,595,-0.0002182673925,595,-0.001127215917,595,-0.0002061586856,
594,-0.00502965739,594,-0.001096490305,594,-0.001062044175,594,-0.002934900345,594,-0.001349769067,594,0.001778871985,594,-0.0003960817412,594,5.514061195E-5,594,-0.000340008497,594,-0.001075420179,594,-0.001266047591,594,0.001773101743,594,-0.0004350287199,594,-0.007906068116,594,0.0002458309464,594,0.001511806156,594,-0.0004812640254,594,-0.0005093441578,594,-0.001304606907,594,-0.0004496652691,
593,-0.005060975906,593,-0.001193513628,593,-0.001299600117,593,-0.003248109249,593,-0.001398745459,593,0.001799146412,593,-0.0003423881426,593,-3.152796489E-5,593,-0.0001662078867,593,-0.001026252401,593,-0.00131142023,593,0.001959945541,593,-0.000480798597,593,-0.008095245808,593,0.0003289021843,593,0.001558202202,593,-0.000459336472,593,-0.000371822156,593,-0.001166716916,593,-0.000426339655,
592,-0.005052378867,592,-0.001352814143,592,-0.00131776894,592,-0.003185721813,592,-0.001592222834,592,0.001650177641,592,-0.0005993124214,592,-0.0002362228697,592,-0.0001194214346,592,-0.0008303006762,592,-0.001414278406,592,0.001983426977,592,-0.0004013059079,592,-0.008324263617,592,0.0003384873562,592,0.001879499527,592,-0.0001683814626,592,-9.773441707E-5,592,-0.001074077445,592,-0.0004317703424,
591,-0.005241882522,591,-0.001231511589,591,-0.001288347412,591,-0.003146249801,591,-0.00152221974,591,0.001763224951,591,-0.0004420108744,591,-0.0001420389599,591,-0.0002375681943,591,-0.001068189973,591,-0.001566895051,591,0.001954848878,591,-0.0003061748284,591,-0.008372713812,591,0.0005173284444,591,0.001624401775,591,-0.0003150732373,591,-0.0002676302101,591,-0.001137439976,591,-0.0004272706283,
590,-0.005502060056,590,-0.001102325739,590,-0.001167439856,590,-0.003044932149,590,-0.001457055681,590,0.001926480909,590,1.553158313E-7,590,-0.000261110923,590,-0.0001907377009,590,-0.001070720493,590,-0.001594698755,590,0.001896450645,590,-0.0003971162369,590,-0.00840389356,590,0.0003433577367,590,0.001670160214,590,-0.0004121161182,590,-0.000412685069,590,-0.001156028826,590,-0.0004462518264,
589,-0.005553841591,589,-0.001119883265,589,-0.001239255304,589,-0.003096647793,589,-0.00135653012,589,0.00182246312,589,-0.0003660803486,589,-0.000436735485,589,-0.0001522863313,589,-0.0008923555724,589,-0.001633074251,589,0.002008001786,589,-0.0003578554606,589,-0.008605645038,589,0.0003842400329,589,0.001796936966,589,-0.000204968499,589,-0.000225304786,589,-0.0008096309612,589,-0.0002693893621,
588,-0.00557111809,588,-0.0013091492,588,-0.001175287995,588,-0.003002979327,588,-0.001502563246,588,0.001725487295,588,-0.0003863056481,588,-0.0003034328402,588,-0.0003843400627,588,-0.001151484903,588,-0.00173745479,588,0.002114092931,588,-0.0001987069991,588,-0.008546053432,588,0.0002157872659,588,0.001503467793,588,-0.0003246957203,588,-0.0003252647875,588,-0.0009996519657,588,-0.0004023403744,
587,-0.005794215947,587,-0.0009343060665,587,-0.001122155343,587,-0.003084927564,587,-0.00143946032,587,0.001899232622,587,-0.0001095356056,587,-0.0003857366682,587,-0.0004274257808,587,-0.001295109279,587,-0.001807010733,587,0.001895618741,587,-0.0001807499793,587,-0.008679032326,587,0.0002943973232,587,0.001788411289,587,-0.0003233506577,587,-0.0003247474669,587,-0.001176010817,587,-0.0002151108929,
586,-0.005686666816,586,-0.001286695595,586,-0.001262072707,586,-0.003171794116,586,-0.001655767788,586,0.001688142656,586,-0.0003342145355,586,-0.0004369940725,586,-0.0003987714008,586,-0.001095509157,586,-0.001852790941,586,0.002063944237,586,-0.0003596142633,586,-0.008758242242,586,0.00026289979,586,0.001708204858,586,-0.0002678371675,586,-3.706712596E-5,586,-0.000937973964,586,-0.0003287309082,
585,-0.005743688904,585,-0.001372425933,585,-0.001243385253,585,-0.003176265396,585,-0.00140524772,585,0.001707919058,585,-0.0004323392641,585,-0.0004156849755,585,-0.0002794267784,585,-0.001309407176,585,-0.00175957568,585,0.001956071006,585,-0.0004055472673,585,-0.008923516609,585,0.0003911059466,585,0.001841803663,585,-5.125119424E-5,585,-0.0001221645798,585,-0.001006056904,585,-0.0001955503394,
584,-0.006023223978,584,-0.001164393499,584,-0.001100983121,584,-0.002968324115,584,-0.001489767921,584,0.002028078772,584,2.583496462E-5,584,-0.0005011219764,584,-0.0001998454536,584,-0.001229446614,584,-0.001922173775,584,0.001930459053,584,-8.846922719E-5,584,-0.008709480055,584,0.000190433042,584,0.00150336395,584,-0.0003954092972,584,-0.0005045349826,584,-0.001297483803,584,-0.0004712829832,
583,-0.006002442911,583,-0.001055795001,583,-0.001222012448,583,-0.00308811455,583,-0.001551522408,583,0.002037727507,583,-3.173503865E-5,583,-0.0006053096149,583,-7.640865806E-5,583,-0.001222838415,583,-0.001930781407,583,0.002105613006,583,-0.0002393792238,583,-0.008944969624,583,0.000222805902,583,0.001766941743,583,-0.0002359641512,583,-0.0002432082256,583,-0.0009924204787,583,-0.000150267937,
582,-0.005829565693,582,-0.001469078008,582,-0.001340891933,582,-0.003318708157,582,-0.001703729853,582,0.001735233236,582,-0.0003599763731,582,-0.0006027246127,582,-0.0002440360986,582,-0.00115912687,582,-0.001925781718,582,0.002119009383,582,-0.0004148056905,582,-0.009129336104,582,0.0003874268441,582,0.002024593996,582,-0.0001243383886,582,-5.363241507E-5,582,-0.001089053927,582,-6.27948175E-5,
581,-0.005950408056,581,-0.001299032243,581,-0.001326646656,581,-0.003305658,581,-0.001514584292,581,0.001758234692,581,-0.0002433634509,581,-0.0005577431875,581,-0.0001612396445,581,-0.001262640581,581,-0.001832530717,581,0.001917302608,581,-0.0002422250982,581,-0.009035489522,581,0.0004071181756,581,0.001742198481,581,-8.189547952E-5,581,-0.0002835141204,581,-0.001094063162,581,-0.0001018752228,
580,-0.00597522594,580,-0.001207918162,580,-0.001492244541,580,-0.003426742274,580,-0.001657521352,580,0.001982958755,580,-0.0001134692575,580,-0.0005287354579,580,-0.0003170391428,580,-0.001377689885,580,-0.001857997617,580,0.001789502916,580,-0.0001588072628,580,-0.008950091898,580,0.0002953298681,580,0.001549239503,580,-0.0002167667699,580,-0.0002887396258,580,-0.001141002984,580,-0.0001388301462,
579,-0.005834724754,579,-0.001390436897,579,-0.001595730428,579,-0.003395408392,579,-0.001765763154,579,0.001665768563,579,-0.0004616120423,579,-0.0007059575291,579,-0.0002091082715,579,-0.001220050617,579,-0.001944955322,579,0.002126657171,579,-0.0002651984105,579,-0.009133797139,579,0.0005039037205,579,0.001870790147,579,-0.0001627404708,579,2.019110298E-6,579,-0.001180915744,579,-5.332182263E-5,
578,-0.006024398375,578,-0.001321640098,578,-0.001361433067,578,-0.003186132992,578,-0.001613371191,578,0.001824724721,578,-0.0002866183931,578,-0.0006528191734,578,-0.0002278920292,578,-0.001075678389,578,-0.001973971725,578,0.002113754861,578,-8.567410259E-5,578,-0.00917384401,578,0.0003498603182,578,0.001905810554,578,9.83001446E-5,578,-0.0001513030147,578,-0.001068448182,578,-0.0001074652464,
577,-0.006076015998,577,-0.001089983503,577,-0.001074697124,577,-0.003224830609,577,-0.001603519311,577,0.001951468643,577,-4.431451816E-5,577,-0.0007206366281,577,-0.0001863389916,577,-0.001112808706,577,-0.001924441662,577,0.002083243569,577,-6.843710435E-5,577,-0.009120261297,577,0.0004812796251,577,0.001839490025,577,1.824999163E-5,577,-8.153314411E-5,577,-0.001021345612,577,-0.0001333957916,
576,-0.00597987324,576,-0.001364994212,576,-0.001383418334,576,-0.003315830836,576,-0.001515512937,576,0.001786669716,576,-0.0001038420887,576,-0.000594762736,576,-0.0004017197061,576,-0.001221134793,576,-0.001970982412,576,0.00211354671,576,-6.823005242E-5,576,-0.009108652361,576,0.0002934389049,576,0.001908384496,576,-0.0001677086839,576,-6.584890798E-5,576,-0.001135322964,576,-3.007845407E-5,
575,-0.005857710727,575,-0.001433061785,575,-0.001387030818,575,-0.003433368169,575,-0.001735598431,575,0.001635184861,575,-0.0002484342258,575,-0.0006093938719,575,-0.0002441395918,575,-0.001268060762,575,-0.001844645711,575,0.002078665653,575,-0.0002149039065,575,-0.009190824814,575,0.0004911273136,575,0.00193994958,575,5.539950507E-5,575,-1.154498841E-5,575,-0.001071443548,575,-9.784786016E-6,
574,-0.006165552884,574,-0.001252935617,574,-0.001187524525,574,-0.003110166872,574,-0.001569525921,574,0.00198009843,574,7.595607167E-5,574,-0.0004972952302,574,-0.0004004265938,574,-0.001352143241,574,-0.001926348777,574,0.002235431224,574,7.448031829E-5,574,-0.00904730428,574,0.0003679695656,574,0.001814196818,574,3.013231253E-5,574,-0.0001375880092,574,-0.001261091908,574,-0.0002291856508,
573,-0.005957097746,573,-0.001452308614,573,-0.001431255718,573,-0.003353643697,573,-0.001876040013,573,0.001894552726,573,-0.0001189038594,573,-0.0006116169388,573,-0.0003402671427,573,-0.001237138757,573,-0.002016745508,573,0.002301083412,573,0.0001469536219,573,-0.009185400791,573,0.0004814092244,573,0.001867150539,573,-6.67852828E-6,573,-5.042293924E-5,573,-0.0009135896689,573,-5.430536476E-5,
572,-0.00619240012,572,-0.001253503375,572,-0.001217056299,572,-0.003116592066,572,-0.001576593029,572,0.001982646761,572,3.771749471E-5,572,-0.0006268679281,572,-0.0002692341513,572,-0.001303935889,572,-0.001896813745,572,0.002091124654,572,-9.126433724E-5,572,-0.009178050794,572,0.0003333579807,572,0.002132561989,572,0.0001553435868,572,7.989144797E-5,572,-0.001103513525,572,-0.0002126270556,
571,-0.006056972779,571,-0.001289637759,571,-0.001304348814,571,-0.003218561178,571,-0.001633951091,571,0.001875677728,571,4.452409485E-6,571,-0.0004746962222,571,-0.0003924092744,571,-0.001417839085,571,-0.001812682021,571,0.001943589887,571,-8.184371836E-5,571,-0.009209680371,571,0.0005709018442,571,0.001877653645,571,0.0001382530754,571,-0.0001694682578,571,-0.0009283650434,571,-7.723685849E-5,
570,-0.005959242582,570,-0.001328711165,570,-0.001440492226,570,-0.003444103291,570,-0.001789326314,570,0.001851682318,570,-5.099236296E-5,570,-0.0005819923826,570,-0.0004340460291,570,-0.001244159648,570,-0.001838098513,570,0.002187297679,570,0.000105601699,570,-0.009086395614,570,0.0003760010877,570,0.001896970673,570,7.743183232E-5,570,-0.0001752126554,570,-0.001005436992,570,-0.0002371025039,
569,-0.005860673264,569,-0.001493534306,569,-0.00161301007,569,-0.003502396401,569,-0.002015920822,569,0.001761561492,569,-0.0002647327492,569,-0.0007012538845,569,-0.0002667506342,569,-0.001104081515,569,-0.001853976632,569,0.002225049539,569,4.861656998E-5,569,-0.009152705781,569,0.0003492126416,569,0.001966446405,569,0.0001146381983,569,-0.0001040491261,569,-0.0009953130502,569,-0.0001560643432,
568,-0.005551388022,568,-0.001500499551,568,-0.001495649689,568,-0.003572080983,568,-0.001752717886,568,0.001686063712,568,2.448881605E-5,568,-0.0003419742861,568,-0.0001746951457,568,-0.001034464571,568,-0.001562200836,568,0.002316645812,568,6.598834443E-5,568,-0.008953033946,568,0.0005238595186,568,0.002307849703,568,0.0002250332473,568,4.437081589E-5,568,-0.0008841923554,568,-6.755712093E-5,
567,-0.00548462756,567,-0.001170641044,567,-0.001234144438,567,-0.003316961229,567,-0.001725955633,567,0.001713012694,567,8.737393364E-5,567,1.827587766E-5,567,-0.0004207537277,567,-0.001371754915,567,-0.001422276953,567,0.002310816431,567,0.0002778712078,567,-0.008726935834,567,0.0005685171927,567,0.002029483207,567,0.0004406732623,567,6.4590291E-5,567,-0.0009611171554,567,8.377507038E-5,
566,-0.005529050715,566,-0.001126131508,566,-0.00120574981,566,-0.003281406127,566,-0.001739517436,566,0.001986859599,566,0.0002899419633,566,-5.46159572E-5,566,-0.0003651492298,566,-0.001312917098,566,-0.001379960682,566,0.002183733508,566,0.0001671778737,566,-0.008648684248,566,0.0004627510498,566,0.002011408564,566,0.0002083802538,566,-4.234737935E-5,566,-0.0009448447381,566,0.0001059382994,
565,-0.005391472951,565,-0.001417013467,565,-0.001315291389,565,-0.003415338928,565,-0.001779375365,565,0.001783134765,565,0.0001124632035,565,-0.0001449372357,565,-0.0001003224243,565,-0.001071598497,565,-0.001237396849,565,0.002211337676,565,1.087212013E-6,565,-0.008706993423,565,0.0004789732338,565,0.002196117537,565,0.0002980238351,565,0.0001436908933,565,-0.0009631834691,565,1.664499723E-5,
564,-0.005448227283,564,-0.001467323746,564,-0.001322517521,564,-0.003447185038,564,-0.001795307151,564,0.001967460383,564,0.0001625166333,564,5.410504309E-5,564,-0.0003523721243,564,-0.001419799984,564,-0.001204355853,564,0.002156495117,564,0.0001272740628,564,-0.008689790964,564,0.0004403882194,564,0.00206646719,564,0.000392738235,564,-1.703263297E-5,564,-0.0009888563072,564,0.0001291125081,
563,-0.005576893687,563,-0.001109039062,563,-0.001373922569,563,-0.003214449855,563,-0.001725646202,563,0.001872194116,563,0.0003498862206,563,0.0001077248744,563,-0.0004675077216,563,-0.00147552765,563,-0.001405092888,563,0.002378250007,563,0.0005142961745,563,-0.008697199635,563,0.0004826012882,563,0.002247894648,563,0.0004406991648,563,6.860323629E-5,563,-0.0009679358918,563,0.0002148549102,
562,-0.005398427136,562,-0.001328091836,562,-0.001437912229,562,-0.003520165104,562,-0.001798916259,562,0.001874663867,562,0.0001813949639,562,-0.0001160571701,562,-0.0001433328434,562,-0.001110329991,562,-0.001343266107,562,0.002275425009,562,0.0003230475704,562,-0.008627977222,562,0.000473531225,562,0.002051772084,562,0.000344290369,562,-2.112243601E-5,562,-0.001084096264,562,5.262936247E-5,
561,-0.005459883716,561,-0.001420316054,561,-0.001242352766,561,-0.003448109608,561,-0.001821394893,561,0.001807958237,561,0.0001308991777,561,-0.0001420389599,561,-0.0001427635289,561,-0.001068809652,561,-0.001336091897,561,0.002476959722,561,0.0004282355367,561,-0.008757836185,561,0.0005894609494,561,0.002188364277,561,0.0006394138327,561,8.970414638E-5,561,-0.000959464116,561,0.0002446913277,
560,-0.005355729256,560,-0.001495546545,560,-0.001545383479,560,-0.00369278295,560,-0.001867018873,560,0.001554902876,560,0.0002232720872,560,-5.295946175E-5,560,-0.0002388100402,560,-0.001265531289,560,-0.001381663722,560,0.002356751356,560,0.0005409133737,560,-0.008607117459,560,0.0005750490236,560,0.001928951009,560,0.0002849426528,560,-5.280705409E-6,560,-0.0009616853786,560,4.167660791E-6,
559,-0.00546780834,559,-0.001240597572,559,-0.001436364255,559,-0.003475073958,559,-0.001824539737,559,0.001853736001,559,0.0002765242825,559,-7.019707118E-5,559,-0.0003782363201,559,-0.00107356091,559,-0.001365355449,559,0.002325598383,559,0.0003360521805,559,-0.008638381958,559,0.0002593771787,559,0.002260124544,559,0.0004505200195,559,4.481092401E-5,559,-0.001091636019,559,-7.42346092E-5,
558,-0.005387484562,558,-0.001417581108,558,-0.001470729127,558,-0.00366341928,558,-0.001866297214,558,0.001688688411,558,0.0002558027918,558,-0.0001568406442,558,-0.0003236610501,558,-0.000961943646,558,-0.001356375287,558,0.00246870704,558,0.000394474162,558,-0.008820392191,558,0.0005806478439,558,0.002233037492,558,0.0006192972069,558,0.0002395112388,558,-0.0008971604984,558,9.57886441E-5,
557,-0.005472511519,557,-0.00132014323,557,-0.001378051238,557,-0.003595494898,557,-0.001778601902,557,0.001694431528,557,0.0003032305103,557,-0.0001557538199,557,-0.000148042498,557,-0.001076401328,557,-0.001417323016,557,0.002400660887,557,0.0006436653784,557,-0.008709175512,557,0.0006486947532,557,0.002180403331,557,0.0006566796219,557,-2.629934716E-5,557,-0.0009885464096,557,0.0001155703358,
556,-0.005486110225,556,-0.001280294731,556,-0.001548633445,556,-0.003550257534,556,-0.001832221402,556,0.002026908565,556,0.0004472031724,556,-0.0001804394851,556,-0.000207504112,556,-0.0009748062002,556,-0.001433577738,556,0.002556787571,556,0.0006478133146,556,-0.00879208371,556,0.0005597044947,556,0.002295852872,556,0.0006019810098,556,0.0002209929517,556,-0.001127215917,556,0.0001046695834,
555,-0.005456509534,555,-0.001518763136,555,-0.001508806017,555,-0.003581888275,555,-0.00193310075,555,0.001714805956,555,0.0002127312036,555,-0.0001963783288,555,-0.0002570750949,555,-0.0009333245107,555,-0.001303471392,555,0.002487191232,555,0.0004377710866,555,-0.008876548149,555,0.0005968744517,555,0.002427081577,555,0.0007815011777,555,0.0002109701018,555,-0.0009082683246,555,8.664897905E-5,
554,-0.005556499586,554,-0.001391985104,554,-0.001355497981,554,-0.003518521786,554,-0.001703678281,554,0.001816328382,554,0.0004581643734,554,-3.390929487E-5,554,-0.0003825813765,554,-0.001258562435,554,-0.001311368658,554,0.002443923848,554,0.0006724683335,554,-0.008969871327,554,0.0006543463678,554,0.002452931134,554,0.0009058657452,554,0.0002764206729,554,-0.0008722571656,554,0.0001443641522,
553,-0.005742309615,553,-0.001233215211,553,-0.001104546362,553,-0.003554211464,553,-0.001775405137,553,0.001915612607,553,0.0005614152178,553,-0.0001263569138,553,-0.000464766752,553,-0.001191551681,553,-0.001437757397,553,0.002385017462,553,0.0007010397967,553,-0.008782951161,553,0.0004824457865,553,0.002213445259,553,0.0008134513046,553,0.0001177712402,553,-0.001001356519,553,2.26249249E-5,
552,-0.00555450609,552,-0.001440027845,552,-0.001503182342,552,-0.003628046485,552,-0.001999018015,552,0.001860963181,552,0.000509864476,552,-0.000242639042,552,-0.000218733112,552,-0.0009995485889,552,-0.001370413112,552,0.002615196398,552,0.0007984614349,552,-0.008973370306,552,0.0006079690065,552,0.002312898403,552,0.0008269115351,552,0.0001879728079,552,-0.00087199884,552,0.0001012777138,
551,-0.005621613469,551,-0.001330466126,551,-0.001327369246,551,-0.003503012704,551,-0.001914957655,551,0.001796157099,551,0.0003747056762,551,-0.0001829234971,551,-0.0002669575915,551,-0.00116893719,551,-0.001461544773,551,0.002488987753,551,0.0008763989317,551,-0.009092732333,551,0.0007927560946,551,0.002495210152,551,0.0009517042199,551,0.0003040594456,551,-0.0008641452296,551,0.0003367257596,
550,-0.005652173888,550,-0.001310852473,550,-0.001444207504,550,-0.003680052003,550,-0.001788140507,550,0.001857713563,550,0.0005396174965,550,-0.000239482717,550,-0.0003813399235,550,-0.001011945191,550,-0.00141035649,550,0.002364143031,550,0.0008379341452,550,-0.008889482357,550,0.0005067026941,550,0.002349906368,550,0.0008946598391,550,-7.470048149E-5,550,-0.0007858079043,550,0.0001831041591,
549,-0.005778889637,549,-0.001266718609,549,-0.00129175419,549,-0.0034693731,549,-0.001858977019,549,0.002034528647,549,0.0006033548852,549,-0.0002708380634,549,-0.0003218503844,549,-0.0009226305992,549,-0.001515358104,549,0.00253702444,549,0.0008474527858,549,-0.008974536322,549,0.0005241705221,549,0.002390014939,549,0.0009167347453,549,0.0001591243054,549,-0.001042521675,549,0.0002216145367,
548,-0.005627337378,548,-0.001511385548,548,-0.001429914031,548,-0.00362368254,548,-0.001947119948,548,0.001838788157,548,0.0004167050938,548,-0.0002937581448,548,-0.0002626631467,548,-0.001040714094,548,-0.001613783767,548,0.002735554706,548,0.001073107356,548,-0.009090653621,548,0.000693365233,548,0.002438691445,548,0.0008657902945,548,0.0001984871778,548,-0.001002596109,548,0.0002751773573,
