Er_10uM_1cm,,Er_100uM_1mm,,Er_1mM_1mm,,Er_2uM_1cm,,Er_2uM_1cm1,,Er_5uM_1cm,,Er_20uM_1cm,,Er_50uM_1cm,,Cell1 Blank,,Er_200uM_1mm,,Er_500uM_1mm,,Er_2mM_100um,,Er_5mM_100um,,Er_10mM_100um,,Er_20mM_10um,,Er_30mM_10um,,Er_50mM_10um,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
600,-0.0001047219994,600,-0.005267866421,600,-0.005478339735,600,-0.000908165006,600,-0.0009904576,600,-0.0001225268934,600,0.0005148404161,600,0.005554962438,600,-0.002350596478,600,0.003378881374,600,0.0136372298,600,0.00183122349,600,0.01080738939,600,0.002403237624,600,0.0004506495898,600,0.002032994293,600,0.001252121408,
599,-7.174997882E-5,599,-0.005406301469,599,-0.005720799323,599,-0.0008698804304,599,-0.001116423402,599,-0.0001273402886,599,0.0006851204671,599,0.005673410837,599,-0.001794533804,599,0.003360411385,599,0.01356540807,599,0.001828909852,599,0.01079714578,599,0.002426430816,599,0.0002727425308,599,0.001964288065,599,0.001421781839,
598,1.278785658E-5,598,-0.005552461836,598,-0.005725295749,598,-0.001160933985,598,-0.001299754949,598,-0.0002275298175,598,0.0003725293791,598,0.005564873572,598,-0.001811032183,598,0.003565791063,598,0.01344636362,598,0.001915404573,598,0.01095581613,598,0.002522287425,598,0.0005096052773,598,0.001885739155,598,0.001346005476,
597,-7.247466419E-5,597,-0.005517395679,597,-0.005582515616,597,-0.0008358813357,597,-0.0009992903797,597,-3.758479943E-5,597,0.0007011694252,597,0.0056069321,597,-0.001764216344,597,0.003310066182,597,0.01340303198,597,0.001864420832,597,0.01082501095,597,0.002547778189,597,0.0003959769092,597,0.001827350119,597,0.00120705599,
596,-0.0002431047324,596,-0.005472869612,596,-0.005631834734,596,-0.000803843257,596,-0.0009446897893,596,-0.0001803877385,596,0.0007001842023,596,0.005473008845,596,-0.001849336899,596,0.003473669989,596,0.01356385928,596,0.001681671944,596,0.01066893525,596,0.002468655119,596,0.0004463480727,596,0.001843233476,596,0.001247656182,
595,-1.760210216E-5,595,-0.005534775555,595,-0.00592083903,595,-0.001112653757,595,-0.00112711254,595,-0.0001420907211,595,0.0005746083916,595,0.005653426982,595,-0.002055392833,595,0.003574664937,595,0.01359500084,595,0.002003684873,595,0.01094984356,595,0.002580952132,595,0.0004315263068,595,0.002078795806,595,0.00138905982,
594,-0.0002117473632,594,-0.005302287638,594,-0.005642413162,594,-0.0009439148707,594,-0.0009042901802,594,-0.0001172993652,594,0.0005340451025,594,0.005660455208,594,-0.002065079752,594,0.003601574805,594,0.01369872503,594,0.001812689123,594,0.01081049442,594,0.002567020943,594,0.0004951701267,594,0.001880903379,594,0.001249395544,
593,-0.0001743846369,593,-0.005405330099,593,-0.005634594243,593,-0.0008701388142,593,-0.001016697031,593,-0.0001678639383,593,0.0005029966705,593,0.005563640967,593,-0.002100167796,593,0.003409927478,593,0.01380188577,593,0.001782068983,593,0.01076477114,593,0.002710678149,593,0.0004703437735,593,0.001994114835,593,0.001286313054,
592,-9.5767522E-5,592,-0.005379303358,592,-0.005865883082,592,-0.001142242225,592,-0.001083992887,592,-0.0003329212195,592,0.0005184687907,592,0.005524287,592,-0.002241573296,592,0.003575735027,592,0.01384311914,592,0.001917042537,592,0.01092842035,592,0.002726229141,592,0.0004129480221,592,0.002260879148,592,0.001446532784,
