Cell1 Blank,,Dy_2uM_1cm1,,Dy_5uM_1cm,,Dy_10uM_1cm1,,Dy_20uM_1cm,,Dy_50uM_1cm,,Dy_100uM_1mm,,Dy_200uM_1mm1,,Dy_500uM_1mm,,Dy_1mM_1mm,,Dy_2mM_100um,,Dy_5mM_100um,,Dy_10mM_100um,,Dy_30mM_10um,,Dy_20mM_10um,,Dy_50mM_10um,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
600,-0.00508082984,600,0.0008051264449,600,-0.000652147166,600,0.001044459408,600,-0.0009810047923,600,-0.001476869103,600,0.003488856833,600,0.0002473331988,600,0.004510728642,600,0.002558792476,600,-0.001559002441,600,-0.003047554055,600,0.0004977617064,600,-0.003803906031,600,-0.005050229374,600,-0.005159368739,
599,-0.00458870735,599,0.0009352049092,599,-0.0005686011864,599,0.001206199406,599,-0.001023153425,599,-0.001439253916,599,0.003637518035,599,0.0001334626722,599,0.00447280379,599,0.002678536111,599,-0.001287366613,599,-0.002805140102,599,0.0005837842473,599,-0.003655923996,599,-0.005224286579,599,-0.005126778036,
598,-0.004541780334,598,0.0008246551733,598,-0.0006225253455,598,0.0009128177189,598,-0.001010808861,598,-0.001750655356,598,0.003425190225,598,0.0001457365724,598,0.004327699542,598,0.002710860455,598,-0.001622449141,598,-0.002880079672,598,0.0003970910329,598,-0.003700739704,598,-0.005147703923,598,-0.005129950121,
597,-0.00480816327,597,0.0008139440906,597,-0.0005356126931,597,0.001049571321,597,-0.00094035035,597,-0.001435848186,597,0.003655138426,597,0.0004035684979,597,0.004504686221,597,0.002857483691,597,-0.001335317735,597,-0.002843717346,597,0.0006966580404,597,-0.003403986804,597,-0.004768428393,597,-0.00497980928,
596,-0.004957749508,596,0.0009605507948,596,-0.0006195268361,596,0.001246747561,596,-0.001042986521,596,-0.001446529524,596,0.003699283814,596,0.0004269917845,596,0.004693939351,596,0.002862225985,596,-0.001146218157,596,-0.002703588456,596,0.0005684653297,596,-0.003274674993,596,-0.004736525472,596,-0.00495017413,
595,-0.004877331201,595,0.0008022218244,595,-0.0007600196404,595,0.0009481760208,595,-0.001041592099,595,-0.00165009452,595,0.00352797471,595,0.0001540229277,595,0.004434646573,595,0.002828587545,595,-0.001427127514,595,-0.002870153636,595,0.0005033335765,595,-0.003384569427,595,-0.005045112222,595,-0.00535726361,
594,-0.004944287706,594,0.0008153445087,594,-0.0006378793041,594,0.0008555450477,594,-0.001125408569,594,-0.001590004773,594,0.003547913395,594,0.0002527723555,594,0.004510649946,594,0.00269210618,594,-0.001593202935,594,-0.00298061315,594,0.0006375732482,594,-0.003330113832,594,-0.004876768216,594,-0.005231856834,
593,-0.005231294315,593,0.0007888142136,593,-0.0005716000451,593,0.001268840395,593,-0.001113789855,593,-0.001512107905,593,0.003948524129,593,0.0004777552676,593,0.004821052309,593,0.002892635763,593,-0.001222322113,593,-0.002723396523,593,0.0007994209882,593,-0.003221130697,593,-0.004750557244,593,-0.005183720496,
592,-0.005365087651,592,0.0009681262891,592,-0.0007170186145,592,0.001249369583,592,-0.0009414352244,592,-0.001586548751,592,0.003695863765,592,0.0003821673454,592,0.004724215716,592,0.003146550152,592,-0.00126135,592,-0.002628721297,592,0.00075009797,592,-0.003166962881,592,-0.004782766104,592,-0.005093110725,
591,-0.005414329004,591,0.0009006258915,591,-0.0007090070867,591,0.0009380844422,591,-0.0008758222684,591,-0.001576077193,591,0.003742989851,591,0.0004696441174,591,0.004645977169,591,0.002962036291,591,-0.001273480942,591,-0.002698443364,591,0.0008280785987,591,-0.003202373162,591,-0.004944492131,591,-0.005202852655,
590,-0.005507580936,590,0.0008619515575,590,-0.0005581568112,590,0.001098772627,590,-0.0009330662433,590,-0.001572156791,590,0.00386104919,590,0.0005193758989,590,0.004901442677,590,0.002982365899,590,-0.001310233027,590,-0.002784924349,590,0.0007030621637,590,-0.00329111726,590,-0.004798742011,590,-0.005098534282,
589,-0.005730047356,589,0.001081567141,589,-0.0006564377691,589,0.001224240521,589,-0.0009563129861,589,-0.001591397566,589,0.003978983965,589,0.0005359371426,589,0.004948464222,589,0.003286147956,589,-0.001109607052,589,-0.00250257575,589,0.0008149296045,589,-0.003261263948,589,-0.004806524608,589,-0.004894634709,
588,-0.005696937442,588,0.0009499660227,588,-0.0007432228886,588,0.001018382143,588,-0.001096490305,588,-0.001626472222,588,0.003785394598,588,0.0005469264579,588,0.00476857461,588,0.003150252858,588,-0.001455404563,588,-0.002525223885,588,0.0007868433604,588,-0.003179914318,588,-0.004983955063,588,-0.005069777369,
587,-0.005762030371,587,0.0009337521624,587,-0.000750045001,587,0.0009333371418,587,-0.001022430253,587,-0.001540276222,587,0.003962552175,587,0.0005901867407,587,0.004736593924,587,0.003102330724,587,-0.001326646656,587,-0.002797115594,587,0.0009186543757,587,-0.003265066305,587,-0.004807958379,587,-0.004994190764,
586,-0.005890961736,586,0.0009782444686,586,-0.0008372248267,586,0.001181176631,586,-0.001048202976,586,-0.001638593036,586,0.003810672322,586,0.0006342031411,586,0.004866101779,586,0.003212888027,586,-0.001170176314,586,-0.002611173317,586,0.0009239463252,586,-0.003312131623,586,-0.004855215084,586,-0.004957084078,
585,-0.005896579474,585,0.001069422462,585,-0.0007432228886,585,0.001068592072,585,-0.0009869968053,585,-0.00178427354,585,0.003667329438,585,0.0004738681018,585,0.004702495877,585,0.003260196419,585,-0.001313071931,585,-0.002674157731,585,0.000849268341,585,-0.003458330641,585,-0.004938810598,585,-0.005154252518,
584,-0.00587732438,584,0.001098357374,584,-0.000876390608,584,0.0009157749591,584,-0.001125098672,584,-0.001677583437,584,0.003879070515,584,0.0005966670578,584,0.004812912084,584,0.003173381556,584,-0.001508393208,584,-0.002790325554,584,0.0007377550937,584,-0.003431262216,584,-0.00495902868,584,-0.005136192311,
583,-0.006120990962,583,0.001138116932,583,-0.0007457553293,583,0.001169678057,583,-0.001025942503,583,-0.001485330751,583,0.00407575909,583,0.000760496303,583,0.00501573272,583,0.003195494181,583,-0.001177353202,583,-0.002622494707,583,0.001115278108,583,-0.003449239535,583,-0.00465273764,583,-0.004902108572,
582,-0.006134415977,582,0.001064128708,582,-0.000786738121,582,0.001159114181,582,-0.001151071861,582,-0.00173771265,582,0.003887898521,582,0.0006875575637,582,0.005002561025,582,0.003474139608,582,-0.001132895937,582,-0.002453054301,582,0.000966543681,582,-0.003522167914,582,-0.004785633646,582,-0.005145606119,
581,-0.005919307005,581,0.0009491099045,581,-0.0008936988888,581,0.0007860912592,581,-0.001178953797,581,-0.001865111524,581,0.003715026891,581,0.0003610262938,581,0.004761168268,581,0.003138754051,581,-0.001526708133,581,-0.002879771171,581,0.0007001842023,581,-0.00366182765,581,-0.005177325569,581,-0.00528638158,
580,-0.006123441271,580,0.001002295525,580,-0.0007481844514,580,0.001058938797,580,-0.001080429531,580,-0.001539966674,580,0.003921619151,580,0.000663809129,580,0.004987033084,580,0.003363150405,580,-0.001284114667,580,-0.002729878761,580,0.001027826918,580,-0.003400596557,580,-0.004836988635,580,-0.005107897799,
579,-0.006298088934,579,0.001180942985,579,-0.0008161937003,579,0.001259727986,579,-0.001074129017,579,-0.001600991818,579,0.004139286,579,0.0007437968161,579,0.005020262673,579,0.003518527607,579,-0.001123084803,579,-0.002388802124,579,0.001128332457,579,-0.003415904008,579,-0.004750403576,579,-0.005104470067,
578,-0.005965115502,578,0.0009598762263,578,-0.001081204158,578,0.0008775402093,578,-0.001396061969,578,-0.002027309267,578,0.003676936496,578,0.0003896031994,578,0.004814613145,578,0.003199797124,578,-0.001525160391,578,-0.002759203082,578,0.0008086534799,578,-0.003661109135,578,-0.005209656432,578,-0.005526597146,
