Cell1 Blank,,10uM,,10mM,,1mM,,100uM,,2uM,,2uM,,5uM,,20uM,,50uM,,200uM,,500uM,,2mM,,Cell1 Blank,,Cell1 Blank,,2mM,,5mM,,20mM,,30mM,,50mM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
600,-0.01224359125,600,-0.008140571415,600,-0.003323640442,600,0.0002160721488,600,0.006092631258,600,0.0001192471391,600,-0.0002249943209,600,0.001674837666,600,-0.002598359017,600,-0.005041785538,600,0.005812904797,600,8.095296653E-5,600,0.008640702814,600,-0.01705667004,600,-0.01351243723,600,0.001225901884,600,-0.002743975259,600,-0.003403729992,600,-0.003049970372,600,-0.002116809133,
599,-0.01200051699,599,-0.008118265308,599,-0.003148871241,599,0.0005530692288,599,0.006467746105,599,0.0003068571095,599,5.842855899E-5,599,0.001819057856,599,-0.002307443647,599,-0.004645003006,599,0.006046168506,599,0.0006190639106,599,0.009002935141,599,-0.01648060419,599,-0.01289782673,599,0.001159970649,599,-0.002673488809,599,-0.00373985339,599,-0.00325607392,599,-0.002114645205,
598,-0.01201134361,598,-0.008275401779,598,-0.00318068522,598,0.000424789323,598,0.006365314592,598,6.275212218E-5,598,-9.990834224E-5,598,0.001497467514,598,-0.00244445703,598,-0.004769401625,598,0.005956721492,598,0.0003714671475,598,0.008750434034,598,-0.01658825576,598,-0.01301460806,598,0.001145410119,598,-0.002717582742,598,-0.003765721805,598,-0.003361657728,598,-0.002209432656,
597,-0.01232522354,597,-0.008340414613,597,-0.003142497735,597,0.0006314552156,597,0.006601870991,597,0.0004014697915,597,0.0002095974778,597,0.001871414133,597,-0.00226016622,597,-0.004620825872,597,0.006196469069,597,0.0005031781038,597,0.009044640698,597,-0.0169067625,597,-0.01304389909,597,0.001051283907,597,-0.002722161589,597,-0.004071100615,597,-0.00365140615,597,-0.00217378675,
596,-0.01249211375,596,-0.008012662642,596,-0.00296827266,596,0.0006031993544,596,0.006670815405,596,0.0002106334287,596,4.13418602E-5,596,0.001937193447,596,-0.002123146085,596,-0.004579793662,596,0.006302117836,596,0.0007714913227,596,0.009121111594,596,-0.01677309163,596,-0.01330542099,596,0.001218555495,596,-0.002497994341,596,-0.004004573915,596,-0.003495360492,596,-0.00207177829,
595,-0.01265134662,595,-0.008103681728,595,-0.002899211133,595,0.0006354734069,595,0.006537404843,595,0.0002400810481,595,6.627313269E-5,595,0.001749527757,595,-0.002085741377,595,-0.004514472093,595,0.006289432291,595,0.0007960496005,595,0.00925121922,595,-0.01699454337,595,-0.01326881628,595,0.001058705267,595,-0.002762958407,595,-0.004056790844,595,-0.003871335881,595,-0.00225347071,
594,-0.01285415143,594,-0.008090926334,594,-0.002849837998,594,0.0008951785858,594,0.006581529044,594,0.0004413210554,594,0.0004935115576,594,0.002018482424,594,-0.002287771087,594,-0.004613910802,594,0.006586732809,594,0.0007925485843,594,0.009129041806,594,-0.01715890132,594,-0.01342068706,594,0.001109153382,594,-0.002794903703,594,-0.003912845626,594,-0.003796515753,594,-0.002104083542,
593,-0.01289752498,593,-0.0083441725,593,-0.002942253835,593,0.0008400090737,593,0.006763722282,593,0.0002749442356,593,0.0002575899998,593,0.001958463341,593,-0.002258106135,593,-0.004731558263,593,0.006604998838,593,0.0009060733137,593,0.008980418555,593,-0.01727643423,593,-0.01352613792,593,0.001219126629,593,-0.00252573844,593,-0.003883753205,593,-0.00390904909,593,-0.002081825631,
592,-0.01309398562,592,-0.00810794998,592,-0.002695304807,592,0.0009138812893,592,0.006734933238,592,0.0004114711192,592,0.0002393299364,592,0.001991930418,592,-0.00210552616,592,-0.004457646981,592,0.0065125986,592,0.001041138079,592,0.009107153863,592,-0.01736622863,592,-0.01374302991,592,0.001252381015,592,-0.002544216579,592,-0.003524992382,592,-0.003909100313,592,-0.002047921298,
591,-0.01334508508,591,-0.008275249042,591,-0.002550135367,591,0.001172507182,591,0.006835401058,591,0.0005308053805,591,0.0003846804902,591,0.002134487033,591,-0.001999121159,591,-0.004452881403,591,0.006861409172,591,0.001095554675,591,0.00904976856,591,-0.01755471155,591,-0.01370851882,591,0.001013115048,591,-0.002689130604,591,-0.003571259324,591,-0.004137463402,591,-0.002286071656,
590,-0.01334262453,590,-0.00833675731,590,-0.00279603526,590,0.00111865194,590,0.007062242366,590,0.0002733641886,590,0.0002440179087,590,0.001999055967,590,-0.002111296402,590,-0.004614884034,590,0.006841344293,590,0.0008816384361,590,0.009055345319,590,-0.01768883877,590,-0.01406854205,590,0.001459726947,590,-0.002280149143,590,-0.003087497782,590,-0.00366305979,590,-0.001771280309,
589,-0.01342289615,589,-0.008282614872,589,-0.002676009899,589,0.001078997971,589,0.006946044974,589,0.0003253531468,589,0.0002483433054,589,0.001990006072,589,-0.002031844109,589,-0.004627485294,589,0.00680539757,589,0.0009111575782,589,0.00873891823,589,-0.01769679226,589,-0.0140472902,589,0.001337410766,589,-0.002510605613,589,-0.003026732476,589,-0.003702330869,589,-0.001947635435,
588,-0.01367997564,588,-0.008159625344,588,-0.002565627219,588,0.001379711088,588,0.0070853699,588,0.0004729352077,588,0.0003781774139,588,0.002092503244,588,-0.002074199961,588,-0.004434330389,588,0.006951595191,588,0.001245423569,588,0.008945906535,588,-0.01786371693,588,-0.01416226011,588,0.001251160866,588,-0.002764296019,588,-0.00289622834,588,-0.003685852978,588,-0.002025454305,
587,-0.01368268486,587,-0.0082483273,587,-0.002538040048,587,0.001264167367,587,0.007118313108,587,0.0001886720274,587,0.0003783587599,587,0.002135995775,587,-0.002259651199,587,-0.004533582833,587,0.006971060298,587,0.000983277685,587,0.008762611076,587,-0.01793500967,587,-0.01426362246,587,0.001296905917,587,-0.002560274675,587,-0.003010537243,587,-0.00334172463,587,-0.001810155693,
586,-0.01377006527,586,-0.008143670857,586,-0.002576435218,586,0.00129999558,586,0.007142048795,586,0.0003933082335,586,0.0001870146079,586,0.002082463121,586,-0.002096715849,586,-0.00459019281,586,0.006934182253,586,0.001154026948,586,0.008742800914,586,-0.01789998636,586,-0.01442125626,586,0.001578907948,586,-0.002463093027,586,-0.002969044028,586,-0.003138283035,586,-0.001910782536,
585,-0.01390947681,585,-0.008131781593,585,-0.002384425607,585,0.001479856553,585,0.007120287046,585,0.0005066508311,585,0.0003186177928,585,0.001992606558,585,-0.002184655983,585,-0.004500381649,585,0.007068714593,585,0.001223331899,585,0.008748929016,585,-0.01815174893,585,-0.01440002117,585,0.001254042494,585,-0.002576435218,585,-0.003176779253,585,-0.003315830836,585,-0.002026175614,
584,-0.01420580409,584,-0.007922183722,584,-0.002245745156,584,0.001677410211,584,0.007414733525,584,0.000562814821,584,0.0005323604564,584,0.002372107469,584,-0.002011334524,584,-0.004383337684,584,0.007254666183,584,0.001329231542,584,0.008891659789,584,-0.01837001741,584,-0.01440077182,584,0.0009824474109,584,-0.002803134033,584,-0.003593133064,584,-0.003307918552,584,-0.002106453525,
583,-0.01400568523,583,-0.00807720609,583,-0.00239178841,583,0.001390202437,583,0.007363811135,583,0.0002981792786,583,0.0002198275033,583,0.002028286923,583,-0.00218676799,583,-0.004660779145,583,0.006938785315,583,0.001164409099,583,0.008555815555,583,-0.01827486977,583,-0.01473755296,583,0.001486869645,583,-0.002571700374,583,-0.003532695351,583,-0.003061023308,583,-0.00182505534,
582,-0.01405235287,582,-0.008021759801,582,-0.002366867848,582,0.001592625747,582,0.00721865939,582,0.0002964437299,582,0.0001844508079,582,0.002062305575,582,-0.002307649702,582,-0.004557969514,582,0.007183918264,582,0.001246565836,582,0.00844167266,582,-0.01837502979,582,-0.01472484134,582,0.001397681539,582,-0.002487750724,582,-0.003686263692,582,-0.003089502454,582,-0.001898411661,
581,-0.01427399274,581,-0.008008494973,581,-0.002196348971,581,0.001780483522,581,0.007433218881,581,0.0005828770227,581,0.0004537850327,581,0.002492059721,581,-0.002093418268,581,-0.004450421315,581,0.007291360758,581,0.001348939724,581,0.008578943089,581,-0.01855002902,581,-0.0146909086,581,0.001149277319,581,-0.00274057989,581,-0.00400672853,581,-0.003351126332,581,-0.002151635475,
580,-0.01416220982,580,-0.008150835522,580,-0.002328505507,580,0.001626194571,580,0.007398961112,580,0.0003308969317,580,0.0002390450391,580,0.002161490032,580,-0.002011283068,580,-0.004680293147,580,0.007107893005,580,0.001112994272,580,0.008546469733,580,-0.01851594821,580,-0.01477653533,580,0.001406693016,580,-0.002772629727,580,-0.00411982229,580,-0.003241891507,580,-0.001928616548,
579,-0.01414973196,579,-0.008080763742,579,-0.002244045492,579,0.001600835822,579,0.007123234216,579,0.0003757938393,579,0.0001385897049,579,0.001904224511,579,-0.002263410948,579,-0.004654632416,579,0.007035538089,579,0.001201708685,579,0.008310671896,579,-0.0186488349,579,-0.01486114506,579,0.001446273061,579,-0.002454084111,579,-0.004135463387,579,-0.003545636078,579,-0.001953871688,
578,-0.01435389183,578,-0.007890206762,578,-0.00207636389,578,0.001945436001,578,0.007381504402,578,0.0007929894491,578,0.0003682545503,578,0.002140158089,578,-0.002272732789,578,-0.004433356691,578,0.007016727701,578,0.001361247967,578,0.008606878109,578,-0.01861977018,578,-0.0148338275,578,0.001371037797,578,-0.002490787767,578,-0.004142437596,578,-0.003797901561,578,-0.001983248163,
577,-0.01412347239,577,-0.008259147406,577,-0.002507928992,577,0.001580154989,577,0.007152654231,577,0.0001942399686,577,9.011840302E-5,577,0.002006389434,577,-0.002354818862,577,-0.004776058253,577,0.006927791052,577,0.000961121521,577,0.008422906511,577,-0.01866589487,577,-0.01485193893,577,0.001337151043,577,-0.002644416178,577,-0.004170076922,577,-0.003778245067,577,-0.001972889295,
576,-0.01406768989,576,-0.008167957887,576,-0.002537628403,576,0.001399551402,576,0.006952147465,576,0.0001759048901,576,-0.000151044238,576,0.001917432644,576,-0.002447648905,576,-0.004735296592,576,0.006900568958,576,0.00104425184,576,0.008365400136,576,-0.0186012201,576,-0.01490812097,576,0.001551395748,576,-0.002483272227,576,-0.00371962972,576,-0.00373959681,576,-0.001988659613,
575,-0.01409490593,575,-0.008087065071,575,-0.002394311363,575,0.001685647876,575,0.007055533119,575,0.0002829740406,575,-1.708440323E-5,575,0.001872454071,575,-0.002450892236,575,-0.004676656798,575,0.006906486582,575,0.001174376113,575,0.008171824738,575,-0.01867353357,575,-0.01482842397,575,0.001405316638,575,-0.002608188428,575,-0.003433881793,575,-0.004255547654,575,-0.002007160336,
574,-0.01419954095,574,-0.008125480264,574,-0.002156735398,574,0.001687648939,574,0.006950648036,574,0.0003362853604,574,0.0001515887998,574,0.002176058711,574,-0.002189807128,574,-0.004783994984,574,0.006892810576,574,0.001151561271,574,0.008496628143,574,-0.01865468733,574,-0.01462168433,574,0.001148394775,574,-0.002901422558,574,-0.003569102846,574,-0.00421248097,574,-0.002268509706,
573,-0.01406889316,573,-0.008253254928,573,-0.002315116581,573,0.001586494269,573,0.006900148001,573,0.0001373985724,573,1.749926741E-5,573,0.001949986443,573,-0.00217280793,573,-0.004879225511,573,0.006774423644,573,0.0009457633714,573,0.008396224119,573,-0.01858594269,573,-0.01478178985,573,0.001397499815,573,-0.00267266552,573,-0.003325284459,573,-0.003837314434,573,-0.002029370517,
572,-0.01421998348,572,-0.007911609486,572,-0.001881607226,572,0.001725617214,572,0.006909800693,572,0.0002774567693,572,0.0001165024805,572,0.001918602618,572,-0.001961396309,572,-0.004555766471,572,0.006782232784,572,0.001314821071,572,0.008355926722,572,-0.01855890825,572,-0.01481871679,572,0.001387241995,572,-0.002497531241,572,-0.003012182657,572,-0.003776808036,572,-0.001995719736,
571,-0.01426948421,571,-0.007914609276,571,-0.001847790438,571,0.001950740465,571,0.00693331426,571,0.0004225868615,571,0.0002507261815,571,0.002076116623,571,-0.002190992003,571,-0.004611503333,571,0.006770926528,571,0.001278394484,571,0.008627843112,571,-0.01876259409,571,-0.01457197312,571,0.001154390397,571,-0.002777773887,571,-0.003339104587,571,-0.00418633176,571,-0.002253831364,
